ward,precinct,total,Inanna Younan,Inanna Younan Percent,Steven Seiling,Steven Seiling Percent,precinct_id
40,1,12,4,33.33,8,66.67,40001
40,2,10,3,30.0,7,70.0,40002
40,3,19,7,36.84,12,63.16,40003
40,4,11,4,36.36,7,63.64,40004
40,5,11,7,63.64,4,36.36,40005
40,6,13,5,38.46,8,61.54,40006
40,7,6,4,66.67,2,33.33,40007
40,8,9,8,88.89,1,11.11,40008
40,9,9,1,11.11,8,88.89,40009
40,10,16,8,50.0,8,50.0,40010
40,11,12,6,50.0,6,50.0,40011
40,12,10,4,40.0,6,60.0,40012
40,13,12,6,50.0,6,50.0,40013
40,14,23,11,47.83,12,52.17,40014
40,15,11,5,45.45,6,54.55,40015
40,16,11,5,45.45,6,54.55,40016
40,17,6,2,33.33,4,66.67,40017
40,18,8,3,37.5,5,62.5,40018
40,19,23,10,43.48,13,56.52,40019
40,20,14,9,64.29,5,35.71,40020
40,21,12,7,58.33,5,41.67,40021
40,22,4,3,75.0,1,25.0,40022
40,23,19,5,26.32,14,73.68,40023
40,24,11,5,45.45,6,54.55,40024
40,25,12,5,41.67,7,58.33,40025
40,26,11,3,27.27,8,72.73,40026
40,27,8,4,50.0,4,50.0,40027
40,28,12,7,58.33,5,41.67,40028
40,29,16,8,50.0,8,50.0,40029
40,30,11,2,18.18,9,81.82,40030
40,31,18,4,22.22,14,77.78,40031
40,32,14,3,21.43,11,78.57,40032
40,33,12,6,50.0,6,50.0,40033
40,34,10,2,20.0,8,80.0,40034
40,35,13,4,30.77,9,69.23,40035
40,36,15,6,40.0,9,60.0,40036
40,37,13,3,23.08,10,76.92,40037
40,38,6,3,50.0,3,50.0,40038
40,39,20,7,35.0,13,65.0,40039
40,40,15,4,26.67,11,73.33,40040
40,41,16,7,43.75,9,56.25,40041
40,42,20,9,45.0,11,55.0,40042
40,43,7,3,42.86,4,57.14,40043
40,44,16,3,18.75,13,81.25,40044
40,45,31,16,51.61,15,48.39,40045
40,46,13,8,61.54,5,38.46,40046
40,47,13,5,38.46,8,61.54,40047
40,48,17,4,23.53,13,76.47,40048
40,49,16,4,25.0,12,75.0,40049
