ward,precinct,total,Tyrone Fahner (Bush),Tyrone Fahner (Bush) Percent,Muneer Ahmad Satter (Bush),Muneer Ahmad Satter (Bush) Percent,Katherine Dold White (Bush),Katherine Dold White (Bush) Percent,J. Blair Garber (Cruz),J. Blair Garber (Cruz) Percent,Jeffrey Stewart Shapiro (Cruz),Jeffrey Stewart Shapiro (Cruz) Percent,Jill Dolan (Cruz),Jill Dolan (Cruz) Percent,Nickolas Neubauer (Trump),Nickolas Neubauer (Trump) Percent,Linda Lucchese (Trump),Linda Lucchese (Trump) Percent,Ryan McElrath (Trump),Ryan McElrath (Trump) Percent,Gary Vandenbroucke (Christie),Gary Vandenbroucke (Christie) Percent,Laura Vandenbroucke (Christie),Laura Vandenbroucke (Christie) Percent,James R. Selegean (Christie),James R. Selegean (Christie) Percent,Penny Pullen (Santorum),Penny Pullen (Santorum) Percent,Jeannine M. Como (Santorum),Jeannine M. Como (Santorum) Percent,Mark R. Albers (Santorum),Mark R. Albers (Santorum) Percent,Stephen Cowen (Fiorina),Stephen Cowen (Fiorina) Percent,Jennifer Cowen (Fiorina),Jennifer Cowen (Fiorina) Percent,Judy Ortega (Fiorina),Judy Ortega (Fiorina) Percent,John A. Tsarpalas (Carson),John A. Tsarpalas (Carson) Percent,James D. Skyles (Carson),James D. Skyles (Carson) Percent,Jetta H. Boschen (Carson),Jetta H. Boschen (Carson) Percent,Justin Eugene Kuehlthau (Paul),Justin Eugene Kuehlthau (Paul) Percent,Michael Hager (Paul),Michael Hager (Paul) Percent,Jim O'Donnell (Paul),Jim O'Donnell (Paul) Percent,Brian Moran (Kasich),Brian Moran (Kasich) Percent,Pamela Kinsey Lungmus (Kasich),Pamela Kinsey Lungmus (Kasich) Percent,Marc Levine (Rubio),Marc Levine (Rubio) Percent,Susan Kelly Sweeney (Rubio),Susan Kelly Sweeney (Rubio) Percent,Kevin O'Connell (Rubio),Kevin O'Connell (Rubio) Percent,precinct_id
40,4,77,3,3.9,2,2.6,3,3.9,5,6.49,6,7.79,6,7.79,11,14.29,10,12.99,9,11.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.19,4,5.19,4,5.19,3,3.9,3,3.9,40004
40,9,91,4,4.4,1,1.1,2,2.2,5,5.49,4,4.4,5,5.49,12,13.19,12,13.19,11,12.09,1,1.1,0,0.0,0,0.0,0,0.0,1,1.1,1,1.1,0,0.0,1,1.1,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.2,5,5.49,3,3.3,5,5.49,3,3.3,8,8.79,40009
40,10,78,0,0.0,0,0.0,0,0.0,7,8.97,7,8.97,6,7.69,14,17.95,17,21.79,13,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.28,1,1.28,4,5.13,2,2.56,0,0.0,1,1.28,0,0.0,40010
40,18,48,1,2.08,1,2.08,0,0.0,6,12.5,5,10.42,5,10.42,4,8.33,4,8.33,4,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.08,0,0.0,0,0.0,0,0.0,0,0.0,1,2.08,1,2.08,2,4.17,4,8.33,0,0.0,3,6.25,1,2.08,3,6.25,40018
40,22,103,0,0.0,0,0.0,1,0.97,11,10.68,8,7.77,9,8.74,13,12.62,10,9.71,11,10.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.97,2,1.94,10,9.71,5,4.85,6,5.83,3,2.91,4,3.88,40022
40,25,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40025
40,26,75,0,0.0,0,0.0,0,0.0,4,5.33,4,5.33,4,5.33,13,17.33,12,16.0,11,14.67,0,0.0,0,0.0,0,0.0,2,2.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,6.67,4,5.33,6,8.0,4,5.33,1,1.33,40026
40,27,124,1,0.81,1,0.81,0,0.0,14,11.29,13,10.48,12,9.68,12,9.68,10,8.06,10,8.06,0,0.0,1,0.81,1,0.81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.81,0,0.0,0,0.0,0,0.0,1,0.81,1,0.81,1,0.81,8,6.45,5,4.03,9,7.26,7,5.65,8,6.45,40027
40,28,106,0,0.0,0,0.0,1,0.94,10,9.43,10,9.43,9,8.49,11,10.38,10,9.43,11,10.38,0,0.0,1,0.94,1,0.94,0,0.0,0,0.0,0,0.0,0,0.0,1,0.94,0,0.0,0,0.0,0,0.0,1,0.94,1,0.94,1,0.94,2,1.89,8,7.55,9,8.49,4,3.77,2,1.89,3,2.83,40028
40,31,114,0,0.0,1,0.88,0,0.0,8,7.02,7,6.14,7,6.14,8,7.02,9,7.89,6,5.26,1,0.88,0,0.0,1,0.88,0,0.0,0,0.0,0,0.0,0,0.0,2,1.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.88,1,0.88,16,14.04,14,12.28,6,5.26,5,4.39,5,4.39,40031
