ward,precinct,total,Lauren Baker (Christie),Lauren Baker (Christie) Percent,Christopher M. Adams (Christie),Christopher M. Adams (Christie) Percent,Robert O'Malley (Christie),Robert O'Malley (Christie) Percent,Chris Cleveland (Cruz),Chris Cleveland (Cruz) Percent,Sean O'Leary (Cruz),Sean O'Leary (Cruz) Percent,James Strzalka (Cruz),James Strzalka (Cruz) Percent,John M. Dorgan (Bush),John M. Dorgan (Bush) Percent,Chris Nybo (Bush),Chris Nybo (Bush) Percent,R. Stratford Shields (Bush),R. Stratford Shields (Bush) Percent,Kathleen Goro (Trump),Kathleen Goro (Trump) Percent,Lori Gayne (Trump),Lori Gayne (Trump) Percent,Mark Fratella (Trump),Mark Fratella (Trump) Percent,Allen Carter (Fiorina),Allen Carter (Fiorina) Percent,Mary Carter (Fiorina),Mary Carter (Fiorina) Percent,Michael Golde (Fiorina),Michael Golde (Fiorina) Percent,Daniel J. Cronin (Kasich),Daniel J. Cronin (Kasich) Percent,Dale E. Kleber (Kasich),Dale E. Kleber (Kasich) Percent,Kayleen M. Carlson (Kasich),Kayleen M. Carlson (Kasich) Percent,Christopher Grozev (Rubio),Christopher Grozev (Rubio) Percent,A. Christine Svenson (Rubio),A. Christine Svenson (Rubio) Percent,Mark Cavers (Rubio),Mark Cavers (Rubio) Percent,Scott Davis (Paul),Scott Davis (Paul) Percent,James Babiarz (Paul),James Babiarz (Paul) Percent,Ruben Chaljub (Paul),Ruben Chaljub (Paul) Percent,Christian C. Schultz (Carson),Christian C. Schultz (Carson) Percent,Walter L. Crowley (Carson),Walter L. Crowley (Carson) Percent,Robert J. Mowry (Carson),Robert J. Mowry (Carson) Percent,precinct_id
1,3,164,2,1.22,1,0.61,0,0.0,10,6.1,10,6.1,9,5.49,1,0.61,1,0.61,0,0.0,9,5.49,6,3.66,8,4.88,0,0.0,2,1.22,0,0.0,26,15.85,25,15.24,24,14.63,12,7.32,7,4.27,10,6.1,1,0.61,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01003
1,4,197,1,0.51,0,0.0,1,0.51,9,4.57,8,4.06,7,3.55,1,0.51,2,1.02,1,0.51,13,6.6,12,6.09,11,5.58,2,1.02,1,0.51,1,0.51,27,13.71,26,13.2,27,13.71,16,8.12,14,7.11,14,7.11,2,1.02,0,0.0,1,0.51,0,0.0,0,0.0,0,0.0,01004
1,5,146,1,0.68,1,0.68,2,1.37,4,2.74,7,4.79,5,3.42,1,0.68,0,0.0,0,0.0,9,6.16,10,6.85,11,7.53,1,0.68,1,0.68,1,0.68,25,17.12,20,13.7,21,14.38,7,4.79,7,4.79,7,4.79,0,0.0,1,0.68,0,0.0,0,0.0,2,1.37,2,1.37,01005
1,6,144,1,0.69,1,0.69,1,0.69,9,6.25,10,6.94,5,3.47,0,0.0,0,0.0,1,0.69,12,8.33,12,8.33,12,8.33,0,0.0,1,0.69,0,0.0,21,14.58,19,13.19,22,15.28,3,2.08,4,2.78,2,1.39,3,2.08,2,1.39,2,1.39,0,0.0,1,0.69,0,0.0,01006
1,8,87,1,1.15,0,0.0,0,0.0,7,8.05,7,8.05,8,9.2,1,1.15,0,0.0,2,2.3,8,9.2,4,4.6,5,5.75,1,1.15,0,0.0,1,1.15,11,12.64,9,10.34,8,9.2,3,3.45,2,2.3,2,2.3,2,2.3,2,2.3,2,2.3,0,0.0,1,1.15,0,0.0,01008
1,10,140,0,0.0,0,0.0,2,1.43,7,5.0,8,5.71,5,3.57,0,0.0,0,0.0,0,0.0,6,4.29,11,7.86,8,5.71,0,0.0,0,0.0,0,0.0,22,15.71,20,14.29,23,16.43,8,5.71,4,2.86,6,4.29,3,2.14,4,2.86,1,0.71,0,0.0,1,0.71,1,0.71,01010
1,11,200,0,0.0,0,0.0,0,0.0,15,7.5,14,7.0,12,6.0,2,1.0,1,0.5,2,1.0,13,6.5,13,6.5,14,7.0,1,0.5,0,0.0,0,0.0,25,12.5,24,12.0,25,12.5,11,5.5,9,4.5,12,6.0,2,1.0,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,01011
1,14,88,0,0.0,0,0.0,1,1.14,5,5.68,7,7.95,6,6.82,0,0.0,0,0.0,0,0.0,2,2.27,3,3.41,4,4.55,2,2.27,1,1.14,1,1.14,15,17.05,15,17.05,14,15.91,5,5.68,3,3.41,3,3.41,1,1.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01014
1,21,194,2,1.03,0,0.0,1,0.52,1,0.52,1,0.52,2,1.03,1,0.52,0,0.0,0,0.0,3,1.55,4,2.06,6,3.09,1,0.52,1,0.52,0,0.0,49,25.26,46,23.71,48,24.74,8,4.12,5,2.58,6,3.09,3,1.55,1,0.52,2,1.03,1,0.52,1,0.52,1,0.52,01021
1,28,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,2,22.22,2,22.22,2,22.22,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,01028
