ward,precinct,total,Aaron Brager (Trump),Aaron Brager (Trump) Percent,Janet Tavakoli (Trump),Janet Tavakoli (Trump) Percent,Evan Andrew Feigenbaum (Bush),Evan Andrew Feigenbaum (Bush) Percent,Gregory J. Hart (Bush),Gregory J. Hart (Bush) Percent,Mark S. Hosty (Bush),Mark S. Hosty (Bush) Percent,Suneet Lad (Christie),Suneet Lad (Christie) Percent,William S. Zeiler (Christie),William S. Zeiler (Christie) Percent,William J. Zeiler (Christie),William J. Zeiler (Christie) Percent,Michael Provenzano (Cruz),Michael Provenzano (Cruz) Percent,Matthew Limbert (Cruz),Matthew Limbert (Cruz) Percent,Wayne Heusel (Cruz),Wayne Heusel (Cruz) Percent,Jeffrey ''Jeff'' Durkes (Fiorina),Jeffrey ''Jeff'' Durkes (Fiorina) Percent,Jennifer Koerner (Fiorina),Jennifer Koerner (Fiorina) Percent,Joseph ''Joe'' Dusek (Fiorina),Joseph ''Joe'' Dusek (Fiorina) Percent,Darlene Brown (Carson),Darlene Brown (Carson) Percent,Adrian J. Wright (Carson),Adrian J. Wright (Carson) Percent,Yvonne Franklin (Carson),Yvonne Franklin (Carson) Percent,Erin Broderick (Rubio),Erin Broderick (Rubio) Percent,Thomas C. Cronin (Rubio),Thomas C. Cronin (Rubio) Percent,Eric Pulia (Rubio),Eric Pulia (Rubio) Percent,Helene Marie Cissell (Kasich),Helene Marie Cissell (Kasich) Percent,Bruno H. Behrend (Kasich),Bruno H. Behrend (Kasich) Percent,Ellen Wesley (Kasich),Ellen Wesley (Kasich) Percent,precinct_id
1,12,157,19,12.1,21,13.38,1,0.64,2,1.27,1,0.64,0,0.0,1,0.64,0,0.0,8,5.1,10,6.37,8,5.1,1,0.64,0,0.0,0,0.0,1,0.64,1,0.64,1,0.64,6,3.82,5,3.18,6,3.82,13,8.28,14,8.92,16,10.19,01012
1,14,29,2,6.9,2,6.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.45,3,10.34,3,10.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,10.34,3,10.34,2,6.9,1,3.45,3,10.34,4,13.79,01014
1,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01015
1,32,42,5,11.9,6,14.29,0,0.0,1,2.38,0,0.0,0,0.0,0,0.0,0,0.0,4,9.52,5,11.9,4,9.52,0,0.0,1,2.38,0,0.0,0,0.0,0,0.0,0,0.0,1,2.38,1,2.38,1,2.38,2,4.76,3,7.14,3,7.14,01032
2,2,231,34,14.72,35,15.15,0,0.0,2,0.87,1,0.43,1,0.43,0,0.0,0,0.0,10,4.33,11,4.76,8,3.46,0,0.0,2,0.87,0,0.0,1,0.43,0,0.0,0,0.0,10,4.33,8,3.46,8,3.46,19,8.23,25,10.82,24,10.39,02002
2,9,303,24,7.92,25,8.25,2,0.66,2,0.66,1,0.33,1,0.33,2,0.66,0,0.0,9,2.97,10,3.3,7,2.31,0,0.0,0,0.0,0,0.0,0,0.0,1,0.33,1,0.33,22,7.26,17,5.61,15,4.95,40,13.2,51,16.83,51,16.83,02009
2,10,344,40,11.63,39,11.34,1,0.29,1,0.29,1,0.29,0,0.0,0,0.0,0,0.0,8,2.33,8,2.33,7,2.03,0,0.0,2,0.58,0,0.0,0,0.0,1,0.29,1,0.29,19,5.52,18,5.23,20,5.81,39,11.34,53,15.41,49,14.24,02010
2,11,364,25,6.87,25,6.87,0,0.0,5,1.37,1,0.27,0,0.0,1,0.27,0,0.0,19,5.22,18,4.95,17,4.67,0,0.0,0,0.0,0,0.0,0,0.0,1,0.27,1,0.27,20,5.49,17,4.67,14,3.85,49,13.46,63,17.31,62,17.03,02011
2,12,57,1,1.75,0,0.0,1,1.75,3,5.26,2,3.51,0,0.0,0,0.0,0,0.0,5,8.77,5,8.77,5,8.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.75,1,1.75,1,1.75,10,17.54,11,19.3,10,17.54,02012
2,13,347,38,10.95,36,10.37,0,0.0,0,0.0,2,0.58,1,0.29,1,0.29,1,0.29,18,5.19,20,5.76,18,5.19,1,0.29,2,0.58,0,0.0,2,0.58,1,0.29,2,0.58,13,3.75,10,2.88,11,3.17,38,10.95,49,14.12,48,13.83,02013
2,14,138,13,9.42,15,10.87,1,0.72,0,0.0,0,0.0,1,0.72,1,0.72,1,0.72,10,7.25,10,7.25,10,7.25,0,0.0,0,0.0,0,0.0,1,0.72,0,0.0,0,0.0,4,2.9,3,2.17,2,1.45,16,11.59,18,13.04,19,13.77,02014
2,17,192,14,7.29,16,8.33,1,0.52,2,1.04,1,0.52,0,0.0,1,0.52,1,0.52,18,9.38,20,10.42,17,8.85,1,0.52,1,0.52,0,0.0,0,0.0,1,0.52,1,0.52,10,5.21,8,4.17,10,5.21,16,8.33,19,9.9,19,9.9,02017
2,18,274,28,10.22,33,12.04,0,0.0,2,0.73,2,0.73,1,0.36,0,0.0,0,0.0,15,5.47,17,6.2,15,5.47,0,0.0,1,0.36,0,0.0,1,0.36,0,0.0,0,0.0,9,3.28,9,3.28,9,3.28,31,11.31,36,13.14,36,13.14,02018
2,19,279,34,12.19,34,12.19,1,0.36,2,0.72,0,0.0,0,0.0,1,0.36,0,0.0,14,5.02,12,4.3,11,3.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.36,8,2.87,7,2.51,4,1.43,36,12.9,41,14.7,40,14.34,02019
2,20,119,13,10.92,14,11.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,2.52,4,3.36,3,2.52,0,0.0,0,0.0,0,0.0,1,0.84,0,0.0,0,0.0,8,6.72,9,7.56,9,7.56,13,10.92,14,11.76,15,12.61,02020
