ward,precinct,total,G. Joel Baise (Bush),G. Joel Baise (Bush) Percent,George Offord (Bush),George Offord (Bush) Percent,Ben Noble (Bush),Ben Noble (Bush) Percent,Kimberly Blackburn (Christie),Kimberly Blackburn (Christie) Percent,Louis G. Rexing (Christie),Louis G. Rexing (Christie) Percent,Matthew Moustakas (Christie),Matthew Moustakas (Christie) Percent,Vince Matonis (Trump),Vince Matonis (Trump) Percent,Geraldine Brady (Trump),Geraldine Brady (Trump) Percent,Nena Mihailovic (Trump),Nena Mihailovic (Trump) Percent,Vivienne Porter (Cruz),Vivienne Porter (Cruz) Percent,Madelyn D. Flaherty (Cruz),Madelyn D. Flaherty (Cruz) Percent,Alaa N. Sweis (Cruz),Alaa N. Sweis (Cruz) Percent,Ronald Armstrong (Fiorina),Ronald Armstrong (Fiorina) Percent,Richard ''Dick'' Halm (Fiorina),Richard ''Dick'' Halm (Fiorina) Percent,Jeffrey ''Jeff'' Baker (Fiorina),Jeffrey ''Jeff'' Baker (Fiorina) Percent,James J. Parrilli (Kasich),James J. Parrilli (Kasich) Percent,Andrew J. Kirchoff (Kasich),Andrew J. Kirchoff (Kasich) Percent,William J. Corley (Kasich),William J. Corley (Kasich) Percent,Steven Daglas (Rubio),Steven Daglas (Rubio) Percent,Katie Justak (Rubio),Katie Justak (Rubio) Percent,Tyler Mikan (Rubio),Tyler Mikan (Rubio) Percent,John D. Brannen (Carson),John D. Brannen (Carson) Percent,John D'Alessandro (Carson),John D'Alessandro (Carson) Percent,Gael Heppner (Carson),Gael Heppner (Carson) Percent,precinct_id
11,1,151,1,0.66,1,0.66,1,0.66,0,0.0,2,1.32,0,0.0,33,21.85,29,19.21,32,21.19,10,6.62,7,4.64,8,5.3,0,0.0,1,0.66,0,0.0,7,4.64,6,3.97,4,2.65,2,1.32,2,1.32,4,2.65,1,0.66,0,0.0,0,0.0,11001
11,4,107,0,0.0,1,0.93,1,0.93,1,0.93,1,0.93,1,0.93,18,16.82,20,18.69,17,15.89,9,8.41,8,7.48,7,6.54,0,0.0,0,0.0,0,0.0,2,1.87,2,1.87,1,0.93,3,2.8,4,3.74,3,2.8,2,1.87,3,2.8,3,2.8,11004
11,5,102,1,0.98,1,0.98,1,0.98,2,1.96,0,0.0,1,0.98,23,22.55,20,19.61,17,16.67,5,4.9,6,5.88,1,0.98,1,0.98,1,0.98,0,0.0,3,2.94,5,4.9,4,3.92,4,3.92,3,2.94,2,1.96,1,0.98,0,0.0,0,0.0,11005
11,8,110,3,2.73,3,2.73,0,0.0,0,0.0,0,0.0,2,1.82,20,18.18,21,19.09,20,18.18,5,4.55,5,4.55,3,2.73,0,0.0,0,0.0,0,0.0,3,2.73,2,1.82,2,1.82,7,6.36,8,7.27,6,5.45,0,0.0,0,0.0,0,0.0,11008
11,9,93,1,1.08,1,1.08,1,1.08,0,0.0,0,0.0,1,1.08,14,15.05,15,16.13,15,16.13,9,9.68,8,8.6,7,7.53,0,0.0,0,0.0,0,0.0,1,1.08,1,1.08,3,3.23,5,5.38,5,5.38,6,6.45,0,0.0,0,0.0,0,0.0,11009
11,10,94,1,1.06,1,1.06,1,1.06,0,0.0,0,0.0,0,0.0,12,12.77,13,13.83,9,9.57,8,8.51,8,8.51,8,8.51,0,0.0,0,0.0,0,0.0,7,7.45,5,5.32,4,4.26,5,5.32,6,6.38,5,5.32,0,0.0,1,1.06,0,0.0,11010
11,11,152,1,0.66,1,0.66,1,0.66,0,0.0,0,0.0,0,0.0,33,21.71,30,19.74,32,21.05,7,4.61,6,3.95,6,3.95,0,0.0,0,0.0,0,0.0,5,3.29,3,1.97,5,3.29,7,4.61,6,3.95,6,3.95,1,0.66,1,0.66,1,0.66,11011
11,12,222,0,0.0,0,0.0,1,0.45,1,0.45,0,0.0,1,0.45,48,21.62,47,21.17,47,21.17,12,5.41,14,6.31,9,4.05,2,0.9,0,0.0,1,0.45,2,0.9,3,1.35,2,0.9,6,2.7,8,3.6,5,2.25,5,2.25,4,1.8,4,1.8,11012
11,13,205,1,0.49,1,0.49,1,0.49,2,0.98,1,0.49,0,0.0,41,20.0,39,19.02,39,19.02,17,8.29,19,9.27,17,8.29,0,0.0,1,0.49,0,0.0,2,0.98,3,1.46,2,0.98,5,2.44,6,2.93,4,1.95,2,0.98,2,0.98,0,0.0,11013
11,15,43,1,2.33,1,2.33,1,2.33,1,2.33,0,0.0,0,0.0,7,16.28,6,13.95,7,16.28,5,11.63,4,9.3,4,9.3,0,0.0,0,0.0,0,0.0,1,2.33,1,2.33,1,2.33,1,2.33,1,2.33,0,0.0,0,0.0,1,2.33,0,0.0,11015
11,16,103,0,0.0,0,0.0,0,0.0,1,0.97,1,0.97,1,0.97,20,19.42,23,22.33,21,20.39,5,4.85,8,7.77,5,4.85,0,0.0,0,0.0,0,0.0,3,2.91,4,3.88,3,2.91,1,0.97,1,0.97,1,0.97,1,0.97,3,2.91,1,0.97,11016
11,17,115,2,1.74,2,1.74,2,1.74,0,0.0,1,0.87,1,0.87,22,19.13,18,15.65,17,14.78,10,8.7,9,7.83,7,6.09,0,0.0,0,0.0,0,0.0,4,3.48,4,3.48,3,2.61,5,4.35,3,2.61,4,3.48,0,0.0,1,0.87,0,0.0,11017
11,18,80,1,1.25,1,1.25,1,1.25,2,2.5,0,0.0,0,0.0,15,18.75,16,20.0,15,18.75,6,7.5,6,7.5,6,7.5,0,0.0,0,0.0,0,0.0,1,1.25,2,2.5,0,0.0,2,2.5,3,3.75,3,3.75,0,0.0,0,0.0,0,0.0,11018
11,19,182,0,0.0,2,1.1,0,0.0,0,0.0,1,0.55,1,0.55,20,10.99,19,10.44,20,10.99,21,11.54,18,9.89,15,8.24,2,1.1,0,0.0,1,0.55,11,6.04,8,4.4,8,4.4,11,6.04,13,7.14,11,6.04,0,0.0,0,0.0,0,0.0,11019
11,20,95,0,0.0,1,1.05,0,0.0,0,0.0,0,0.0,0,0.0,20,21.05,21,22.11,21,22.11,5,5.26,6,6.32,6,6.32,0,0.0,0,0.0,0,0.0,7,7.37,4,4.21,4,4.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11020
11,21,168,0,0.0,0,0.0,0,0.0,1,0.6,3,1.79,2,1.19,34,20.24,34,20.24,35,20.83,8,4.76,11,6.55,7,4.17,0,0.0,1,0.6,2,1.19,4,2.38,3,1.79,4,2.38,8,4.76,5,2.98,6,3.57,0,0.0,0,0.0,0,0.0,11021
11,22,180,0,0.0,1,0.56,2,1.11,0,0.0,0,0.0,1,0.56,36,20.0,40,22.22,37,20.56,14,7.78,15,8.33,12,6.67,1,0.56,0,0.0,0,0.0,5,2.78,5,2.78,4,2.22,2,1.11,3,1.67,1,0.56,0,0.0,1,0.56,0,0.0,11022
11,23,98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,25.51,25,25.51,25,25.51,1,1.02,1,1.02,1,1.02,0,0.0,0,0.0,0,0.0,3,3.06,3,3.06,2,2.04,5,5.1,4,4.08,3,3.06,0,0.0,0,0.0,0,0.0,11023
11,24,129,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.78,22,17.05,23,17.83,22,17.05,7,5.43,9,6.98,6,4.65,0,0.0,1,0.78,0,0.0,3,2.33,5,3.88,5,3.88,8,6.2,8,6.2,7,5.43,0,0.0,2,1.55,0,0.0,11024
11,25,151,1,0.66,0,0.0,1,0.66,3,1.99,0,0.0,0,0.0,13,8.61,18,11.92,15,9.93,18,11.92,13,8.61,12,7.95,0,0.0,1,0.66,0,0.0,10,6.62,10,6.62,8,5.3,7,4.64,11,7.28,6,3.97,0,0.0,2,1.32,2,1.32,11025
11,26,178,1,0.56,0,0.0,0,0.0,2,1.12,0,0.0,0,0.0,32,17.98,29,16.29,29,16.29,16,8.99,16,8.99,16,8.99,0,0.0,0,0.0,1,0.56,5,2.81,5,2.81,4,2.25,6,3.37,7,3.93,6,3.37,1,0.56,1,0.56,1,0.56,11026
11,27,28,0,0.0,0,0.0,3,10.71,0,0.0,0,0.0,0,0.0,4,14.29,6,21.43,4,14.29,2,7.14,2,7.14,1,3.57,0,0.0,0,0.0,0,0.0,2,7.14,2,7.14,2,7.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11027
11,28,78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,28.21,22,28.21,22,28.21,2,2.56,1,1.28,3,3.85,0,0.0,0,0.0,2,2.56,0,0.0,0,0.0,0,0.0,1,1.28,1,1.28,1,1.28,0,0.0,0,0.0,1,1.28,11028
11,29,185,0,0.0,0,0.0,1,0.54,0,0.0,0,0.0,0,0.0,36,19.46,35,18.92,36,19.46,14,7.57,16,8.65,13,7.03,0,0.0,0,0.0,0,0.0,4,2.16,8,4.32,4,2.16,5,2.7,7,3.78,5,2.7,0,0.0,1,0.54,0,0.0,11029
11,31,175,1,0.57,1,0.57,0,0.0,0,0.0,0,0.0,0,0.0,35,20.0,33,18.86,34,19.43,10,5.71,10,5.71,8,4.57,1,0.57,1,0.57,1,0.57,8,4.57,5,2.86,5,2.86,7,4.0,7,4.0,6,3.43,1,0.57,1,0.57,0,0.0,11031
11,32,134,2,1.49,3,2.24,2,1.49,1,0.75,2,1.49,1,0.75,27,20.15,23,17.16,25,18.66,8,5.97,10,7.46,6,4.48,0,0.0,1,0.75,0,0.0,4,2.99,5,3.73,4,2.99,1,0.75,6,4.48,1,0.75,0,0.0,1,0.75,1,0.75,11032
11,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11037
