ward,precinct,total,Mark Calonder,Mark Calonder Percent,precinct_id
1,1,23,23,100.0,01001
1,2,19,19,100.0,01002
1,3,34,34,100.0,01003
1,4,43,43,100.0,01004
1,5,35,35,100.0,01005
1,6,37,37,100.0,01006
1,7,11,11,100.0,01007
1,8,22,22,100.0,01008
1,9,18,18,100.0,01009
1,10,31,31,100.0,01010
1,11,47,47,100.0,01011
1,12,36,36,100.0,01012
1,13,11,11,100.0,01013
1,14,25,25,100.0,01014
1,15,24,24,100.0,01015
1,16,12,12,100.0,01016
1,17,10,10,100.0,01017
1,18,14,14,100.0,01018
1,19,21,21,100.0,01019
1,20,9,9,100.0,01020
1,21,43,43,100.0,01021
1,22,15,15,100.0,01022
1,23,34,34,100.0,01023
1,24,17,17,100.0,01024
1,25,21,21,100.0,01025
1,26,14,14,100.0,01026
1,27,43,43,100.0,01027
1,28,1,1,100.0,01028
1,29,33,33,100.0,01029
1,30,23,23,100.0,01030
1,31,28,28,100.0,01031
1,32,24,24,100.0,01032
1,33,33,33,100.0,01033
1,34,21,21,100.0,01034
1,35,45,45,100.0,01035
1,36,42,42,100.0,01036
1,37,37,37,100.0,01037
1,38,23,23,100.0,01038
1,39,31,31,100.0,01039
1,40,25,25,100.0,01040
1,41,14,14,100.0,01041
1,42,13,13,100.0,01042
1,43,22,22,100.0,01043
1,44,17,17,100.0,01044
