ward,precinct,total,Robert V. Boharic (Cruz),Robert V. Boharic (Cruz) Percent,Ebelio Paul Fuentes (Cruz),Ebelio Paul Fuentes (Cruz) Percent,Allison Ashby (Cruz),Allison Ashby (Cruz) Percent,Amy Hopcian (Christie),Amy Hopcian (Christie) Percent,Matthew Hickey (Christie),Matthew Hickey (Christie) Percent,Randy Kantner (Christie),Randy Kantner (Christie) Percent,Kevin Jayne (Trump),Kevin Jayne (Trump) Percent,Eric Sawchuk (Trump),Eric Sawchuk (Trump) Percent,Rolando Arellano (Trump),Rolando Arellano (Trump) Percent,Maureen Lydon (Bush),Maureen Lydon (Bush) Percent,Walter Zarnecki (Bush),Walter Zarnecki (Bush) Percent,Ramiro Gonzalez (Bush),Ramiro Gonzalez (Bush) Percent,Anna Igoe (Fiorina),Anna Igoe (Fiorina) Percent,Michael Houlihan (Fiorina),Michael Houlihan (Fiorina) Percent,James Kales (Fiorina),James Kales (Fiorina) Percent,Michael C. Dropka (Kasich),Michael C. Dropka (Kasich) Percent,Jesus Reyes Jr. (Kasich),Jesus Reyes Jr. (Kasich) Percent,Thomas A. Volini (Kasich),Thomas A. Volini (Kasich) Percent,Maria C. Moreno (Rubio),Maria C. Moreno (Rubio) Percent,Lionel Garcia (Rubio),Lionel Garcia (Rubio) Percent,Danielle Vlcek (Rubio),Danielle Vlcek (Rubio) Percent,Jennifer E. Bardy (Carson),Jennifer E. Bardy (Carson) Percent,Dieter O. Bardy (Carson),Dieter O. Bardy (Carson) Percent,Citlally Mancilla (Carson),Citlally Mancilla (Carson) Percent,Todd Peterson (Paul),Todd Peterson (Paul) Percent,Carlos Estrada (Paul),Carlos Estrada (Paul) Percent,precinct_id
1,1,93,7,7.53,7,7.53,6,6.45,0,0.0,0,0.0,0,0.0,11,11.83,10,10.75,6,6.45,0,0.0,0,0.0,1,1.08,0,0.0,0,0.0,0,0.0,8,8.6,9,9.68,7,7.53,5,5.38,6,6.45,3,3.23,2,2.15,1,1.08,1,1.08,1,1.08,2,2.15,01001
1,2,69,6,8.7,5,7.25,6,8.7,0,0.0,0,0.0,0,0.0,8,11.59,5,7.25,6,8.7,1,1.45,1,1.45,1,1.45,0,0.0,0,0.0,0,0.0,5,7.25,5,7.25,5,7.25,4,5.8,5,7.25,4,5.8,0,0.0,0,0.0,0,0.0,1,1.45,1,1.45,01002
1,7,56,4,7.14,4,7.14,3,5.36,1,1.79,1,1.79,1,1.79,7,12.5,6,10.71,5,8.93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,10.71,6,10.71,5,8.93,1,1.79,1,1.79,1,1.79,0,0.0,1,1.79,0,0.0,2,3.57,1,1.79,01007
1,9,70,7,10.0,7,10.0,8,11.43,1,1.43,2,2.86,1,1.43,4,5.71,4,5.71,4,5.71,0,0.0,1,1.43,0,0.0,0,0.0,1,1.43,0,0.0,3,4.29,6,8.57,4,5.71,5,7.14,3,4.29,5,7.14,0,0.0,1,1.43,0,0.0,1,1.43,2,2.86,01009
1,13,62,5,8.06,6,9.68,8,12.9,1,1.61,2,3.23,0,0.0,2,3.23,3,4.84,4,6.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,11.29,8,12.9,7,11.29,3,4.84,3,4.84,3,4.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01013
1,15,94,8,8.51,9,9.57,8,8.51,1,1.06,0,0.0,0,0.0,9,9.57,7,7.45,5,5.32,0,0.0,1,1.06,0,0.0,0,0.0,0,0.0,0,0.0,11,11.7,11,11.7,11,11.7,4,4.26,3,3.19,3,3.19,2,2.13,0,0.0,0,0.0,0,0.0,1,1.06,01015
1,16,57,3,5.26,2,3.51,2,3.51,0,0.0,0,0.0,0,0.0,3,5.26,3,5.26,4,7.02,1,1.75,1,1.75,1,1.75,0,0.0,0,0.0,0,0.0,7,12.28,7,12.28,7,12.28,5,8.77,5,8.77,4,7.02,0,0.0,0,0.0,0,0.0,1,1.75,1,1.75,01016
1,17,36,2,5.56,2,5.56,2,5.56,0,0.0,0,0.0,0,0.0,5,13.89,6,16.67,5,13.89,0,0.0,1,2.78,0,0.0,1,2.78,1,2.78,1,2.78,3,8.33,3,8.33,2,5.56,1,2.78,1,2.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01017
1,18,73,1,1.37,2,2.74,2,2.74,5,6.85,0,0.0,1,1.37,5,6.85,6,8.22,5,6.85,1,1.37,0,0.0,2,2.74,0,0.0,1,1.37,0,0.0,8,10.96,7,9.59,7,9.59,6,8.22,7,9.59,6,8.22,0,0.0,0,0.0,0,0.0,0,0.0,1,1.37,01018
1,19,84,5,5.95,7,8.33,5,5.95,0,0.0,1,1.19,0,0.0,6,7.14,6,7.14,5,5.95,0,0.0,0,0.0,3,3.57,0,0.0,1,1.19,0,0.0,4,4.76,6,7.14,4,4.76,8,9.52,8,9.52,8,9.52,2,2.38,1,1.19,1,1.19,2,2.38,1,1.19,01019
1,20,40,3,7.5,1,2.5,1,2.5,0,0.0,0,0.0,0,0.0,5,12.5,5,12.5,4,10.0,0,0.0,1,2.5,0,0.0,0,0.0,1,2.5,0,0.0,3,7.5,4,10.0,3,7.5,3,7.5,3,7.5,3,7.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01020
1,22,66,5,7.58,7,10.61,9,13.64,0,0.0,1,1.52,0,0.0,2,3.03,2,3.03,2,3.03,1,1.52,2,3.03,1,1.52,0,0.0,1,1.52,0,0.0,7,10.61,4,6.06,5,7.58,4,6.06,3,4.55,3,4.55,0,0.0,0,0.0,1,1.52,3,4.55,3,4.55,01022
1,23,128,15,11.72,15,11.72,13,10.16,1,0.78,0,0.0,0,0.0,10,7.81,10,7.81,11,8.59,0,0.0,2,1.56,2,1.56,1,0.78,0,0.0,0,0.0,10,7.81,10,7.81,9,7.03,5,3.91,6,4.69,4,3.13,1,0.78,0,0.0,0,0.0,2,1.56,1,0.78,01023
1,24,63,5,7.94,5,7.94,3,4.76,0,0.0,0,0.0,1,1.59,7,11.11,6,9.52,5,7.94,1,1.59,1,1.59,1,1.59,0,0.0,0,0.0,0,0.0,7,11.11,4,6.35,5,7.94,4,6.35,4,6.35,4,6.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01024
1,25,91,5,5.49,4,4.4,3,3.3,1,1.1,0,0.0,0,0.0,8,8.79,8,8.79,8,8.79,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,7.69,8,8.79,6,6.59,12,13.19,10,10.99,8,8.79,0,0.0,0,0.0,0,0.0,0,0.0,2,2.2,01025
1,26,58,4,6.9,5,8.62,7,12.07,0,0.0,0,0.0,0,0.0,9,15.52,6,10.34,5,8.62,0,0.0,1,1.72,1,1.72,0,0.0,1,1.72,0,0.0,1,1.72,1,1.72,0,0.0,4,6.9,4,6.9,3,5.17,2,3.45,0,0.0,1,1.72,2,3.45,1,1.72,01026
1,27,173,18,10.4,17,9.83,19,10.98,1,0.58,0,0.0,0,0.0,9,5.2,9,5.2,9,5.2,2,1.16,1,0.58,1,0.58,1,0.58,3,1.73,1,0.58,19,10.98,20,11.56,19,10.98,7,4.05,7,4.05,9,5.2,1,0.58,0,0.0,0,0.0,0,0.0,0,0.0,01027
1,29,142,6,4.23,5,3.52,6,4.23,0,0.0,1,0.7,2,1.41,5,3.52,6,4.23,6,4.23,1,0.7,1,0.7,4,2.82,0,0.0,0,0.0,1,0.7,20,14.08,22,15.49,21,14.79,10,7.04,9,6.34,9,6.34,2,1.41,2,1.41,0,0.0,1,0.7,2,1.41,01029
1,30,81,6,7.41,8,9.88,10,12.35,0,0.0,0,0.0,0,0.0,8,9.88,6,7.41,5,6.17,0,0.0,1,1.23,0,0.0,0,0.0,1,1.23,0,0.0,3,3.7,6,7.41,4,4.94,7,8.64,5,6.17,5,6.17,2,2.47,1,1.23,2,2.47,0,0.0,1,1.23,01030
1,31,109,13,11.93,13,11.93,11,10.09,0,0.0,0,0.0,1,0.92,5,4.59,5,4.59,5,4.59,2,1.83,1,0.92,5,4.59,0,0.0,0,0.0,0,0.0,11,10.09,11,10.09,7,6.42,7,6.42,4,3.67,4,3.67,1,0.92,0,0.0,0,0.0,2,1.83,1,0.92,01031
1,34,72,9,12.5,8,11.11,9,12.5,0,0.0,0,0.0,0,0.0,6,8.33,5,6.94,4,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,11.11,8,11.11,7,9.72,3,4.17,2,2.78,2,2.78,0,0.0,0,0.0,0,0.0,1,1.39,0,0.0,01034
1,38,78,1,1.28,2,2.56,0,0.0,0,0.0,1,1.28,0,0.0,6,7.69,5,6.41,4,5.13,0,0.0,0,0.0,1,1.28,1,1.28,0,0.0,0,0.0,10,12.82,9,11.54,8,10.26,11,14.1,8,10.26,9,11.54,0,0.0,0,0.0,0,0.0,1,1.28,1,1.28,01038
1,41,58,4,6.9,5,8.62,5,8.62,0,0.0,0,0.0,1,1.72,3,5.17,5,8.62,4,6.9,2,3.45,2,3.45,1,1.72,0,0.0,0,0.0,0,0.0,6,10.34,7,12.07,7,12.07,2,3.45,2,3.45,2,3.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01041
1,42,42,4,9.52,4,9.52,4,9.52,0,0.0,0,0.0,0,0.0,5,11.9,5,11.9,5,11.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.14,3,7.14,5,11.9,2,4.76,2,4.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01042
1,43,87,6,6.9,7,8.05,6,6.9,0,0.0,0,0.0,0,0.0,5,5.75,5,5.75,6,6.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,12.64,11,12.64,9,10.34,7,8.05,5,5.75,4,4.6,0,0.0,0,0.0,0,0.0,3,3.45,2,2.3,01043
1,44,57,2,3.51,1,1.75,1,1.75,0,0.0,0,0.0,0,0.0,3,5.26,4,7.02,3,5.26,0,0.0,0,0.0,1,1.75,0,0.0,1,1.75,0,0.0,11,19.3,10,17.54,10,17.54,2,3.51,3,5.26,2,3.51,0,0.0,0,0.0,1,1.75,1,1.75,1,1.75,01044
11,3,69,7,10.14,9,13.04,9,13.04,0,0.0,0,0.0,0,0.0,5,7.25,7,10.14,5,7.25,1,1.45,0,0.0,0,0.0,1,1.45,0,0.0,0,0.0,6,8.7,7,10.14,6,8.7,3,4.35,0,0.0,0,0.0,1,1.45,1,1.45,1,1.45,0,0.0,0,0.0,11003
11,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11037
11,38,40,5,12.5,5,12.5,5,12.5,0,0.0,0,0.0,0,0.0,6,15.0,6,15.0,6,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,1,2.5,1,2.5,1,2.5,0,0.0,1,2.5,0,0.0,0,0.0,0,0.0,1,2.5,1,2.5,11038
