ward,precinct,total,Peter P. Podgorski,Peter P. Podgorski Percent,precinct_id
38,1,35,35,100.0,38001
38,2,67,67,100.0,38002
38,3,51,51,100.0,38003
38,4,58,58,100.0,38004
38,5,63,63,100.0,38005
38,6,57,57,100.0,38006
38,7,68,68,100.0,38007
38,8,55,55,100.0,38008
38,9,62,62,100.0,38009
38,10,44,44,100.0,38010
38,11,52,52,100.0,38011
38,12,67,67,100.0,38012
38,13,76,76,100.0,38013
38,14,54,54,100.0,38014
38,15,42,42,100.0,38015
38,16,83,83,100.0,38016
38,17,71,71,100.0,38017
38,18,62,62,100.0,38018
38,19,55,55,100.0,38019
38,20,66,66,100.0,38020
38,21,41,41,100.0,38021
38,22,54,54,100.0,38022
38,23,57,57,100.0,38023
38,24,73,73,100.0,38024
38,25,48,48,100.0,38025
38,26,51,51,100.0,38026
38,27,62,62,100.0,38027
38,28,73,73,100.0,38028
38,29,32,32,100.0,38029
38,30,61,61,100.0,38030
38,31,43,43,100.0,38031
38,32,53,53,100.0,38032
38,33,41,41,100.0,38033
38,34,35,35,100.0,38034
38,35,34,34,100.0,38035
38,36,47,47,100.0,38036
38,37,55,55,100.0,38037
38,38,50,50,100.0,38038
38,39,57,57,100.0,38039
38,40,59,59,100.0,38040
38,41,34,34,100.0,38041
