ward,precinct,total,Edward L. Bowe,Edward L. Bowe Percent,precinct_id
48,1,29,29,100.0,48001
48,2,18,18,100.0,48002
48,3,25,25,100.0,48003
48,4,18,18,100.0,48004
48,5,19,19,100.0,48005
48,6,42,42,100.0,48006
48,7,17,17,100.0,48007
48,8,26,26,100.0,48008
48,9,41,41,100.0,48009
48,10,23,23,100.0,48010
48,11,20,20,100.0,48011
48,12,34,34,100.0,48012
48,13,55,55,100.0,48013
48,14,32,32,100.0,48014
48,15,28,28,100.0,48015
48,16,23,23,100.0,48016
48,17,33,33,100.0,48017
48,18,29,29,100.0,48018
48,19,19,19,100.0,48019
48,20,28,28,100.0,48020
48,21,29,29,100.0,48021
48,22,47,47,100.0,48022
48,23,53,53,100.0,48023
48,24,48,48,100.0,48024
48,25,27,27,100.0,48025
48,26,12,12,100.0,48026
48,27,39,39,100.0,48027
48,28,50,50,100.0,48028
48,29,18,18,100.0,48029
48,30,19,19,100.0,48030
48,31,39,39,100.0,48031
48,32,15,15,100.0,48032
48,33,29,29,100.0,48033
48,34,19,19,100.0,48034
48,35,19,19,100.0,48035
48,36,18,18,100.0,48036
48,37,23,23,100.0,48037
48,38,21,21,100.0,48038
48,39,38,38,100.0,48039
48,40,20,20,100.0,48040
48,41,25,25,100.0,48041
48,42,18,18,100.0,48042
48,43,23,23,100.0,48043
48,44,21,21,100.0,48044
48,45,23,23,100.0,48045
48,46,29,29,100.0,48046
