ward,precinct,total,Victor Horne,Victor Horne Percent,precinct_id
19,1,36,36,100.0,19001
19,2,17,17,100.0,19002
19,4,108,108,100.0,19004
19,6,82,82,100.0,19006
19,7,46,46,100.0,19007
19,8,112,112,100.0,19008
19,10,41,41,100.0,19010
19,11,81,81,100.0,19011
19,13,8,8,100.0,19013
19,15,106,106,100.0,19015
19,16,74,74,100.0,19016
19,17,52,52,100.0,19017
19,18,43,43,100.0,19018
19,19,48,48,100.0,19019
19,21,95,95,100.0,19021
19,22,46,46,100.0,19022
19,23,57,57,100.0,19023
19,24,3,3,100.0,19024
19,25,50,50,100.0,19025
19,26,62,62,100.0,19026
19,27,23,23,100.0,19027
19,28,10,10,100.0,19028
19,29,103,103,100.0,19029
19,30,75,75,100.0,19030
19,32,57,57,100.0,19032
19,33,71,71,100.0,19033
19,34,41,41,100.0,19034
19,35,34,34,100.0,19035
19,36,27,27,100.0,19036
19,37,19,19,100.0,19037
19,38,21,21,100.0,19038
19,39,4,4,100.0,19039
19,41,79,79,100.0,19041
19,44,88,88,100.0,19044
19,45,81,81,100.0,19045
19,46,66,66,100.0,19046
19,50,40,40,100.0,19050
19,51,50,50,100.0,19051
19,52,93,93,100.0,19052
19,53,41,41,100.0,19053
19,54,86,86,100.0,19054
19,56,6,6,100.0,19056
19,57,21,21,100.0,19057
21,1,2,2,100.0,21001
21,3,1,1,100.0,21003
21,8,2,2,100.0,21008
21,14,6,6,100.0,21014
21,16,1,1,100.0,21016
21,18,1,1,100.0,21018
21,22,1,1,100.0,21022
21,29,1,1,100.0,21029
21,32,4,4,100.0,21032
21,36,0,0,0.0,21036
21,42,1,1,100.0,21042
21,48,2,2,100.0,21048
34,49,3,3,100.0,34049
