ward,precinct,total,Antonio Mannings,Antonio Mannings Percent,precinct_id
12,1,23,23,100.0,12001
12,2,10,10,100.0,12002
12,3,25,25,100.0,12003
12,4,15,15,100.0,12004
12,5,22,22,100.0,12005
12,6,17,17,100.0,12006
12,7,5,5,100.0,12007
12,8,15,15,100.0,12008
12,9,16,16,100.0,12009
12,10,5,5,100.0,12010
12,11,13,13,100.0,12011
12,12,15,15,100.0,12012
12,13,14,14,100.0,12013
12,14,5,5,100.0,12014
12,15,10,10,100.0,12015
12,16,7,7,100.0,12016
12,17,18,18,100.0,12017
12,18,7,7,100.0,12018
12,19,17,17,100.0,12019
12,20,22,22,100.0,12020
12,21,20,20,100.0,12021
12,22,5,5,100.0,12022
12,23,24,24,100.0,12023
