ward,precinct,total,Darnell B. Macklin,Darnell B. Macklin Percent,precinct_id
6,1,3,3,100.0,06001
6,2,4,4,100.0,06002
6,3,1,1,100.0,06003
6,4,2,2,100.0,06004
6,5,0,0,0.0,06005
6,6,4,4,100.0,06006
6,7,3,3,100.0,06007
6,8,2,2,100.0,06008
6,9,3,3,100.0,06009
6,10,1,1,100.0,06010
6,11,7,7,100.0,06011
6,12,4,4,100.0,06012
6,13,3,3,100.0,06013
6,14,3,3,100.0,06014
6,15,0,0,0.0,06015
6,16,1,1,100.0,06016
6,17,0,0,0.0,06017
6,18,0,0,0.0,06018
6,19,0,0,0.0,06019
6,20,0,0,0.0,06020
6,21,0,0,0.0,06021
6,22,4,4,100.0,06022
6,23,3,3,100.0,06023
6,24,0,0,0.0,06024
6,25,3,3,100.0,06025
6,26,1,1,100.0,06026
6,27,2,2,100.0,06027
6,28,1,1,100.0,06028
6,29,1,1,100.0,06029
6,30,1,1,100.0,06030
6,31,2,2,100.0,06031
6,32,2,2,100.0,06032
6,33,4,4,100.0,06033
6,34,3,3,100.0,06034
6,35,3,3,100.0,06035
6,36,1,1,100.0,06036
6,37,3,3,100.0,06037
6,38,2,2,100.0,06038
6,39,0,0,0.0,06039
6,40,0,0,0.0,06040
6,41,1,1,100.0,06041
6,42,3,3,100.0,06042
6,43,1,1,100.0,06043
6,44,21,21,100.0,06044
6,45,3,3,100.0,06045
6,46,0,0,0.0,06046
6,47,2,2,100.0,06047
6,48,5,5,100.0,06048
