ward,precinct,total,Lori Yokoyama,Lori Yokoyama Percent,precinct_id
4,1,21,21,100.0,04001
4,2,62,62,100.0,04002
4,3,3,3,100.0,04003
4,4,5,5,100.0,04004
4,5,9,9,100.0,04005
4,6,6,6,100.0,04006
4,7,6,6,100.0,04007
4,8,2,2,100.0,04008
4,9,3,3,100.0,04009
4,10,10,10,100.0,04010
4,11,6,6,100.0,04011
4,12,2,2,100.0,04012
4,13,23,23,100.0,04013
4,14,3,3,100.0,04014
4,15,8,8,100.0,04015
4,16,41,41,100.0,04016
4,17,46,46,100.0,04017
4,18,4,4,100.0,04018
4,19,0,0,0.0,04019
4,20,40,40,100.0,04020
4,21,48,48,100.0,04021
4,22,17,17,100.0,04022
4,23,23,23,100.0,04023
4,24,18,18,100.0,04024
4,25,53,53,100.0,04025
4,26,7,7,100.0,04026
4,27,19,19,100.0,04027
4,28,12,12,100.0,04028
4,29,4,4,100.0,04029
4,30,3,3,100.0,04030
4,31,8,8,100.0,04031
4,32,4,4,100.0,04032
4,33,11,11,100.0,04033
4,34,9,9,100.0,04034
4,35,4,4,100.0,04035
4,36,3,3,100.0,04036
4,37,64,64,100.0,04037
4,38,0,0,0.0,04038
