ward,precinct,total,Percy V. Coleman,Percy V. Coleman Percent,precinct_id
34,1,1,1,100.0,34001
34,2,1,1,100.0,34002
34,3,2,2,100.0,34003
34,4,1,1,100.0,34004
34,5,3,3,100.0,34005
34,6,6,6,100.0,34006
34,7,3,3,100.0,34007
34,8,0,0,0.0,34008
34,9,6,6,100.0,34009
34,10,2,2,100.0,34010
34,11,2,2,100.0,34011
34,12,3,3,100.0,34012
34,13,0,0,0.0,34013
34,14,3,3,100.0,34014
34,15,2,2,100.0,34015
34,16,2,2,100.0,34016
34,17,3,3,100.0,34017
34,18,3,3,100.0,34018
34,19,1,1,100.0,34019
34,20,0,0,0.0,34020
34,21,4,4,100.0,34021
34,22,2,2,100.0,34022
34,23,1,1,100.0,34023
34,24,1,1,100.0,34024
34,25,2,2,100.0,34025
34,26,2,2,100.0,34026
34,27,1,1,100.0,34027
34,28,1,1,100.0,34028
34,29,1,1,100.0,34029
34,30,2,2,100.0,34030
34,31,0,0,0.0,34031
34,32,1,1,100.0,34032
34,33,2,2,100.0,34033
34,34,0,0,0.0,34034
34,35,5,5,100.0,34035
34,36,2,2,100.0,34036
34,37,1,1,100.0,34037
34,38,1,1,100.0,34038
34,39,2,2,100.0,34039
34,40,2,2,100.0,34040
34,41,2,2,100.0,34041
34,42,1,1,100.0,34042
34,43,5,5,100.0,34043
34,44,2,2,100.0,34044
34,45,1,1,100.0,34045
34,46,1,1,100.0,34046
34,47,3,3,100.0,34047
34,48,2,2,100.0,34048
34,49,4,4,100.0,34049
34,50,2,2,100.0,34050
34,51,4,4,100.0,34051
34,52,0,0,0.0,34052
34,53,3,3,100.0,34053
