ward,precinct,total,Scott Davis,Scott Davis Percent,precinct_id
44,1,77,77,100.0,44001
44,2,60,60,100.0,44002
44,3,38,38,100.0,44003
44,4,52,52,100.0,44004
44,5,57,57,100.0,44005
44,6,65,65,100.0,44006
44,7,53,53,100.0,44007
44,8,84,84,100.0,44008
44,9,75,75,100.0,44009
44,10,73,73,100.0,44010
44,11,69,69,100.0,44011
44,12,53,53,100.0,44012
44,13,81,81,100.0,44013
44,14,62,62,100.0,44014
44,15,46,46,100.0,44015
44,16,75,75,100.0,44016
44,17,52,52,100.0,44017
44,18,55,55,100.0,44018
44,19,69,69,100.0,44019
44,20,49,49,100.0,44020
44,21,49,49,100.0,44021
44,22,53,53,100.0,44022
44,23,61,61,100.0,44023
44,24,46,46,100.0,44024
44,25,66,66,100.0,44025
44,26,60,60,100.0,44026
44,27,74,74,100.0,44027
44,28,45,45,100.0,44028
44,29,75,75,100.0,44029
44,30,71,71,100.0,44030
44,31,51,51,100.0,44031
44,32,72,72,100.0,44032
44,33,29,29,100.0,44033
44,34,45,45,100.0,44034
44,35,85,85,100.0,44035
44,36,54,54,100.0,44036
44,37,38,38,100.0,44037
44,38,91,91,100.0,44038
44,39,83,83,100.0,44039
44,40,75,75,100.0,44040
44,41,55,55,100.0,44041
