ward,precinct,total,Vilma F. Garcia,Vilma F. Garcia Percent,Emma Walsh,Emma Walsh Percent,precinct_id
14,1,67,13,19.4,54,80.6,14001
14,2,36,11,30.56,25,69.44,14002
14,3,14,8,57.14,6,42.86,14003
14,4,69,14,20.29,55,79.71,14004
14,5,14,8,57.14,6,42.86,14005
14,6,5,3,60.0,2,40.0,14006
14,7,27,8,29.63,19,70.37,14007
14,8,29,12,41.38,17,58.62,14008
14,9,56,14,25.0,42,75.0,14009
14,10,18,4,22.22,14,77.78,14010
14,11,8,6,75.0,2,25.0,14011
14,12,31,13,41.94,18,58.06,14012
14,13,24,7,29.17,17,70.83,14013
14,14,10,3,30.0,7,70.0,14014
14,15,6,4,66.67,2,33.33,14015
14,16,17,6,35.29,11,64.71,14016
14,17,14,8,57.14,6,42.86,14017
14,18,16,7,43.75,9,56.25,14018
14,19,10,9,90.0,1,10.0,14019
14,20,12,6,50.0,6,50.0,14020
14,21,16,6,37.5,10,62.5,14021
14,22,48,12,25.0,36,75.0,14022
14,23,30,9,30.0,21,70.0,14023
14,24,60,11,18.33,49,81.67,14024
14,25,10,5,50.0,5,50.0,14025
14,26,11,7,63.64,4,36.36,14026
14,27,25,8,32.0,17,68.0,14027
14,28,19,11,57.89,8,42.11,14028
14,29,11,6,54.55,5,45.45,14029
14,30,6,3,50.0,3,50.0,14030
14,31,9,5,55.56,4,44.44,14031
