ward,precinct,total,Dan Patlak,Dan Patlak Percent,precinct_id
19,1,35,35,100.0,19001
19,2,18,18,100.0,19002
19,3,66,66,100.0,19003
19,4,105,105,100.0,19004
19,6,45,45,100.0,19006
19,8,111,111,100.0,19008
19,9,51,51,100.0,19009
19,11,83,83,100.0,19011
19,12,65,65,100.0,19012
19,15,108,108,100.0,19015
19,16,81,81,100.0,19016
19,19,14,14,100.0,19019
19,21,86,86,100.0,19021
19,22,50,50,100.0,19022
19,24,67,67,100.0,19024
19,29,12,12,100.0,19029
19,30,80,80,100.0,19030
19,33,98,98,100.0,19033
19,39,3,3,100.0,19039
19,41,73,73,100.0,19041
19,44,85,85,100.0,19044
19,45,83,83,100.0,19045
19,47,29,29,100.0,19047
19,51,47,47,100.0,19051
19,53,42,42,100.0,19053
19,54,87,87,100.0,19054
19,55,77,77,100.0,19055
41,3,60,60,100.0,41003
41,5,86,86,100.0,41005
41,7,103,103,100.0,41007
41,8,112,112,100.0,41008
41,11,75,75,100.0,41011
41,13,114,114,100.0,41013
41,15,85,85,100.0,41015
41,16,43,43,100.0,41016
41,17,86,86,100.0,41017
41,18,84,84,100.0,41018
41,20,64,64,100.0,41020
41,21,79,79,100.0,41021
41,22,84,84,100.0,41022
41,23,80,80,100.0,41023
41,25,55,55,100.0,41025
41,26,82,82,100.0,41026
41,27,28,28,100.0,41027
41,28,56,56,100.0,41028
41,29,52,52,100.0,41029
41,30,93,93,100.0,41030
41,31,80,80,100.0,41031
41,33,62,62,100.0,41033
41,34,62,62,100.0,41034
41,35,101,101,100.0,41035
41,36,89,89,100.0,41036
41,37,77,77,100.0,41037
41,38,63,63,100.0,41038
41,41,87,87,100.0,41041
41,43,97,97,100.0,41043
41,45,70,70,100.0,41045
41,46,90,90,100.0,41046
45,45,45,45,100.0,45045
45,46,48,48,100.0,45046
45,47,36,36,100.0,45047
45,48,66,66,100.0,45048
