ward,precinct,total,Adrian J Wright,Adrian J Wright Percent,precinct_id
3,1,2,2,100.0,03001
3,2,1,1,100.0,03002
3,3,7,7,100.0,03003
3,4,3,3,100.0,03004
3,5,0,0,0.0,03005
3,6,62,62,100.0,03006
3,7,3,3,100.0,03007
3,8,2,2,100.0,03008
3,9,6,6,100.0,03009
3,10,3,3,100.0,03010
3,11,1,1,100.0,03011
3,12,0,0,0.0,03012
3,13,55,55,100.0,03013
3,14,36,36,100.0,03014
3,15,4,4,100.0,03015
3,16,5,5,100.0,03016
3,17,28,28,100.0,03017
3,18,6,6,100.0,03018
3,19,72,72,100.0,03019
3,20,2,2,100.0,03020
3,21,49,49,100.0,03021
3,22,52,52,100.0,03022
3,23,5,5,100.0,03023
3,24,4,4,100.0,03024
3,25,93,93,100.0,03025
3,26,46,46,100.0,03026
3,27,64,64,100.0,03027
3,28,2,2,100.0,03028
3,29,5,5,100.0,03029
3,30,2,2,100.0,03030
3,31,3,3,100.0,03031
3,32,47,47,100.0,03032
3,33,54,54,100.0,03033
3,34,48,48,100.0,03034
3,35,2,2,100.0,03035
3,36,1,1,100.0,03036
3,37,2,2,100.0,03037
3,38,1,1,100.0,03038
3,39,69,69,100.0,03039
3,40,20,20,100.0,03040
3,41,18,18,100.0,03041
