ward,precinct,total,Jessica White,Jessica White Percent,precinct_id
47,1,34,34,100.0,47001
47,2,44,44,100.0,47002
47,3,48,48,100.0,47003
47,4,53,53,100.0,47004
47,5,32,32,100.0,47005
47,6,55,55,100.0,47006
47,7,37,37,100.0,47007
47,8,64,64,100.0,47008
47,9,47,47,100.0,47009
47,10,47,47,100.0,47010
47,11,62,62,100.0,47011
47,12,46,46,100.0,47012
47,13,29,29,100.0,47013
47,14,50,50,100.0,47014
47,15,20,20,100.0,47015
47,16,43,43,100.0,47016
47,17,56,56,100.0,47017
47,18,57,57,100.0,47018
47,19,25,25,100.0,47019
47,20,48,48,100.0,47020
47,21,25,25,100.0,47021
47,22,38,38,100.0,47022
47,23,16,16,100.0,47023
47,24,39,39,100.0,47024
47,25,45,45,100.0,47025
47,26,50,50,100.0,47026
47,27,32,32,100.0,47027
47,28,39,39,100.0,47028
47,29,60,60,100.0,47029
47,30,46,46,100.0,47030
47,31,27,27,100.0,47031
47,32,42,42,100.0,47032
47,33,53,53,100.0,47033
47,34,49,49,100.0,47034
47,35,58,58,100.0,47035
47,36,40,40,100.0,47036
47,37,37,37,100.0,47037
47,38,43,43,100.0,47038
47,39,36,36,100.0,47039
47,40,33,33,100.0,47040
47,41,39,39,100.0,47041
47,42,27,27,100.0,47042
47,43,53,53,100.0,47043
47,44,51,51,100.0,47044
47,45,34,34,100.0,47045
47,46,38,38,100.0,47046
47,47,60,60,100.0,47047
47,48,4,4,100.0,47048
