ward,precinct,total,Larry G. Nelson,Larry G. Nelson Percent,precinct_id
24,1,1,1,100.0,24001
24,2,4,4,100.0,24002
24,3,3,3,100.0,24003
24,4,0,0,0.0,24004
24,5,1,1,100.0,24005
24,6,3,3,100.0,24006
24,7,3,3,100.0,24007
24,8,3,3,100.0,24008
24,9,5,5,100.0,24009
24,10,0,0,0.0,24010
24,11,2,2,100.0,24011
24,12,0,0,0.0,24012
24,13,1,1,100.0,24013
24,14,0,0,0.0,24014
24,15,2,2,100.0,24015
24,16,2,2,100.0,24016
24,17,0,0,0.0,24017
24,18,2,2,100.0,24018
24,19,0,0,0.0,24019
24,20,0,0,0.0,24020
24,21,1,1,100.0,24021
24,22,0,0,0.0,24022
24,23,2,2,100.0,24023
24,24,1,1,100.0,24024
24,25,6,6,100.0,24025
24,26,2,2,100.0,24026
24,27,0,0,0.0,24027
24,28,1,1,100.0,24028
24,29,2,2,100.0,24029
24,30,0,0,0.0,24030
24,31,4,4,100.0,24031
24,32,0,0,0.0,24032
24,33,4,4,100.0,24033
24,34,1,1,100.0,24034
24,35,2,2,100.0,24035
24,36,1,1,100.0,24036
24,37,1,1,100.0,24037
24,38,4,4,100.0,24038
24,39,10,10,100.0,24039
24,40,0,0,0.0,24040
24,41,0,0,0.0,24041
