ward,precinct,total,Daniel J. Kelley,Daniel J. Kelley Percent,precinct_id
40,1,24,24,100.0,40001
40,2,27,27,100.0,40002
40,3,23,23,100.0,40003
40,4,19,19,100.0,40004
40,5,32,32,100.0,40005
40,6,29,29,100.0,40006
40,7,32,32,100.0,40007
40,8,34,34,100.0,40008
40,9,21,21,100.0,40009
40,10,35,35,100.0,40010
40,11,28,28,100.0,40011
40,12,28,28,100.0,40012
40,13,28,28,100.0,40013
40,14,34,34,100.0,40014
40,15,35,35,100.0,40015
40,16,35,35,100.0,40016
40,17,23,23,100.0,40017
40,18,13,13,100.0,40018
40,19,48,48,100.0,40019
40,20,32,32,100.0,40020
40,21,45,45,100.0,40021
40,22,31,31,100.0,40022
40,23,39,39,100.0,40023
40,24,30,30,100.0,40024
40,25,26,26,100.0,40025
40,26,15,15,100.0,40026
40,27,29,29,100.0,40027
40,28,24,24,100.0,40028
40,29,40,40,100.0,40029
40,30,43,43,100.0,40030
40,31,31,31,100.0,40031
40,32,33,33,100.0,40032
40,33,26,26,100.0,40033
40,34,31,31,100.0,40034
40,35,24,24,100.0,40035
40,36,33,33,100.0,40036
40,37,25,25,100.0,40037
40,38,34,34,100.0,40038
40,39,2,2,100.0,40039
