ward,precinct,total,Richard Munnich,Richard Munnich Percent,precinct_id
16,1,6,6,100.0,16001
16,2,1,1,100.0,16002
16,3,0,0,0.0,16003
16,4,5,5,100.0,16004
16,5,0,0,0.0,16005
16,6,1,1,100.0,16006
16,7,0,0,0.0,16007
16,8,3,3,100.0,16008
16,9,3,3,100.0,16009
16,10,1,1,100.0,16010
16,11,2,2,100.0,16011
16,12,2,2,100.0,16012
16,13,5,5,100.0,16013
16,14,3,3,100.0,16014
16,15,1,1,100.0,16015
16,16,0,0,0.0,16016
16,17,12,12,100.0,16017
16,18,6,6,100.0,16018
16,19,1,1,100.0,16019
16,20,1,1,100.0,16020
16,21,3,3,100.0,16021
16,22,2,2,100.0,16022
16,23,3,3,100.0,16023
16,24,0,0,0.0,16024
16,25,0,0,0.0,16025
16,26,0,0,0.0,16026
16,27,1,1,100.0,16027
16,28,0,0,0.0,16028
16,29,0,0,0.0,16029
16,30,1,1,100.0,16030
16,31,0,0,0.0,16031
16,32,10,10,100.0,16032
16,33,1,1,100.0,16033
16,34,1,1,100.0,16034
16,35,4,4,100.0,16035
16,36,1,1,100.0,16036
