ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
41,1,122,122,100.0,41001
41,2,109,109,100.0,41002
41,3,72,72,100.0,41003
41,4,81,81,100.0,41004
41,5,108,108,100.0,41005
41,6,82,82,100.0,41006
41,7,123,123,100.0,41007
41,8,133,133,100.0,41008
41,9,66,66,100.0,41009
41,10,103,103,100.0,41010
41,11,109,109,100.0,41011
41,12,98,98,100.0,41012
41,13,145,145,100.0,41013
41,14,102,102,100.0,41014
41,15,110,110,100.0,41015
41,16,97,97,100.0,41016
41,17,111,111,100.0,41017
41,18,102,102,100.0,41018
41,19,93,93,100.0,41019
41,20,87,87,100.0,41020
41,21,93,93,100.0,41021
41,22,119,119,100.0,41022
41,23,101,101,100.0,41023
41,24,96,96,100.0,41024
41,25,64,64,100.0,41025
41,26,95,95,100.0,41026
41,27,64,64,100.0,41027
41,28,59,59,100.0,41028
41,29,53,53,100.0,41029
41,30,108,108,100.0,41030
41,31,103,103,100.0,41031
41,32,71,71,100.0,41032
41,33,80,80,100.0,41033
41,34,82,82,100.0,41034
41,35,125,125,100.0,41035
41,36,113,113,100.0,41036
41,37,94,94,100.0,41037
41,38,77,77,100.0,41038
41,39,79,79,100.0,41039
41,40,127,127,100.0,41040
41,41,115,115,100.0,41041
41,42,101,101,100.0,41042
41,43,122,122,100.0,41043
41,44,127,127,100.0,41044
41,45,88,88,100.0,41045
41,46,93,93,100.0,41046
41,47,74,74,100.0,41047
