ward,precinct,total,Carol Smith Donovan (Bush),Carol Smith Donovan (Bush) Percent,Brian Timpone (Bush),Brian Timpone (Bush) Percent,Kathleen A. Thomas (Bush),Kathleen A. Thomas (Bush) Percent,Lora Drobetsky (Trump),Lora Drobetsky (Trump) Percent,Steve Trimble (Trump),Steve Trimble (Trump) Percent,John Simpson (Trump),John Simpson (Trump) Percent,Laura Lewandowski (Christie),Laura Lewandowski (Christie) Percent,Stephanie Guyett (Christie),Stephanie Guyett (Christie) Percent,Douglas Guyett (Christie),Douglas Guyett (Christie) Percent,James Francis Zangrilli (Cruz),James Francis Zangrilli (Cruz) Percent,Kerrie Reed (Cruz),Kerrie Reed (Cruz) Percent,Joshua Hammer (Cruz),Joshua Hammer (Cruz) Percent,Carl Segvich (Santorum),Carl Segvich (Santorum) Percent,Corinne Williams (Fiorina),Corinne Williams (Fiorina) Percent,Jeff Halm (Fiorina),Jeff Halm (Fiorina) Percent,Kathryn ''Kayte'' Malik (Fiorina),Kathryn ''Kayte'' Malik (Fiorina) Percent,Nancy J. Kimme (Kasich),Nancy J. Kimme (Kasich) Percent,William Dean Smithburg (Kasich),William Dean Smithburg (Kasich) Percent,Kreg T. Allison (Kasich),Kreg T. Allison (Kasich) Percent,Amanda B. Dechavez (Carson),Amanda B. Dechavez (Carson) Percent,Thomas Edward McDonough (Carson),Thomas Edward McDonough (Carson) Percent,Bruce John Schulte (Carson),Bruce John Schulte (Carson) Percent,Grace Austin (Paul),Grace Austin (Paul) Percent,Alberta Grossi-Antweiler (Paul),Alberta Grossi-Antweiler (Paul) Percent,Eloise Gerson (Rubio),Eloise Gerson (Rubio) Percent,Michael Rolfes (Rubio),Michael Rolfes (Rubio) Percent,Brendan Seyring (Rubio),Brendan Seyring (Rubio) Percent,precinct_id
1,12,170,1,0.59,1,0.59,2,1.18,22,12.94,21,12.35,19,11.18,3,1.76,1,0.59,0,0.0,8,4.71,14,8.24,11,6.47,0,0.0,0,0.0,0,0.0,1,0.59,21,12.35,13,7.65,16,9.41,1,0.59,0,0.0,0,0.0,0,0.0,0,0.0,7,4.12,4,2.35,4,2.35,01012
1,14,29,0,0.0,0,0.0,0,0.0,2,6.9,3,10.34,2,6.9,0,0.0,0,0.0,1,3.45,0,0.0,3,10.34,2,6.9,0,0.0,0,0.0,0,0.0,0,0.0,6,20.69,1,3.45,2,6.9,0,0.0,0,0.0,0,0.0,2,6.9,0,0.0,2,6.9,1,3.45,2,6.9,01014
1,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01015
1,32,44,0,0.0,0,0.0,1,2.27,7,15.91,6,13.64,6,13.64,0,0.0,0,0.0,0,0.0,2,4.55,5,11.36,4,9.09,0,0.0,1,2.27,0,0.0,0,0.0,4,9.09,2,4.55,3,6.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.27,1,2.27,1,2.27,01032
2,2,243,2,0.82,1,0.41,3,1.23,33,13.58,32,13.17,33,13.58,1,0.41,1,0.41,1,0.41,9,3.7,11,4.53,10,4.12,0,0.0,1,0.41,0,0.0,0,0.0,29,11.93,19,7.82,25,10.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,4.94,10,4.12,10,4.12,02002
2,9,324,2,0.62,2,0.62,1,0.31,25,7.72,29,8.95,24,7.41,1,0.31,4,1.23,1,0.31,7,2.16,11,3.4,8,2.47,0,0.0,1,0.31,0,0.0,1,0.31,57,17.59,48,14.81,50,15.43,1,0.31,0,0.0,1,0.31,0,0.0,0,0.0,17,5.25,17,5.25,16,4.94,02009
2,10,352,0,0.0,1,0.28,1,0.28,37,10.51,38,10.8,38,10.8,0,0.0,1,0.28,1,0.28,7,1.99,10,2.84,10,2.84,0,0.0,1,0.28,1,0.28,1,0.28,48,13.64,41,11.65,50,14.2,0,0.0,1,0.28,0,0.0,1,0.28,0,0.0,24,6.82,21,5.97,19,5.4,02010
2,11,383,3,0.78,2,0.52,3,0.78,26,6.79,25,6.53,26,6.79,1,0.26,1,0.26,1,0.26,12,3.13,17,4.44,17,4.44,0,0.0,1,0.26,0,0.0,0,0.0,69,18.02,56,14.62,63,16.45,1,0.26,3,0.78,3,0.78,2,0.52,0,0.0,21,5.48,15,3.92,15,3.92,02011
2,12,57,2,3.51,2,3.51,3,5.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5.26,4,7.02,3,5.26,0,0.0,1,1.75,0,0.0,0,0.0,13,22.81,11,19.3,12,21.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.75,1,1.75,1,1.75,02012
2,13,363,2,0.55,2,0.55,2,0.55,36,9.92,36,9.92,36,9.92,0,0.0,0,0.0,0,0.0,13,3.58,19,5.23,19,5.23,0,0.0,2,0.55,1,0.28,0,0.0,54,14.88,46,12.67,51,14.05,1,0.28,0,0.0,0,0.0,0,0.0,0,0.0,20,5.51,11,3.03,12,3.31,02013
