ward,precinct,total,Gabriel Trejo,Gabriel Trejo Percent,precinct_id
13,1,25,25,100.0,13001
13,2,27,27,100.0,13002
13,3,11,11,100.0,13003
13,4,42,42,100.0,13004
13,5,17,17,100.0,13005
13,6,26,26,100.0,13006
13,7,11,11,100.0,13007
13,8,36,36,100.0,13008
13,9,18,18,100.0,13009
13,10,39,39,100.0,13010
13,11,29,29,100.0,13011
13,12,22,22,100.0,13012
13,13,7,7,100.0,13013
13,14,15,15,100.0,13014
13,15,17,17,100.0,13015
13,16,5,5,100.0,13016
13,17,29,29,100.0,13017
13,18,28,28,100.0,13018
13,19,7,7,100.0,13019
13,20,32,32,100.0,13020
13,21,28,28,100.0,13021
13,22,39,39,100.0,13022
13,23,15,15,100.0,13023
13,24,18,18,100.0,13024
13,25,18,18,100.0,13025
13,26,21,21,100.0,13026
13,27,21,21,100.0,13027
13,28,9,9,100.0,13028
13,29,17,17,100.0,13029
13,30,4,4,100.0,13030
13,31,50,50,100.0,13031
13,32,25,25,100.0,13032
13,33,39,39,100.0,13033
13,34,15,15,100.0,13034
13,35,7,7,100.0,13035
13,36,8,8,100.0,13036
13,37,8,8,100.0,13037
13,38,28,28,100.0,13038
13,39,7,7,100.0,13039
13,40,14,14,100.0,13040
13,41,21,21,100.0,13041
13,42,37,37,100.0,13042
13,43,12,12,100.0,13043
13,44,3,3,100.0,13044
13,45,18,18,100.0,13045
13,46,18,18,100.0,13046
13,47,12,12,100.0,13047
13,48,17,17,100.0,13048
