ward,precinct,total,Stephen J. Balich (Cruz),Stephen J. Balich (Cruz) Percent,Jerry Randick (Cruz),Jerry Randick (Cruz) Percent,Nancy Ann Powell-Hayes (Cruz),Nancy Ann Powell-Hayes (Cruz) Percent,Thomas Beller (Christie),Thomas Beller (Christie) Percent,Patrick Hackett (Christie),Patrick Hackett (Christie) Percent,Kathryn Meyer (Christie),Kathryn Meyer (Christie) Percent,John Lynch (Trump),John Lynch (Trump) Percent,Cynthia Schaffer (Trump),Cynthia Schaffer (Trump) Percent,Bob Anderson (Trump),Bob Anderson (Trump) Percent,Colleen Grant Schumann (Bush),Colleen Grant Schumann (Bush) Percent,Scott McPherson (Bush),Scott McPherson (Bush) Percent,Ian Brenson (Bush),Ian Brenson (Bush) Percent,Salvador ''Tony'' Godinez (Fiorina),Salvador ''Tony'' Godinez (Fiorina) Percent,Sharon Kubasak (Fiorina),Sharon Kubasak (Fiorina) Percent,Deborah ''Debbie'' Burzinski (Fiorina),Deborah ''Debbie'' Burzinski (Fiorina) Percent,Christine Radogno (Kasich),Christine Radogno (Kasich) Percent,Sean M. Morrison (Kasich),Sean M. Morrison (Kasich) Percent,Elizabeth Ann Gorman (Kasich),Elizabeth Ann Gorman (Kasich) Percent,John Pappas (Paul),John Pappas (Paul) Percent,Dan Mitchell (Paul),Dan Mitchell (Paul) Percent,Harry W. Oryhon (Carson),Harry W. Oryhon (Carson) Percent,Mark S. Zajac (Carson),Mark S. Zajac (Carson) Percent,Barbara F. Hoffman (Carson),Barbara F. Hoffman (Carson) Percent,Herb Schumann (Rubio),Herb Schumann (Rubio) Percent,George Yukich (Rubio),George Yukich (Rubio) Percent,precinct_id
11,1,151,11,7.28,8,5.3,10,6.62,2,1.32,0,0.0,2,1.32,31,20.53,30,19.87,30,19.87,1,0.66,1,0.66,1,0.66,1,0.66,0,0.0,2,1.32,5,3.31,6,3.97,4,2.65,1,0.66,0,0.0,0,0.0,0,0.0,0,0.0,1,0.66,1,0.66,11001
11,4,110,8,7.27,10,9.09,8,7.27,0,0.0,0,0.0,1,0.91,18,16.36,20,18.18,19,17.27,0,0.0,0,0.0,1,0.91,0,0.0,1,0.91,0,0.0,3,2.73,4,3.64,2,1.82,1,0.91,0,0.0,0,0.0,0,0.0,0,0.0,5,4.55,5,4.55,11004
11,5,108,6,5.56,6,5.56,4,3.7,0,0.0,0,0.0,3,2.78,20,18.52,20,18.52,17,15.74,1,0.93,2,1.85,0,0.0,1,0.93,1,0.93,1,0.93,4,3.7,5,4.63,3,2.78,4,3.7,0,0.0,1,0.93,0,0.0,1,0.93,1,0.93,4,3.7,11005
11,8,111,5,4.5,3,2.7,1,0.9,1,0.9,1,0.9,0,0.0,18,16.22,20,18.02,19,17.12,2,1.8,1,0.9,0,0.0,1,0.9,0,0.0,1,0.9,4,3.6,4,3.6,4,3.6,0,0.0,0,0.0,0,0.0,1,0.9,2,1.8,9,8.11,7,6.31,11008
11,9,100,9,9.0,7,7.0,5,5.0,0,0.0,0,0.0,1,1.0,17,17.0,17,17.0,16,16.0,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,2,2.0,4,4.0,1,1.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,5,5.0,5,5.0,11009
11,10,97,8,8.25,8,8.25,5,5.15,2,2.06,0,0.0,1,1.03,16,16.49,12,12.37,10,10.31,0,0.0,2,2.06,2,2.06,0,0.0,0,0.0,0,0.0,5,5.15,6,6.19,4,4.12,2,2.06,0,0.0,0,0.0,1,1.03,0,0.0,3,3.09,4,4.12,11010
11,11,159,6,3.77,5,3.14,4,2.52,0,0.0,0,0.0,0,0.0,32,20.13,32,20.13,31,19.5,0,0.0,1,0.63,1,0.63,2,1.26,1,0.63,1,0.63,5,3.14,5,3.14,4,2.52,3,1.89,1,0.63,1,0.63,1,0.63,1,0.63,6,3.77,8,5.03,11011
11,12,231,14,6.06,14,6.06,12,5.19,1,0.43,0,0.0,2,0.87,47,20.35,49,21.21,50,21.65,2,0.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.3,2,0.87,5,2.16,3,1.3,2,0.87,4,1.73,3,1.3,4,1.73,5,2.16,4,1.73,11012
11,13,208,20,9.62,16,7.69,14,6.73,0,0.0,1,0.48,0,0.0,42,20.19,36,17.31,38,18.27,1,0.48,2,0.96,1,0.48,0,0.0,2,0.96,0,0.0,3,1.44,4,1.92,5,2.4,2,0.96,3,1.44,1,0.48,2,0.96,2,0.96,4,1.92,4,1.92,11013
11,15,43,5,11.63,3,6.98,3,6.98,0,0.0,0,0.0,0,0.0,7,16.28,6,13.95,6,13.95,1,2.33,0,0.0,1,2.33,1,2.33,0,0.0,0,0.0,2,4.65,2,4.65,2,4.65,0,0.0,0,0.0,1,2.33,0,0.0,0,0.0,1,2.33,1,2.33,11015
