ward,precinct,total,Kurt Fujio,Kurt Fujio Percent,precinct_id
49,1,4,4,100.0,49001
49,2,13,13,100.0,49002
49,3,18,18,100.0,49003
49,4,23,23,100.0,49004
49,5,24,24,100.0,49005
49,6,22,22,100.0,49006
49,7,50,50,100.0,49007
49,8,14,14,100.0,49008
49,9,39,39,100.0,49009
49,10,17,17,100.0,49010
49,11,20,20,100.0,49011
49,12,19,19,100.0,49012
49,13,31,31,100.0,49013
49,14,23,23,100.0,49014
49,15,19,19,100.0,49015
49,16,34,34,100.0,49016
49,17,15,15,100.0,49017
49,18,20,20,100.0,49018
49,19,11,11,100.0,49019
49,20,34,34,100.0,49020
49,21,16,16,100.0,49021
49,22,32,32,100.0,49022
49,23,22,22,100.0,49023
49,24,14,14,100.0,49024
49,25,35,35,100.0,49025
49,26,29,29,100.0,49026
49,27,20,20,100.0,49027
49,28,30,30,100.0,49028
49,29,28,28,100.0,49029
49,30,29,29,100.0,49030
49,31,24,24,100.0,49031
49,32,14,14,100.0,49032
49,33,14,14,100.0,49033
