ward,precinct,total,Roisin M. Dohl,Roisin M. Dohl Percent,precinct_id
45,1,21,21,100.0,45001
45,2,16,16,100.0,45002
45,3,38,38,100.0,45003
45,4,38,38,100.0,45004
45,5,38,38,100.0,45005
45,6,56,56,100.0,45006
45,7,72,72,100.0,45007
45,8,37,37,100.0,45008
45,9,39,39,100.0,45009
45,10,59,59,100.0,45010
45,11,29,29,100.0,45011
45,12,48,48,100.0,45012
45,13,36,36,100.0,45013
45,14,49,49,100.0,45014
45,15,35,35,100.0,45015
45,16,28,28,100.0,45016
45,17,67,67,100.0,45017
45,18,64,64,100.0,45018
45,19,27,27,100.0,45019
45,20,42,42,100.0,45020
45,21,60,60,100.0,45021
45,22,46,46,100.0,45022
45,23,59,59,100.0,45023
45,24,61,61,100.0,45024
45,25,42,42,100.0,45025
45,26,37,37,100.0,45026
45,27,50,50,100.0,45027
45,28,53,53,100.0,45028
45,29,47,47,100.0,45029
45,30,29,29,100.0,45030
45,31,36,36,100.0,45031
45,32,40,40,100.0,45032
45,33,23,23,100.0,45033
45,34,41,41,100.0,45034
45,35,57,57,100.0,45035
45,36,56,56,100.0,45036
45,37,55,55,100.0,45037
45,38,36,36,100.0,45038
45,39,54,54,100.0,45039
45,40,64,64,100.0,45040
45,41,53,53,100.0,45041
45,42,49,49,100.0,45042
45,43,79,79,100.0,45043
45,44,71,71,100.0,45044
45,45,48,48,100.0,45045
45,46,48,48,100.0,45046
45,47,37,37,100.0,45047
45,48,68,68,100.0,45048
