ward,precinct,total,Robert J. Handzik,Robert J. Handzik Percent,precinct_id
23,1,39,39,100.0,23001
23,2,62,62,100.0,23002
23,3,70,70,100.0,23003
23,4,35,35,100.0,23004
23,5,11,11,100.0,23005
23,6,15,15,100.0,23006
23,7,18,18,100.0,23007
23,8,23,23,100.0,23008
23,9,12,12,100.0,23009
23,10,16,16,100.0,23010
23,11,11,11,100.0,23011
23,12,62,62,100.0,23012
23,13,12,12,100.0,23013
23,14,47,47,100.0,23014
23,15,22,22,100.0,23015
23,16,51,51,100.0,23016
23,17,5,5,100.0,23017
23,18,44,44,100.0,23018
23,19,18,18,100.0,23019
23,20,14,14,100.0,23020
23,21,57,57,100.0,23021
23,22,29,29,100.0,23022
23,23,53,53,100.0,23023
23,24,17,17,100.0,23024
23,25,17,17,100.0,23025
23,26,27,27,100.0,23026
23,27,39,39,100.0,23027
23,28,55,55,100.0,23028
23,29,27,27,100.0,23029
23,30,14,14,100.0,23030
23,31,9,9,100.0,23031
23,32,23,23,100.0,23032
23,33,23,23,100.0,23033
23,34,5,5,100.0,23034
23,35,40,40,100.0,23035
23,36,53,53,100.0,23036
23,37,49,49,100.0,23037
23,38,43,43,100.0,23038
23,39,11,11,100.0,23039
