ward,precinct,total,Frances ''Fran'' Sapone,Frances ''Fran'' Sapone Percent,precinct_id
29,1,31,31,100.0,29001
29,2,2,2,100.0,29002
29,3,0,0,0.0,29003
29,4,1,1,100.0,29004
29,5,1,1,100.0,29005
29,6,3,3,100.0,29006
29,7,11,11,100.0,29007
29,8,5,5,100.0,29008
29,9,46,46,100.0,29009
29,10,43,43,100.0,29010
29,11,1,1,100.0,29011
29,12,6,6,100.0,29012
29,13,5,5,100.0,29013
29,14,0,0,0.0,29014
29,15,3,3,100.0,29015
29,16,2,2,100.0,29016
29,17,1,1,100.0,29017
29,18,0,0,0.0,29018
29,19,2,2,100.0,29019
29,20,4,4,100.0,29020
29,21,5,5,100.0,29021
29,22,6,6,100.0,29022
29,23,31,31,100.0,29023
29,24,3,3,100.0,29024
29,25,2,2,100.0,29025
29,26,5,5,100.0,29026
29,27,0,0,0.0,29027
29,28,0,0,0.0,29028
29,29,40,40,100.0,29029
29,30,19,19,100.0,29030
29,31,60,60,100.0,29031
29,32,57,57,100.0,29032
29,33,1,1,100.0,29033
29,34,8,8,100.0,29034
29,35,0,0,0.0,29035
29,36,1,1,100.0,29036
29,37,6,6,100.0,29037
29,38,41,41,100.0,29038
29,39,30,30,100.0,29039
29,40,1,1,100.0,29040
29,41,1,1,100.0,29041
29,42,0,0,0.0,29042
29,43,14,14,100.0,29043
29,44,7,7,100.0,29044
