ward,precinct,total,Stan Bartkus,Stan Bartkus Percent,precinct_id
33,1,21,21,100.0,33001
33,2,20,20,100.0,33002
33,3,26,26,100.0,33003
33,4,44,44,100.0,33004
33,5,39,39,100.0,33005
33,6,18,18,100.0,33006
33,7,24,24,100.0,33007
33,8,38,38,100.0,33008
33,9,42,42,100.0,33009
33,10,31,31,100.0,33010
33,11,24,24,100.0,33011
33,12,33,33,100.0,33012
33,13,14,14,100.0,33013
33,14,9,9,100.0,33014
33,15,24,24,100.0,33015
33,16,44,44,100.0,33016
33,17,35,35,100.0,33017
33,18,28,28,100.0,33018
33,19,46,46,100.0,33019
33,20,32,32,100.0,33020
33,21,19,19,100.0,33021
33,22,21,21,100.0,33022
33,23,33,33,100.0,33023
33,24,46,46,100.0,33024
33,25,25,25,100.0,33025
33,26,19,19,100.0,33026
33,27,41,41,100.0,33027
33,28,21,21,100.0,33028
