ward,precinct,total,Rita Zak,Rita Zak Percent,precinct_id
42,1,79,79,100.0,42001
42,2,78,78,100.0,42002
42,3,45,45,100.0,42003
42,4,124,124,100.0,42004
42,5,54,54,100.0,42005
42,6,69,69,100.0,42006
42,7,95,95,100.0,42007
42,8,54,54,100.0,42008
42,9,52,52,100.0,42009
42,10,83,83,100.0,42010
42,11,65,65,100.0,42011
42,12,62,62,100.0,42012
42,13,85,85,100.0,42013
42,14,81,81,100.0,42014
42,15,64,64,100.0,42015
42,16,82,82,100.0,42016
42,17,110,110,100.0,42017
42,18,78,78,100.0,42018
42,19,92,92,100.0,42019
42,20,94,94,100.0,42020
42,21,57,57,100.0,42021
42,22,49,49,100.0,42022
42,23,83,83,100.0,42023
42,24,82,82,100.0,42024
42,25,106,106,100.0,42025
42,26,74,74,100.0,42026
42,27,58,58,100.0,42027
42,28,91,91,100.0,42028
42,29,75,75,100.0,42029
42,30,87,87,100.0,42030
42,31,94,94,100.0,42031
42,32,109,109,100.0,42032
42,33,48,48,100.0,42033
42,34,92,92,100.0,42034
42,35,90,90,100.0,42035
42,36,102,102,100.0,42036
42,37,63,63,100.0,42037
42,38,68,68,100.0,42038
42,39,70,70,100.0,42039
42,40,85,85,100.0,42040
42,41,61,61,100.0,42041
42,42,91,91,100.0,42042
