ward,precinct,total,precinct_id
6,1,0,06001
6,2,0,06002
6,3,0,06003
6,8,0,06008
6,13,0,06013
6,14,0,06014
6,16,0,06016
6,19,0,06019
6,29,0,06029
6,31,0,06031
6,34,0,06034
6,35,0,06035
6,36,0,06036
6,37,0,06037
6,38,0,06038
6,39,0,06039
6,41,0,06041
6,42,0,06042
6,43,0,06043
6,44,0,06044
6,45,0,06045
6,46,0,06046
8,15,0,08015
8,22,0,08022
8,26,0,08026
8,31,0,08031
8,32,0,08032
8,34,0,08034
8,39,0,08039
8,43,0,08043
8,45,0,08045
8,47,0,08047
8,54,0,08054
9,1,0,09001
9,7,0,09007
9,8,0,09008
9,9,0,09009
9,12,0,09012
9,13,0,09013
9,23,0,09023
9,24,0,09024
9,25,0,09025
9,28,0,09028
9,31,0,09031
9,36,0,09036
9,37,0,09037
9,38,0,09038
9,42,0,09042
9,43,0,09043
9,46,0,09046
9,47,0,09047
9,48,0,09048
9,49,0,09049
9,50,0,09050
9,51,0,09051
10,13,0,10013
10,16,0,10016
17,21,0,17021
21,31,0,21031
21,53,0,21053
