ward,precinct,total,Sammy Tenuta,Sammy Tenuta Percent,precinct_id
36,1,35,35,100.0,36001
36,2,22,22,100.0,36002
36,3,23,23,100.0,36003
36,4,14,14,100.0,36004
36,5,10,10,100.0,36005
36,6,20,20,100.0,36006
36,7,62,62,100.0,36007
36,8,3,3,100.0,36008
36,9,14,14,100.0,36009
36,10,35,35,100.0,36010
36,11,14,14,100.0,36011
36,12,6,6,100.0,36012
36,13,9,9,100.0,36013
36,14,29,29,100.0,36014
36,15,31,31,100.0,36015
36,16,32,32,100.0,36016
36,17,43,43,100.0,36017
36,18,39,39,100.0,36018
36,19,34,34,100.0,36019
36,20,34,34,100.0,36020
36,21,12,12,100.0,36021
36,22,10,10,100.0,36022
36,23,18,18,100.0,36023
36,24,42,42,100.0,36024
36,25,12,12,100.0,36025
36,26,58,58,100.0,36026
36,27,21,21,100.0,36027
36,28,47,47,100.0,36028
36,29,43,43,100.0,36029
36,30,28,28,100.0,36030
