ward,precinct,total,Lynn Renee Franco,Lynn Renee Franco Percent,precinct_id
8,1,2,2,100.0,08001
8,2,1,1,100.0,08002
8,3,0,0,0.0,08003
8,4,1,1,100.0,08004
8,5,4,4,100.0,08005
8,6,3,3,100.0,08006
8,7,1,1,100.0,08007
8,8,0,0,0.0,08008
8,9,0,0,0.0,08009
8,10,3,3,100.0,08010
8,11,0,0,0.0,08011
8,12,0,0,0.0,08012
8,13,1,1,100.0,08013
8,14,3,3,100.0,08014
8,15,2,2,100.0,08015
8,16,0,0,0.0,08016
8,17,1,1,100.0,08017
8,18,2,2,100.0,08018
8,19,4,4,100.0,08019
8,20,2,2,100.0,08020
8,21,1,1,100.0,08021
8,22,0,0,0.0,08022
8,23,3,3,100.0,08023
8,24,2,2,100.0,08024
8,25,0,0,0.0,08025
8,26,2,2,100.0,08026
8,27,2,2,100.0,08027
8,28,2,2,100.0,08028
8,29,1,1,100.0,08029
8,30,0,0,0.0,08030
8,31,4,4,100.0,08031
8,32,2,2,100.0,08032
8,33,2,2,100.0,08033
8,34,1,1,100.0,08034
8,35,3,3,100.0,08035
8,36,1,1,100.0,08036
8,37,3,3,100.0,08037
8,38,1,1,100.0,08038
8,39,3,3,100.0,08039
8,40,0,0,0.0,08040
8,41,1,1,100.0,08041
8,42,1,1,100.0,08042
8,43,0,0,0.0,08043
8,44,2,2,100.0,08044
8,45,1,1,100.0,08045
8,46,1,1,100.0,08046
8,47,2,2,100.0,08047
8,48,0,0,0.0,08048
8,49,0,0,0.0,08049
8,50,0,0,0.0,08050
8,51,0,0,0.0,08051
8,52,0,0,0.0,08052
8,53,0,0,0.0,08053
8,54,1,1,100.0,08054
8,55,0,0,0.0,08055
8,56,2,2,100.0,08056
