ward,precinct,total,Jonathan Edelman,Jonathan Edelman Percent,precinct_id
33,2,3,3,100.0,33002
33,7,8,8,100.0,33007
35,30,0,0,0.0,35030
39,1,55,55,100.0,39001
39,2,33,33,100.0,39002
39,4,53,53,100.0,39004
39,5,50,50,100.0,39005
39,6,32,32,100.0,39006
39,7,20,20,100.0,39007
39,8,22,22,100.0,39008
39,9,42,42,100.0,39009
39,10,12,12,100.0,39010
39,11,33,33,100.0,39011
39,12,11,11,100.0,39012
39,13,37,37,100.0,39013
39,14,36,36,100.0,39014
39,15,74,74,100.0,39015
39,16,33,33,100.0,39016
39,17,54,54,100.0,39017
39,18,37,37,100.0,39018
39,19,50,50,100.0,39019
39,24,3,3,100.0,39024
39,25,12,12,100.0,39025
39,26,51,51,100.0,39026
39,27,8,8,100.0,39027
39,29,7,7,100.0,39029
39,30,24,24,100.0,39030
39,31,2,2,100.0,39031
39,32,25,25,100.0,39032
39,33,36,36,100.0,39033
39,35,39,39,100.0,39035
39,36,6,6,100.0,39036
39,37,52,52,100.0,39037
39,38,34,34,100.0,39038
39,39,28,28,100.0,39039
39,40,38,38,100.0,39040
39,41,78,78,100.0,39041
39,42,59,59,100.0,39042
39,43,68,68,100.0,39043
39,44,53,53,100.0,39044
39,45,51,51,100.0,39045
41,6,72,72,100.0,41006
41,9,59,59,100.0,41009
41,14,87,87,100.0,41014
41,19,92,92,100.0,41019
41,32,59,59,100.0,41032
41,39,73,73,100.0,41039
41,47,68,68,100.0,41047
45,32,17,17,100.0,45032
50,24,70,70,100.0,50024
50,25,11,11,100.0,50025
