ward,precinct,total,Steven S. Graves,Steven S. Graves Percent,Danny Carbol,Danny Carbol Percent,precinct_id
19,1,53,23,43.4,30,56.6,19001
19,2,24,15,62.5,9,37.5,19002
19,3,103,42,40.78,61,59.22,19003
19,4,143,77,53.85,66,46.15,19004
19,5,43,20,46.51,23,53.49,19005
19,6,120,67,55.83,53,44.17,19006
19,7,55,32,58.18,23,41.82,19007
19,8,152,66,43.42,86,56.58,19008
19,9,65,31,47.69,34,52.31,19009
19,10,61,24,39.34,37,60.66,19010
19,11,122,55,45.08,67,54.92,19011
19,12,95,43,45.26,52,54.74,19012
19,13,9,5,55.56,4,44.44,19013
19,14,53,39,73.58,14,26.42,19014
19,15,158,91,57.59,67,42.41,19015
19,16,119,54,45.38,65,54.62,19016
19,17,68,39,57.35,29,42.65,19017
19,18,55,29,52.73,26,47.27,19018
19,19,55,33,60.0,22,40.0,19019
19,20,12,7,58.33,5,41.67,19020
19,21,132,65,49.24,67,50.76,19021
19,22,58,27,46.55,31,53.45,19022
19,23,67,34,50.75,33,49.25,19023
19,24,100,49,49.0,51,51.0,19024
19,25,63,31,49.21,32,50.79,19025
19,26,81,42,51.85,39,48.15,19026
19,27,27,15,55.56,12,44.44,19027
19,28,13,8,61.54,5,38.46,19028
19,29,148,93,62.84,55,37.16,19029
19,30,119,72,60.5,47,39.5,19030
19,31,52,29,55.77,23,44.23,19031
19,32,71,43,60.56,28,39.44,19032
19,33,134,73,54.48,61,45.52,19033
19,34,58,27,46.55,31,53.45,19034
19,35,48,24,50.0,24,50.0,19035
19,36,29,15,51.72,14,48.28,19036
19,37,24,11,45.83,13,54.17,19037
19,38,24,16,66.67,8,33.33,19038
19,39,4,3,75.0,1,25.0,19039
19,40,56,30,53.57,26,46.43,19040
19,41,109,64,58.72,45,41.28,19041
19,42,34,14,41.18,20,58.82,19042
19,43,6,3,50.0,3,50.0,19043
19,44,108,56,51.85,52,48.15,19044
19,45,101,60,59.41,41,40.59,19045
19,46,85,49,57.65,36,42.35,19046
19,47,34,19,55.88,15,44.12,19047
19,48,5,4,80.0,1,20.0,19048
19,49,29,14,48.28,15,51.72,19049
19,50,49,29,59.18,20,40.82,19050
19,51,62,28,45.16,34,54.84,19051
19,52,121,81,66.94,40,33.06,19052
19,53,57,30,52.63,27,47.37,19053
19,54,116,54,46.55,62,53.45,19054
19,55,118,65,55.08,53,44.92,19055
19,56,55,28,50.91,27,49.09,19056
19,57,26,18,69.23,8,30.77,19057
