ward,precinct,total,Guadalupe Jose Flores (Cruz),Guadalupe Jose Flores (Cruz) Percent,Steven J. Jedd (Cruz),Steven J. Jedd (Cruz) Percent,Michael S. Toleman (Cruz),Michael S. Toleman (Cruz) Percent,Justin Krope (Trump),Justin Krope (Trump) Percent,Diana Jayne (Trump),Diana Jayne (Trump) Percent,Richard Sawchuk (Trump),Richard Sawchuk (Trump) Percent,Glen Samson (Christie),Glen Samson (Christie) Percent,Carol Kissane (Christie),Carol Kissane (Christie) Percent,Gerard M. Kraus (Christie),Gerard M. Kraus (Christie) Percent,Jesus E. Solorio (Bush),Jesus E. Solorio (Bush) Percent,Louis J. Rodriguez (Bush),Louis J. Rodriguez (Bush) Percent,Joseph Urani (Bush),Joseph Urani (Bush) Percent,Richard Beierwaltes (Fiorina),Richard Beierwaltes (Fiorina) Percent,Helen Manson (Fiorina),Helen Manson (Fiorina) Percent,Susan Chmelik (Fiorina),Susan Chmelik (Fiorina) Percent,Timothy W. Heilenbach (Kasich),Timothy W. Heilenbach (Kasich) Percent,Vera A. Wilt (Kasich),Vera A. Wilt (Kasich) Percent,Ann Melichar (Kasich),Ann Melichar (Kasich) Percent,Karen Pulia (Rubio),Karen Pulia (Rubio) Percent,Tom Tomschin (Rubio),Tom Tomschin (Rubio) Percent,Daniela Garcia (Rubio),Daniela Garcia (Rubio) Percent,Alejandrino Diaz Jr. (Carson),Alejandrino Diaz Jr. (Carson) Percent,Welson Cesar (Carson),Welson Cesar (Carson) Percent,precinct_id
1,1,92,6,6.52,7,7.61,7,7.61,8,8.7,11,11.96,8,8.7,0,0.0,0,0.0,0,0.0,1,1.09,1,1.09,0,0.0,0,0.0,1,1.09,1,1.09,5,5.43,9,9.78,9,9.78,4,4.35,5,5.43,6,6.52,1,1.09,2,2.17,01001
1,2,59,6,10.17,5,8.47,5,8.47,4,6.78,5,8.47,6,10.17,0,0.0,0,0.0,0,0.0,1,1.69,2,3.39,1,1.69,0,0.0,0,0.0,0,0.0,3,5.08,6,10.17,5,8.47,3,5.08,3,5.08,4,6.78,0,0.0,0,0.0,01002
1,7,51,3,5.88,4,7.84,3,5.88,7,13.73,6,11.76,7,13.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.96,0,0.0,0,0.0,0,0.0,3,5.88,6,11.76,6,11.76,1,1.96,2,3.92,1,1.96,0,0.0,1,1.96,01007
1,9,66,7,10.61,8,12.12,8,12.12,5,7.58,4,6.06,5,7.58,0,0.0,0,0.0,0,0.0,1,1.52,0,0.0,2,3.03,0,0.0,0,0.0,0,0.0,3,4.55,5,7.58,3,4.55,5,7.58,3,4.55,4,6.06,0,0.0,3,4.55,01009
1,13,58,7,12.07,7,12.07,6,10.34,4,6.9,5,8.62,2,3.45,1,1.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,6.9,7,12.07,8,13.79,2,3.45,2,3.45,2,3.45,1,1.72,0,0.0,01013
1,15,91,7,7.69,6,6.59,7,7.69,7,7.69,7,7.69,8,8.79,1,1.1,0,0.0,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.1,0,0.0,7,7.69,11,12.09,12,13.19,6,6.59,5,5.49,5,5.49,0,0.0,0,0.0,01015
1,16,60,4,6.67,4,6.67,2,3.33,4,6.67,3,5.0,3,5.0,0,0.0,0,0.0,0,0.0,2,3.33,1,1.67,1,1.67,0,0.0,0,0.0,0,0.0,4,6.67,7,11.67,7,11.67,7,11.67,6,10.0,4,6.67,1,1.67,0,0.0,01016
1,17,36,2,5.56,2,5.56,2,5.56,4,11.11,5,13.89,6,16.67,1,2.78,1,2.78,0,0.0,0,0.0,0,0.0,0,0.0,1,2.78,2,5.56,1,2.78,2,5.56,3,8.33,2,5.56,1,2.78,0,0.0,1,2.78,0,0.0,0,0.0,01017
1,18,67,2,2.99,2,2.99,2,2.99,5,7.46,4,5.97,6,8.96,0,0.0,1,1.49,1,1.49,2,2.99,0,0.0,1,1.49,0,0.0,1,1.49,0,0.0,6,8.96,8,11.94,7,10.45,5,7.46,6,8.96,8,11.94,0,0.0,0,0.0,01018
1,19,80,5,6.25,3,3.75,5,6.25,5,6.25,6,7.5,6,7.5,0,0.0,0,0.0,0,0.0,0,0.0,1,1.25,0,0.0,0,0.0,1,1.25,1,1.25,6,7.5,6,7.5,6,7.5,7,8.75,7,8.75,10,12.5,2,2.5,3,3.75,01019
1,20,37,3,8.11,2,5.41,1,2.7,5,13.51,3,8.11,3,8.11,0,0.0,0,0.0,0,0.0,0,0.0,1,2.7,1,2.7,0,0.0,0,0.0,0,0.0,2,5.41,4,10.81,3,8.11,3,8.11,3,8.11,3,8.11,0,0.0,0,0.0,01020
1,22,58,5,8.62,7,12.07,9,15.52,2,3.45,3,5.17,2,3.45,0,0.0,1,1.72,0,0.0,2,3.45,1,1.72,0,0.0,0,0.0,0,0.0,0,0.0,4,6.9,6,10.34,6,10.34,2,3.45,2,3.45,5,8.62,0,0.0,1,1.72,01022
1,23,122,16,13.11,16,13.11,15,12.3,9,7.38,11,9.02,8,6.56,0,0.0,1,0.82,1,0.82,0,0.0,2,1.64,0,0.0,0,0.0,0,0.0,2,1.64,6,4.92,10,8.2,9,7.38,4,3.28,5,4.1,6,4.92,1,0.82,0,0.0,01023
1,24,61,3,4.92,6,9.84,5,8.2,6,9.84,5,8.2,6,9.84,0,0.0,0,0.0,0,0.0,1,1.64,1,1.64,2,3.28,0,0.0,0,0.0,0,0.0,3,4.92,5,8.2,6,9.84,4,6.56,4,6.56,4,6.56,0,0.0,0,0.0,01024
1,25,83,4,4.82,4,4.82,2,2.41,8,9.64,8,9.64,8,9.64,0,0.0,1,1.2,0,0.0,1,1.2,0,0.0,0,0.0,0,0.0,1,1.2,0,0.0,4,4.82,5,6.02,6,7.23,11,13.25,9,10.84,10,12.05,1,1.2,0,0.0,01025
1,26,58,7,12.07,6,10.34,6,10.34,7,12.07,7,12.07,5,8.62,0,0.0,0,0.0,0,0.0,1,1.72,2,3.45,0,0.0,0,0.0,1,1.72,0,0.0,1,1.72,1,1.72,1,1.72,4,6.9,2,3.45,4,6.9,1,1.72,2,3.45,01026
1,27,166,15,9.04,18,10.84,16,9.64,8,4.82,11,6.63,10,6.02,0,0.0,2,1.2,1,0.6,3,1.81,0,0.0,0,0.0,1,0.6,2,1.2,2,1.2,15,9.04,21,12.65,21,12.65,7,4.22,6,3.61,7,4.22,0,0.0,0,0.0,01027
1,29,139,8,5.76,8,5.76,9,6.47,7,5.04,8,5.76,4,2.88,0,0.0,1,0.72,0,0.0,2,1.44,3,2.16,1,0.72,0,0.0,2,1.44,0,0.0,12,8.63,21,15.11,21,15.11,10,7.19,10,7.19,9,6.47,1,0.72,2,1.44,01029
1,30,78,8,10.26,8,10.26,6,7.69,5,6.41,6,7.69,4,5.13,0,0.0,0,0.0,0,0.0,2,2.56,1,1.28,1,1.28,0,0.0,0,0.0,0,0.0,3,3.85,5,6.41,4,5.13,10,12.82,6,7.69,7,8.97,1,1.28,1,1.28,01030
1,31,101,9,8.91,12,11.88,9,8.91,5,4.95,5,4.95,6,5.94,1,0.99,1,0.99,1,0.99,1,0.99,2,1.98,3,2.97,0,0.0,0,0.0,0,0.0,6,5.94,9,8.91,12,11.88,5,4.95,5,4.95,8,7.92,1,0.99,0,0.0,01031
1,34,69,7,10.14,8,11.59,8,11.59,5,7.25,5,7.25,5,7.25,0,0.0,0,0.0,0,0.0,0,0.0,1,1.45,0,0.0,0,0.0,1,1.45,1,1.45,5,7.25,7,10.14,8,11.59,5,7.25,1,1.45,2,2.9,0,0.0,0,0.0,01034
1,38,78,2,2.56,2,2.56,3,3.85,6,7.69,6,7.69,5,6.41,1,1.28,1,1.28,0,0.0,1,1.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,8.97,8,10.26,9,11.54,9,11.54,9,11.54,9,11.54,0,0.0,0,0.0,01038
1,41,53,4,7.55,5,9.43,4,7.55,6,11.32,5,9.43,4,7.55,0,0.0,1,1.89,0,0.0,1,1.89,1,1.89,0,0.0,0,0.0,0,0.0,0,0.0,3,5.66,5,9.43,7,13.21,3,5.66,1,1.89,3,5.66,0,0.0,0,0.0,01041
1,42,41,4,9.76,4,9.76,4,9.76,4,9.76,6,14.63,3,7.32,0,0.0,0,0.0,1,2.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.44,3,7.32,5,12.2,3,7.32,2,4.88,1,2.44,0,0.0,0,0.0,01042
1,43,87,7,8.05,6,6.9,6,6.9,6,6.9,6,6.9,6,6.9,0,0.0,0,0.0,0,0.0,1,1.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,6.9,11,12.64,12,13.79,10,11.49,5,5.75,5,5.75,0,0.0,0,0.0,01043
1,44,50,1,2.0,2,4.0,2,4.0,3,6.0,3,6.0,4,8.0,0,0.0,0,0.0,0,0.0,1,2.0,2,4.0,0,0.0,1,2.0,1,2.0,1,2.0,6,12.0,9,18.0,10,20.0,1,2.0,2,4.0,1,2.0,0,0.0,0,0.0,01044
11,3,68,8,11.76,8,11.76,7,10.29,5,7.35,5,7.35,6,8.82,0,0.0,0,0.0,0,0.0,1,1.47,1,1.47,0,0.0,1,1.47,0,0.0,1,1.47,4,5.88,7,10.29,7,10.29,1,1.47,2,2.94,4,5.88,0,0.0,0,0.0,11003
11,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11037
11,38,28,3,10.71,3,10.71,2,7.14,4,14.29,5,17.86,6,21.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.57,1,3.57,1,3.57,1,3.57,1,3.57,0,0.0,0,0.0,11038
12,2,59,6,10.17,5,8.47,3,5.08,7,11.86,7,11.86,8,13.56,0,0.0,0,0.0,0,0.0,1,1.69,2,3.39,2,3.39,1,1.69,0,0.0,1,1.69,1,1.69,3,5.08,2,3.39,3,5.08,4,6.78,3,5.08,0,0.0,0,0.0,12002
