ward,precinct,total,Jason Wroble,Jason Wroble Percent,precinct_id
26,1,12,12,100.0,26001
26,2,12,12,100.0,26002
26,3,32,32,100.0,26003
26,4,7,7,100.0,26004
26,5,11,11,100.0,26005
26,6,16,16,100.0,26006
26,7,15,15,100.0,26007
26,8,4,4,100.0,26008
26,9,5,5,100.0,26009
26,10,11,11,100.0,26010
26,11,13,13,100.0,26011
26,12,15,15,100.0,26012
26,13,6,6,100.0,26013
26,14,7,7,100.0,26014
26,15,9,9,100.0,26015
26,16,7,7,100.0,26016
26,17,42,42,100.0,26017
26,18,8,8,100.0,26018
26,19,1,1,100.0,26019
26,20,7,7,100.0,26020
26,21,10,10,100.0,26021
26,22,8,8,100.0,26022
26,23,5,5,100.0,26023
26,24,7,7,100.0,26024
26,25,2,2,100.0,26025
26,26,9,9,100.0,26026
26,27,13,13,100.0,26027
26,28,29,29,100.0,26028
26,29,5,5,100.0,26029
26,30,6,6,100.0,26030
26,31,10,10,100.0,26031
26,32,30,30,100.0,26032
26,33,11,11,100.0,26033
26,34,13,13,100.0,26034
26,35,2,2,100.0,26035
26,36,11,11,100.0,26036
26,37,5,5,100.0,26037
26,38,5,5,100.0,26038
26,39,25,25,100.0,26039
26,40,6,6,100.0,26040
26,41,13,13,100.0,26041
26,42,10,10,100.0,26042
26,43,4,4,100.0,26043
26,44,0,0,0.0,26044
26,45,4,4,100.0,26045
26,46,28,28,100.0,26046
26,47,8,8,100.0,26047
26,48,13,13,100.0,26048
26,49,6,6,100.0,26049
