ward,precinct,total,Mark Spognardi,Mark Spognardi Percent,precinct_id
27,1,65,65,100.0,27001
27,2,32,32,100.0,27002
27,3,4,4,100.0,27003
27,4,6,6,100.0,27004
27,5,4,4,100.0,27005
27,6,22,22,100.0,27006
27,7,19,19,100.0,27007
27,8,1,1,100.0,27008
27,9,33,33,100.0,27009
27,10,4,4,100.0,27010
27,11,46,46,100.0,27011
27,12,37,37,100.0,27012
27,13,11,11,100.0,27013
27,14,1,1,100.0,27014
27,15,1,1,100.0,27015
27,16,56,56,100.0,27016
27,17,10,10,100.0,27017
27,18,4,4,100.0,27018
27,19,8,8,100.0,27019
27,20,3,3,100.0,27020
27,21,53,53,100.0,27021
27,22,1,1,100.0,27022
27,23,2,2,100.0,27023
27,24,9,9,100.0,27024
27,25,9,9,100.0,27025
27,26,5,5,100.0,27026
27,27,16,16,100.0,27027
27,28,13,13,100.0,27028
27,29,3,3,100.0,27029
27,30,0,0,0.0,27030
27,31,0,0,0.0,27031
27,32,10,10,100.0,27032
27,33,33,33,100.0,27033
27,34,3,3,100.0,27034
27,35,50,50,100.0,27035
27,36,8,8,100.0,27036
27,37,34,34,100.0,27037
27,38,50,50,100.0,27038
27,39,2,2,100.0,27039
27,40,30,30,100.0,27040
27,41,2,2,100.0,27041
27,42,37,37,100.0,27042
27,43,2,2,100.0,27043
27,44,1,1,100.0,27044
27,45,59,59,100.0,27045
27,46,47,47,100.0,27046
27,47,11,11,100.0,27047
27,48,37,37,100.0,27048
27,49,0,0,0.0,27049
27,50,1,1,100.0,27050
