ward,precinct,total,Matthew Foldi,Matthew Foldi Percent,precinct_id
5,1,3,3,100.0,05001
5,2,4,4,100.0,05002
5,3,12,12,100.0,05003
5,4,12,12,100.0,05004
5,5,1,1,100.0,05005
5,6,0,0,0.0,05006
5,7,13,13,100.0,05007
5,8,23,23,100.0,05008
5,9,11,11,100.0,05009
5,10,2,2,100.0,05010
5,11,23,23,100.0,05011
5,12,4,4,100.0,05012
5,13,5,5,100.0,05013
5,14,1,1,100.0,05014
5,15,10,10,100.0,05015
5,16,1,1,100.0,05016
5,17,0,0,0.0,05017
5,18,16,16,100.0,05018
5,19,15,15,100.0,05019
5,20,12,12,100.0,05020
5,21,10,10,100.0,05021
5,22,22,22,100.0,05022
5,23,21,21,100.0,05023
5,24,15,15,100.0,05024
5,25,1,1,100.0,05025
5,26,2,2,100.0,05026
5,27,30,30,100.0,05027
5,28,4,4,100.0,05028
5,29,8,8,100.0,05029
5,30,4,4,100.0,05030
5,31,3,3,100.0,05031
5,32,6,6,100.0,05032
5,33,1,1,100.0,05033
5,34,27,27,100.0,05034
5,35,21,21,100.0,05035
5,36,3,3,100.0,05036
5,37,20,20,100.0,05037
5,38,7,7,100.0,05038
5,39,18,18,100.0,05039
5,40,2,2,100.0,05040
5,41,4,4,100.0,05041
