ward,precinct,total,Phyllis Demarco (Cruz),Phyllis Demarco (Cruz) Percent,Sara Marie Lamantia (Cruz),Sara Marie Lamantia (Cruz) Percent,Brad Messervey (Cruz),Brad Messervey (Cruz) Percent,James Ignatowski (Trump),James Ignatowski (Trump) Percent,Steve Bayne (Trump),Steve Bayne (Trump) Percent,Cathryn Biga (Trump),Cathryn Biga (Trump) Percent,Angelo ''Skip'' Saviano (Bush),Angelo ''Skip'' Saviano (Bush) Percent,Amy S. Findlay (Bush),Amy S. Findlay (Bush) Percent,Heather E. Way Kitzes (Christie),Heather E. Way Kitzes (Christie) Percent,Ashvin Lad (Christie),Ashvin Lad (Christie) Percent,Alexander Doberstein (Christie),Alexander Doberstein (Christie) Percent,Scott Newhall (Fiorina),Scott Newhall (Fiorina) Percent,Lucinda ''Cindy'' Burke (Fiorina),Lucinda ''Cindy'' Burke (Fiorina) Percent,Robert Bedell (Fiorina),Robert Bedell (Fiorina) Percent,Ryan P. McNicholas (Kasich),Ryan P. McNicholas (Kasich) Percent,Paul A. Laliberte (Kasich),Paul A. Laliberte (Kasich) Percent,Richard J. Veenstra (Kasich),Richard J. Veenstra (Kasich) Percent,Jonathon H. Luers (Carson),Jonathon H. Luers (Carson) Percent,Evan Jane Ellman (Carson),Evan Jane Ellman (Carson) Percent,Laura M. Urbik Kern (Carson),Laura M. Urbik Kern (Carson) Percent,Sophia Babiarz (Paul),Sophia Babiarz (Paul) Percent,Earon Shaw Rein (Paul),Earon Shaw Rein (Paul) Percent,Sean T. Noonan (Rubio),Sean T. Noonan (Rubio) Percent,Laura Mary Kotelman (Rubio),Laura Mary Kotelman (Rubio) Percent,William C. Beck (Rubio),William C. Beck (Rubio) Percent,precinct_id
1,3,157,10,6.37,9,5.73,9,5.73,9,5.73,8,5.1,6,3.82,2,1.27,2,1.27,0,0.0,0,0.0,0,0.0,0,0.0,2,1.27,0,0.0,18,11.46,26,16.56,24,15.29,1,0.64,1,0.64,0,0.0,1,0.64,1,0.64,9,5.73,9,5.73,10,6.37,01003
1,4,195,11,5.64,9,4.62,8,4.1,12,6.15,13,6.67,13,6.67,0,0.0,0,0.0,2,1.03,2,1.03,0,0.0,2,1.03,1,0.51,0,0.0,19,9.74,21,10.77,23,11.79,0,0.0,1,0.51,0,0.0,5,2.56,0,0.0,19,9.74,15,7.69,18,9.23,01004
1,5,137,4,2.92,5,3.65,5,3.65,10,7.3,11,8.03,10,7.3,2,1.46,2,1.46,0,0.0,0,0.0,0,0.0,0,0.0,2,1.46,0,0.0,14,10.22,21,15.33,19,13.87,2,1.46,1,0.73,1,0.73,0,0.0,1,0.73,9,6.57,10,7.3,8,5.84,01005
1,6,132,6,4.55,7,5.3,5,3.79,9,6.82,13,9.85,11,8.33,2,1.52,2,1.52,1,0.76,1,0.76,0,0.0,0,0.0,6,4.55,0,0.0,13,9.85,16,12.12,17,12.88,1,0.76,1,0.76,0,0.0,3,2.27,2,1.52,7,5.3,5,3.79,4,3.03,01006
1,8,74,6,8.11,7,9.46,6,8.11,6,8.11,8,10.81,5,6.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,6.76,8,10.81,7,9.46,0,0.0,0,0.0,1,1.35,3,4.05,4,5.41,3,4.05,2,2.7,2,2.7,01008
1,10,133,6,4.51,6,4.51,7,5.26,8,6.02,10,7.52,7,5.26,0,0.0,0,0.0,0,0.0,1,0.75,0,0.0,1,0.75,1,0.75,0,0.0,17,12.78,21,15.79,19,14.29,2,1.5,1,0.75,1,0.75,3,2.26,2,1.5,8,6.02,6,4.51,6,4.51,01010
1,11,193,17,8.81,17,8.81,15,7.77,12,6.22,15,7.77,12,6.22,1,0.52,0,0.0,0,0.0,1,0.52,0,0.0,0,0.0,1,0.52,0,0.0,18,9.33,24,12.44,24,12.44,1,0.52,1,0.52,2,1.04,1,0.52,1,0.52,13,6.74,5,2.59,11,5.7,01011
1,14,84,7,8.33,5,5.95,6,7.14,4,4.76,5,5.95,5,5.95,1,1.19,1,1.19,0,0.0,0,0.0,0,0.0,1,1.19,1,1.19,1,1.19,12,14.29,14,16.67,13,15.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,4.76,2,2.38,1,1.19,01014
1,21,185,2,1.08,0,0.0,1,0.54,4,2.16,6,3.24,5,2.7,1,0.54,1,0.54,2,1.08,3,1.62,1,0.54,0,0.0,2,1.08,0,0.0,40,21.62,47,25.41,42,22.7,2,1.08,0,0.0,0,0.0,2,1.08,1,0.54,11,5.95,5,2.7,6,3.24,01021
1,28,8,0,0.0,1,12.5,0,0.0,2,25.0,2,25.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01028
1,32,77,3,3.9,3,3.9,3,3.9,8,10.39,7,9.09,8,10.39,0,0.0,1,1.3,0,0.0,0,0.0,2,2.6,0,0.0,0,0.0,0,0.0,11,14.29,13,16.88,13,16.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.9,1,1.3,1,1.3,01032
1,33,141,7,4.96,9,6.38,8,5.67,13,9.22,11,7.8,12,8.51,2,1.42,1,0.71,0,0.0,1,0.71,0,0.0,1,0.71,3,2.13,2,1.42,13,9.22,15,10.64,16,11.35,0,0.0,1,0.71,0,0.0,0,0.0,1,0.71,11,7.8,8,5.67,5,3.55,01033
1,35,176,11,6.25,14,7.95,12,6.82,19,10.8,20,11.36,18,10.23,2,1.14,3,1.7,0,0.0,0,0.0,1,0.57,2,1.14,1,0.57,1,0.57,9,5.11,14,7.95,15,8.52,1,0.57,1,0.57,2,1.14,1,0.57,2,1.14,11,6.25,8,4.55,7,3.98,01035
1,36,182,14,7.69,11,6.04,14,7.69,12,6.59,15,8.24,13,7.14,0,0.0,1,0.55,0,0.0,1,0.55,0,0.0,0,0.0,1,0.55,1,0.55,20,10.99,27,14.84,23,12.64,0,0.0,1,0.55,1,0.55,3,1.65,2,1.1,9,4.95,6,3.3,6,3.3,01036
1,37,141,9,6.38,7,4.96,5,3.55,22,15.6,19,13.48,20,14.18,0,0.0,2,1.42,0,0.0,0,0.0,0,0.0,1,0.71,2,1.42,2,1.42,8,5.67,13,9.22,12,8.51,0,0.0,1,0.71,0,0.0,0,0.0,0,0.0,9,6.38,4,2.84,5,3.55,01037
1,38,32,3,9.38,2,6.25,2,6.25,3,9.38,4,12.5,3,9.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.25,4,12.5,3,9.38,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,2,6.25,1,3.13,2,6.25,01038
1,39,104,7,6.73,10,9.62,8,7.69,6,5.77,8,7.69,8,7.69,1,0.96,1,0.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,11.54,15,14.42,12,11.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,5.77,5,4.81,5,4.81,01039
1,40,100,5,5.0,5,5.0,4,4.0,11,11.0,9,9.0,7,7.0,1,1.0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,15,15.0,13,13.0,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,7.0,4,4.0,3,3.0,01040
2,1,144,7,4.86,6,4.17,9,6.25,10,6.94,12,8.33,12,8.33,1,0.69,1,0.69,0,0.0,0,0.0,0,0.0,1,0.69,0,0.0,0,0.0,17,11.81,21,14.58,20,13.89,1,0.69,1,0.69,0,0.0,0,0.0,0,0.0,10,6.94,8,5.56,6,4.17,02001
2,3,164,3,1.83,3,1.83,5,3.05,17,10.37,17,10.37,15,9.15,2,1.22,4,2.44,1,0.61,1,0.61,0,0.0,1,0.61,1,0.61,2,1.22,17,10.37,26,15.85,26,15.85,2,1.22,0,0.0,0,0.0,2,1.22,1,0.61,5,3.05,8,4.88,4,2.44,02003
2,4,106,7,6.6,8,7.55,7,6.6,9,8.49,8,7.55,10,9.43,1,0.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,10.38,15,14.15,13,12.26,1,0.94,1,0.94,0,0.0,0,0.0,0,0.0,6,5.66,5,4.72,4,3.77,02004
2,5,196,11,5.61,14,7.14,12,6.12,14,7.14,17,8.67,14,7.14,2,1.02,3,1.53,0,0.0,0,0.0,0,0.0,0,0.0,1,0.51,1,0.51,22,11.22,28,14.29,28,14.29,1,0.51,0,0.0,1,0.51,3,1.53,2,1.02,10,5.1,5,2.55,5,2.55,02005
2,6,160,9,5.63,8,5.0,6,3.75,9,5.63,9,5.63,10,6.25,1,0.63,2,1.25,0,0.0,0,0.0,0,0.0,0,0.0,1,0.63,0,0.0,13,8.13,23,14.38,23,14.38,1,0.63,1,0.63,0,0.0,2,1.25,1,0.63,15,9.38,11,6.88,13,8.13,02006
2,7,141,7,4.96,10,7.09,8,5.67,7,4.96,7,4.96,8,5.67,1,0.71,1,0.71,0,0.0,2,1.42,0,0.0,1,0.71,0,0.0,0,0.0,15,10.64,21,14.89,19,13.48,1,0.71,0,0.0,0,0.0,0,0.0,0,0.0,11,7.8,9,6.38,10,7.09,02007
2,8,210,6,2.86,10,4.76,8,3.81,10,4.76,13,6.19,10,4.76,0,0.0,1,0.48,0,0.0,2,0.95,0,0.0,0,0.0,1,0.48,1,0.48,32,15.24,41,19.52,37,17.62,3,1.43,1,0.48,1,0.48,0,0.0,0,0.0,13,6.19,9,4.29,11,5.24,02008
2,12,166,12,7.23,10,6.02,9,5.42,8,4.82,10,6.02,10,6.02,0,0.0,1,0.6,1,0.6,1,0.6,1,0.6,0,0.0,0,0.0,1,0.6,24,14.46,29,17.47,29,17.47,1,0.6,1,0.6,0,0.0,0,0.0,0,0.0,6,3.61,6,3.61,6,3.61,02012
2,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02014
2,15,145,9,6.21,8,5.52,10,6.9,15,10.34,15,10.34,17,11.72,1,0.69,2,1.38,0,0.0,0,0.0,0,0.0,1,0.69,1,0.69,1,0.69,12,8.28,15,10.34,12,8.28,0,0.0,0,0.0,0,0.0,3,2.07,3,2.07,8,5.52,4,2.76,7,4.83,02015
2,16,124,9,7.26,8,6.45,6,4.84,5,4.03,6,4.84,8,6.45,1,0.81,1,0.81,0,0.0,1,0.81,0,0.0,0,0.0,0,0.0,0,0.0,15,12.1,20,16.13,21,16.94,1,0.81,0,0.0,0,0.0,2,1.61,1,0.81,10,8.06,4,3.23,5,4.03,02016
2,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02017
2,20,152,10,6.58,9,5.92,8,5.26,10,6.58,10,6.58,9,5.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,12.5,21,13.82,20,13.16,1,0.66,1,0.66,1,0.66,2,1.32,1,0.66,10,6.58,10,6.58,9,5.92,02020
2,21,130,7,5.38,5,3.85,4,3.08,14,10.77,16,12.31,17,13.08,0,0.0,1,0.77,1,0.77,0,0.0,1,0.77,0,0.0,0,0.0,0,0.0,18,13.85,18,13.85,18,13.85,0,0.0,0,0.0,0,0.0,1,0.77,1,0.77,2,1.54,3,2.31,3,2.31,02021
2,22,358,11,3.07,13,3.63,10,2.79,28,7.82,30,8.38,28,7.82,1,0.28,1,0.28,0,0.0,0,0.0,0,0.0,1,0.28,1,0.28,1,0.28,45,12.57,60,16.76,58,16.2,0,0.0,0,0.0,1,0.28,2,0.56,1,0.28,27,7.54,21,5.87,17,4.75,02022
2,24,236,9,3.81,10,4.24,10,4.24,16,6.78,17,7.2,15,6.36,0,0.0,2,0.85,3,1.27,1,0.42,0,0.0,0,0.0,0,0.0,0,0.0,33,13.98,47,19.92,40,16.95,2,0.85,0,0.0,0,0.0,1,0.42,0,0.0,14,5.93,7,2.97,8,3.39,02024
2,25,171,4,2.34,3,1.75,5,2.92,9,5.26,9,5.26,9,5.26,2,1.17,1,0.58,0,0.0,1,0.58,1,0.58,0,0.0,2,1.17,0,0.0,32,18.71,35,20.47,31,18.13,0,0.0,0,0.0,0,0.0,1,0.58,1,0.58,10,5.85,6,3.51,8,4.68,02025
2,26,211,6,2.84,6,2.84,5,2.37,18,8.53,20,9.48,14,6.64,1,0.47,3,1.42,1,0.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,12.8,33,15.64,32,15.17,1,0.47,0,0.0,1,0.47,2,0.95,2,0.95,14,6.64,11,5.21,12,5.69,02026
2,28,325,22,6.77,22,6.77,22,6.77,36,11.08,36,11.08,36,11.08,3,0.92,4,1.23,0,0.0,1,0.31,1,0.31,0,0.0,3,0.92,1,0.31,25,7.69,36,11.08,33,10.15,1,0.31,1,0.31,1,0.31,2,0.62,2,0.62,11,3.38,9,2.77,9,2.77,02028
2,30,365,23,6.3,21,5.75,21,5.75,40,10.96,39,10.68,42,11.51,2,0.55,3,0.82,1,0.27,0,0.0,0,0.0,1,0.27,1,0.27,0,0.0,37,10.14,44,12.05,42,11.51,1,0.27,2,0.55,0,0.0,2,0.55,2,0.55,14,3.84,11,3.01,12,3.29,02030
2,31,403,8,1.99,8,1.99,8,1.99,35,8.68,38,9.43,36,8.93,1,0.25,2,0.5,0,0.0,1,0.25,1,0.25,1,0.25,0,0.0,1,0.25,60,14.89,81,20.1,80,19.85,2,0.5,3,0.74,2,0.5,2,0.5,2,0.5,9,2.23,8,1.99,12,2.98,02031
2,33,444,19,4.28,18,4.05,16,3.6,45,10.14,46,10.36,45,10.14,3,0.68,6,1.35,0,0.0,0,0.0,0,0.0,0,0.0,1,0.23,2,0.45,51,11.49,67,15.09,64,14.41,3,0.68,0,0.0,0,0.0,2,0.45,0,0.0,16,3.6,16,3.6,15,3.38,02033
2,37,301,19,6.31,14,4.65,14,4.65,37,12.29,34,11.3,34,11.3,1,0.33,1,0.33,0,0.0,1,0.33,1,0.33,0,0.0,0,0.0,1,0.33,25,8.31,38,12.62,36,11.96,2,0.66,1,0.33,0,0.0,2,0.66,1,0.33,15,4.98,11,3.65,12,3.99,02037
2,38,95,6,6.32,6,6.32,5,5.26,6,6.32,8,8.42,7,7.37,0,0.0,1,1.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,14.74,16,16.84,16,16.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,4.21,2,2.11,3,3.16,02038
2,44,228,14,6.14,14,6.14,12,5.26,19,8.33,21,9.21,22,9.65,2,0.88,3,1.32,0,0.0,0,0.0,1,0.44,1,0.44,1,0.44,1,0.44,25,10.96,27,11.84,26,11.4,1,0.44,1,0.44,1,0.44,0,0.0,0,0.0,12,5.26,10,4.39,10,4.39,02044
25,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25032
26,28,33,0,0.0,0,0.0,0,0.0,4,12.12,4,12.12,4,12.12,0,0.0,2,6.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,9.09,3,9.09,5,15.15,1,3.03,1,3.03,1,3.03,0,0.0,0,0.0,3,9.09,1,3.03,1,3.03,26028
26,32,111,1,0.9,2,1.8,2,1.8,17,15.32,16,14.41,17,15.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9,0,0.0,8,7.21,16,14.41,15,13.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,7.21,4,3.6,4,3.6,26032
27,7,98,2,2.04,2,2.04,2,2.04,9,9.18,9,9.18,11,11.22,2,2.04,0,0.0,1,1.02,0,0.0,0,0.0,0,0.0,0,0.0,1,1.02,9,9.18,9,9.18,9,9.18,0,0.0,0,0.0,0,0.0,2,2.04,0,0.0,11,11.22,9,9.18,10,10.2,27007
27,12,161,6,3.73,7,4.35,8,4.97,17,10.56,14,8.7,14,8.7,0,0.0,1,0.62,0,0.0,1,0.62,0,0.0,0,0.0,0,0.0,0,0.0,25,15.53,30,18.63,27,16.77,1,0.62,1,0.62,0,0.0,0,0.0,0,0.0,3,1.86,2,1.24,4,2.48,27012
27,13,17,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.76,3,17.65,3,17.65,1,5.88,1,5.88,1,5.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27013
27,27,9,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,1,11.11,0,0.0,0,0.0,27027
27,35,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27035
27,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27037
