ward,precinct,total,Carl Segvich,Carl Segvich Percent,Richard A. Catezone,Richard A. Catezone Percent,precinct_id
11,1,52,21,40.38,31,59.62,11001
11,2,10,8,80.0,2,20.0,11002
11,3,15,8,53.33,7,46.67,11003
11,4,30,17,56.67,13,43.33,11004
11,5,32,16,50.0,16,50.0,11005
11,6,63,38,60.32,25,39.68,11006
11,7,33,21,63.64,12,36.36,11007
11,8,32,19,59.38,13,40.63,11008
11,9,35,22,62.86,13,37.14,11009
11,10,39,20,51.28,19,48.72,11010
11,11,51,33,64.71,18,35.29,11011
11,12,79,40,50.63,39,49.37,11012
11,13,71,39,54.93,32,45.07,11013
11,14,47,18,38.3,29,61.7,11014
11,15,13,6,46.15,7,53.85,11015
11,16,35,22,62.86,13,37.14,11016
11,17,36,29,80.56,7,19.44,11017
11,18,29,15,51.72,14,48.28,11018
11,19,49,32,65.31,17,34.69,11019
11,20,42,12,28.57,30,71.43,11020
11,21,54,25,46.3,29,53.7,11021
11,22,62,41,66.13,21,33.87,11022
11,23,30,11,36.67,19,63.33,11023
11,24,41,22,53.66,19,46.34,11024
11,25,50,29,58.0,21,42.0,11025
11,26,57,32,56.14,25,43.86,11026
11,27,11,7,63.64,4,36.36,11027
11,28,19,10,52.63,9,47.37,11028
11,29,77,34,44.16,43,55.84,11029
11,30,30,14,46.67,16,53.33,11030
11,31,62,22,35.48,40,64.52,11031
11,32,63,11,17.46,52,82.54,11032
11,33,54,30,55.56,24,44.44,11033
11,34,36,15,41.67,21,58.33,11034
11,35,20,10,50.0,10,50.0,11035
11,36,40,6,15.0,34,85.0,11036
11,37,7,6,85.71,1,14.29,11037
11,38,8,6,75.0,2,25.0,11038
