ward,precinct,total,Gary Mandell,Gary Mandell Percent,precinct_id
1,28,1,1,100.0,01028
1,42,0,0,0.0,01042
2,20,9,9,100.0,02020
2,22,95,95,100.0,02022
2,24,57,57,100.0,02024
2,26,54,54,100.0,02026
32,1,21,21,100.0,32001
32,5,0,0,0.0,32005
32,7,75,75,100.0,32007
32,8,73,73,100.0,32008
32,9,53,53,100.0,32009
32,10,72,72,100.0,32010
32,13,73,73,100.0,32013
32,15,61,61,100.0,32015
32,16,36,36,100.0,32016
32,18,66,66,100.0,32018
32,19,40,40,100.0,32019
32,21,61,61,100.0,32021
32,23,89,89,100.0,32023
32,24,53,53,100.0,32024
32,25,54,54,100.0,32025
32,27,92,92,100.0,32027
32,29,8,8,100.0,32029
32,30,63,63,100.0,32030
32,33,24,24,100.0,32033
32,34,2,2,100.0,32034
32,36,2,2,100.0,32036
32,37,17,17,100.0,32037
32,38,56,56,100.0,32038
32,39,96,96,100.0,32039
32,40,55,55,100.0,32040
32,41,80,80,100.0,32041
32,42,46,46,100.0,32042
33,3,6,6,100.0,33003
33,5,3,3,100.0,33005
33,8,43,43,100.0,33008
33,10,40,40,100.0,33010
33,20,3,3,100.0,33020
33,23,40,40,100.0,33023
33,24,51,51,100.0,33024
43,2,82,82,100.0,43002
43,6,63,63,100.0,43006
43,9,78,78,100.0,43009
43,16,93,93,100.0,43016
43,17,70,70,100.0,43017
43,18,99,99,100.0,43018
43,20,72,72,100.0,43020
43,21,82,82,100.0,43021
43,22,55,55,100.0,43022
43,24,47,47,100.0,43024
43,29,80,80,100.0,43029
43,30,100,100,100.0,43030
43,31,83,83,100.0,43031
43,37,69,69,100.0,43037
43,39,73,73,100.0,43039
43,40,46,46,100.0,43040
43,41,87,87,100.0,43041
43,44,54,54,100.0,43044
43,46,38,38,100.0,43046
44,2,60,60,100.0,44002
44,9,69,69,100.0,44009
44,11,41,41,100.0,44011
44,16,73,73,100.0,44016
44,25,67,67,100.0,44025
44,30,72,72,100.0,44030
47,1,35,35,100.0,47001
47,2,46,46,100.0,47002
47,3,46,46,100.0,47003
47,4,55,55,100.0,47004
47,5,10,10,100.0,47005
47,6,58,58,100.0,47006
47,7,40,40,100.0,47007
47,8,67,67,100.0,47008
47,9,49,49,100.0,47009
47,11,67,67,100.0,47011
47,12,44,44,100.0,47012
47,13,26,26,100.0,47013
47,14,52,52,100.0,47014
47,16,41,41,100.0,47016
47,17,58,58,100.0,47017
47,18,56,56,100.0,47018
47,21,27,27,100.0,47021
47,24,38,38,100.0,47024
47,25,51,51,100.0,47025
47,27,35,35,100.0,47027
47,28,1,1,100.0,47028
47,29,61,61,100.0,47029
47,33,61,61,100.0,47033
47,35,60,60,100.0,47035
47,39,42,42,100.0,47039
47,40,36,36,100.0,47040
47,41,6,6,100.0,47041
47,43,54,54,100.0,47043
47,44,47,47,100.0,47044
47,46,39,39,100.0,47046
47,47,65,65,100.0,47047
47,48,2,2,100.0,47048
