ward,precinct,total,Jasmine Velasco Hauser (Cruz),Jasmine Velasco Hauser (Cruz) Percent,"Joel B. Streightiff, Jr. (Cruz)","Joel B. Streightiff, Jr. (Cruz) Percent",Shprintza Spak (Cruz),Shprintza Spak (Cruz) Percent,Sandra Hodel-Runtz (Christie),Sandra Hodel-Runtz (Christie) Percent,Mark Crane (Christie),Mark Crane (Christie) Percent,Joseph Tamraz (Christie),Joseph Tamraz (Christie) Percent,Nester Komolafe (Trump),Nester Komolafe (Trump) Percent,Gerald DeNotto (Trump),Gerald DeNotto (Trump) Percent,Frank Biga III (Trump),Frank Biga III (Trump) Percent,Daniel B. Peterson (Bush),Daniel B. Peterson (Bush) Percent,Adam M. Robinson (Bush),Adam M. Robinson (Bush) Percent,Mary Childers (Bush),Mary Childers (Bush) Percent,Joseph R. Hedrick (Santorum),Joseph R. Hedrick (Santorum) Percent,Angela M. Como (Santorum),Angela M. Como (Santorum) Percent,Steven Polit (Santorum),Steven Polit (Santorum) Percent,Carlos Ortega (Fiorina),Carlos Ortega (Fiorina) Percent,Suzanne Devane (Fiorina),Suzanne Devane (Fiorina) Percent,Diane Shapiro (Fiorina),Diane Shapiro (Fiorina) Percent,Thomas Schild (Carson),Thomas Schild (Carson) Percent,Vivian L. Davros (Carson),Vivian L. Davros (Carson) Percent,Jeffrey J. Ross (Carson),Jeffrey J. Ross (Carson) Percent,John C. Demler (Kasich),John C. Demler (Kasich) Percent,Carol A. Teschky (Kasich),Carol A. Teschky (Kasich) Percent,Gregory J. Lungmus (Kasich),Gregory J. Lungmus (Kasich) Percent,Alexander Paul Bisenius (Paul),Alexander Paul Bisenius (Paul) Percent,Josh Gasbarra (Paul),Josh Gasbarra (Paul) Percent,Char Foss-Eggemann (Rubio),Char Foss-Eggemann (Rubio) Percent,Douglas Gessner (Rubio),Douglas Gessner (Rubio) Percent,Christopher Provenzano (Rubio),Christopher Provenzano (Rubio) Percent,precinct_id
40,4,69,5,7.25,5,7.25,6,8.7,0,0.0,0,0.0,0,0.0,10,14.49,12,17.39,10,14.49,1,1.45,1,1.45,1,1.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.8,4,5.8,4,5.8,0,0.0,0,0.0,2,2.9,2,2.9,2,2.9,40004
40,9,92,5,5.43,7,7.61,6,6.52,0,0.0,0,0.0,1,1.09,12,13.04,14,15.22,10,10.87,5,5.43,3,3.26,2,2.17,0,0.0,3,3.26,1,1.09,0,0.0,0,0.0,0,0.0,0,0.0,1,1.09,0,0.0,4,4.35,4,4.35,2,2.17,0,0.0,0,0.0,4,4.35,5,5.43,3,3.26,40009
40,10,85,7,8.24,7,8.24,6,7.06,0,0.0,0,0.0,0,0.0,14,16.47,17,20.0,15,17.65,1,1.18,0,0.0,1,1.18,0,0.0,0,0.0,0,0.0,1,1.18,2,2.35,1,1.18,0,0.0,1,1.18,1,1.18,4,4.71,3,3.53,3,3.53,0,0.0,0,0.0,0,0.0,0,0.0,1,1.18,40010
40,18,46,3,6.52,4,8.7,3,6.52,0,0.0,1,2.17,1,2.17,5,10.87,4,8.7,4,8.7,0,0.0,0,0.0,1,2.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.17,1,2.17,0,0.0,3,6.52,3,6.52,2,4.35,0,0.0,0,0.0,2,4.35,5,10.87,3,6.52,40018
40,22,94,8,8.51,8,8.51,9,9.57,1,1.06,0,0.0,0,0.0,8,8.51,11,11.7,7,7.45,1,1.06,1,1.06,1,1.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.06,0,0.0,0,0.0,0,0.0,10,10.64,13,13.83,6,6.38,1,1.06,0,0.0,3,3.19,2,2.13,3,3.19,40022
40,25,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40025
40,26,71,5,7.04,5,7.04,5,7.04,0,0.0,1,1.41,0,0.0,13,18.31,12,16.9,11,15.49,0,0.0,0,0.0,2,2.82,0,0.0,0,0.0,0,0.0,0,0.0,1,1.41,0,0.0,0,0.0,0,0.0,0,0.0,4,5.63,3,4.23,2,2.82,0,0.0,0,0.0,2,2.82,3,4.23,2,2.82,40026
40,27,123,14,11.38,12,9.76,14,11.38,2,1.63,0,0.0,1,0.81,12,9.76,10,8.13,10,8.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,6.5,8,6.5,5,4.07,1,0.81,0,0.0,9,7.32,8,6.5,8,6.5,40027
40,28,102,10,9.8,10,9.8,9,8.82,1,0.98,0,0.0,1,0.98,11,10.78,11,10.78,11,10.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.98,0,0.0,1,0.98,0,0.0,0,0.0,1,0.98,0,0.0,9,8.82,10,9.8,9,8.82,2,1.96,1,0.98,1,0.98,2,1.96,1,0.98,40028
40,31,113,7,6.19,7,6.19,6,5.31,1,0.88,0,0.0,1,0.88,7,6.19,7,6.19,8,7.08,1,0.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.77,0,0.0,2,1.77,0,0.0,0,0.0,0,0.0,15,13.27,15,13.27,15,13.27,1,0.88,1,0.88,6,5.31,6,5.31,5,4.42,40031
