ward,precinct,total,Dorothy J. Tillman,Dorothy J. Tillman Percent,Pat Dowell,Pat Dowell Percent,precinct_id
3,1,222,75,33.78,147,66.22,03001
3,2,308,171,55.52,137,44.48,03002
3,3,161,45,27.95,116,72.05,03003
3,4,176,69,39.2,107,60.8,03004
3,5,184,80,43.48,104,56.52,03005
3,6,108,57,52.78,51,47.22,03006
3,7,264,160,60.61,104,39.39,03007
3,8,20,10,50.0,10,50.0,03008
3,9,179,80,44.69,99,55.31,03009
3,10,74,53,71.62,21,28.38,03010
3,11,233,84,36.05,149,63.95,03011
3,12,214,92,42.99,122,57.01,03012
3,13,128,23,17.97,105,82.03,03013
3,14,121,70,57.85,51,42.15,03014
3,15,189,86,45.5,103,54.5,03015
3,16,201,100,49.75,101,50.25,03016
3,17,157,68,43.31,89,56.69,03017
3,18,113,54,47.79,59,52.21,03018
3,19,4,1,25.0,3,75.0,03019
3,20,167,81,48.5,86,51.5,03020
3,21,99,43,43.43,56,56.57,03021
3,22,144,66,45.83,78,54.17,03022
3,23,18,2,11.11,16,88.89,03023
3,24,211,89,42.18,122,57.82,03024
3,25,127,69,54.33,58,45.67,03025
3,26,152,63,41.45,89,58.55,03026
3,27,164,64,39.02,100,60.98,03027
3,28,89,49,55.06,40,44.94,03028
3,29,161,92,57.14,69,42.86,03029
3,30,182,53,29.12,129,70.88,03030
3,31,296,170,57.43,126,42.57,03031
3,32,152,57,37.5,95,62.5,03032
3,33,234,92,39.32,142,60.68,03033
3,34,169,58,34.32,111,65.68,03034
3,35,204,68,33.33,136,66.67,03035
3,36,87,46,52.87,41,47.13,03036
3,37,78,30,38.46,48,61.54,03037
3,38,301,177,58.8,124,41.2,03038
3,39,270,186,68.89,84,31.11,03039
3,40,134,57,42.54,77,57.46,03040
3,41,176,113,64.2,63,35.8,03041
3,42,117,49,41.88,68,58.12,03042
3,43,80,62,77.5,18,22.5,03043
3,44,66,27,40.91,39,59.09,03044
3,45,220,83,37.73,137,62.27,03045
3,46,65,45,69.23,20,30.77,03046
3,47,127,49,38.58,78,61.42,03047
3,48,159,109,68.55,50,31.45,03048
3,49,44,12,27.27,32,72.73,03049
3,50,184,124,67.39,60,32.61,03050
3,51,73,7,9.59,66,90.41,03051
3,52,69,27,39.13,42,60.87,03052
3,53,156,77,49.36,79,50.64,03053
3,54,338,78,23.08,260,76.92,03054
