ward,precinct,total,Joe Moore,Joe Moore Percent,Don Gordon,Don Gordon Percent,precinct_id
49,1,205,157,76.59,48,23.41,49001
49,2,253,143,56.52,110,43.48,49002
49,3,160,93,58.13,67,41.88,49003
49,4,120,70,58.33,50,41.67,49004
49,5,228,141,61.84,87,38.16,49005
49,6,212,62,29.25,150,70.75,49006
49,7,165,78,47.27,87,52.73,49007
49,8,218,90,41.28,128,58.72,49008
49,9,159,90,56.6,69,43.4,49009
49,10,177,92,51.98,85,48.02,49010
49,11,153,83,54.25,70,45.75,49011
49,12,197,101,51.27,96,48.73,49012
49,13,257,120,46.69,137,53.31,49013
49,14,193,74,38.34,119,61.66,49014
49,15,128,92,71.88,36,28.13,49015
49,16,173,88,50.87,85,49.13,49016
49,17,12,4,33.33,8,66.67,49017
49,18,160,54,33.75,106,66.25,49018
49,19,193,140,72.54,53,27.46,49019
49,20,305,195,63.93,110,36.07,49020
49,21,70,19,27.14,51,72.86,49021
49,22,223,121,54.26,102,45.74,49022
49,23,167,111,66.47,56,33.53,49023
49,24,198,99,50.0,99,50.0,49024
49,25,219,99,45.21,120,54.79,49025
49,26,259,169,65.25,90,34.75,49026
49,27,193,104,53.89,89,46.11,49027
49,28,149,69,46.31,80,53.69,49028
49,29,242,93,38.43,149,61.57,49029
49,30,237,110,46.41,127,53.59,49030
49,31,137,84,61.31,53,38.69,49031
49,32,133,57,42.86,76,57.14,49032
49,33,156,86,55.13,70,44.87,49033
49,34,215,117,54.42,98,45.58,49034
49,35,265,98,36.98,167,63.02,49035
49,36,255,110,43.14,145,56.86,49036
49,37,212,104,49.06,108,50.94,49037
49,38,116,72,62.07,44,37.93,49038
49,39,169,85,50.3,84,49.7,49039
49,40,163,80,49.08,83,50.92,49040
49,41,170,71,41.76,99,58.24,49041
49,42,187,102,54.55,85,45.45,49042
