ward,precinct,total,Vi Daley,Vi Daley Percent,Michele Smith,Michele Smith Percent,precinct_id
43,1,204,107,52.45,97,47.55,43001
43,2,156,88,56.41,68,43.59,43002
43,3,168,90,53.57,78,46.43,43003
43,4,194,114,58.76,80,41.24,43004
43,5,146,61,41.78,85,58.22,43005
43,6,134,93,69.4,41,30.6,43006
43,7,217,105,48.39,112,51.61,43007
43,8,246,134,54.47,112,45.53,43008
43,9,109,53,48.62,56,51.38,43009
43,10,146,83,56.85,63,43.15,43010
43,11,120,65,54.17,55,45.83,43011
43,12,198,97,48.99,101,51.01,43012
43,13,43,23,53.49,20,46.51,43013
43,14,178,74,41.57,104,58.43,43014
43,15,183,93,50.82,90,49.18,43015
43,16,160,93,58.13,67,41.88,43016
43,17,199,127,63.82,72,36.18,43017
43,18,189,93,49.21,96,50.79,43018
43,19,77,37,48.05,40,51.95,43019
43,20,195,104,53.33,91,46.67,43020
43,21,189,64,33.86,125,66.14,43021
43,22,117,52,44.44,65,55.56,43022
43,23,172,112,65.12,60,34.88,43023
43,24,165,100,60.61,65,39.39,43024
43,25,184,116,63.04,68,36.96,43025
43,26,132,66,50.0,66,50.0,43026
43,27,159,74,46.54,85,53.46,43027
43,28,159,103,64.78,56,35.22,43028
43,29,154,74,48.05,80,51.95,43029
43,30,94,34,36.17,60,63.83,43030
43,31,188,92,48.94,96,51.06,43031
43,32,197,81,41.12,116,58.88,43032
43,33,52,25,48.08,27,51.92,43033
43,34,58,31,53.45,27,46.55,43034
43,35,151,83,54.97,68,45.03,43035
43,36,110,52,47.27,58,52.73,43036
43,37,79,47,59.49,32,40.51,43037
43,38,110,53,48.18,57,51.82,43038
43,39,109,48,44.04,61,55.96,43039
43,40,45,31,68.89,14,31.11,43040
43,41,93,59,63.44,34,36.56,43041
43,42,166,94,56.63,72,43.37,43042
43,43,93,62,66.67,31,33.33,43043
43,44,127,61,48.03,66,51.97,43044
43,45,45,30,66.67,15,33.33,43045
43,46,219,151,68.95,68,31.05,43046
43,47,164,90,54.88,74,45.12,43047
43,48,104,47,45.19,57,54.81,43048
43,49,172,134,77.91,38,22.09,43049
43,50,118,73,61.86,45,38.14,43050
43,51,122,71,58.2,51,41.8,43051
43,52,81,39,48.15,42,51.85,43052
43,53,173,107,61.85,66,38.15,43053
43,54,101,54,53.47,47,46.53,43054
43,55,157,95,60.51,62,39.49,43055
43,56,83,23,27.71,60,72.29,43056
43,57,96,61,63.54,35,36.46,43057
43,58,119,58,48.74,61,51.26,43058
43,59,202,102,50.5,100,49.5,43059
