ward,precinct,total,Michael D. Chandler,Michael D. Chandler Percent,Sharon Denise Dixon,Sharon Denise Dixon Percent,precinct_id
24,1,100,51,51.0,49,49.0,24001
24,2,84,32,38.1,52,61.9,24002
24,3,124,58,46.77,66,53.23,24003
24,4,126,57,45.24,69,54.76,24004
24,5,96,59,61.46,37,38.54,24005
24,6,151,69,45.7,82,54.3,24006
24,7,98,57,58.16,41,41.84,24007
24,8,128,58,45.31,70,54.69,24008
24,9,110,73,66.36,37,33.64,24009
24,10,104,37,35.58,67,64.42,24010
24,11,59,24,40.68,35,59.32,24011
24,12,120,48,40.0,72,60.0,24012
24,13,99,37,37.37,62,62.63,24013
24,14,149,71,47.65,78,52.35,24014
24,15,107,53,49.53,54,50.47,24015
24,16,62,40,64.52,22,35.48,24016
24,17,90,49,54.44,41,45.56,24017
24,18,62,26,41.94,36,58.06,24018
24,19,102,24,23.53,78,76.47,24019
24,20,126,63,50.0,63,50.0,24020
24,21,65,23,35.38,42,64.62,24021
24,22,133,69,51.88,64,48.12,24022
24,23,100,42,42.0,58,58.0,24023
24,24,62,31,50.0,31,50.0,24024
24,25,140,81,57.86,59,42.14,24025
24,26,134,47,35.07,87,64.93,24026
24,27,93,42,45.16,51,54.84,24027
24,28,156,71,45.51,85,54.49,24028
24,29,102,64,62.75,38,37.25,24029
24,30,99,40,40.4,59,59.6,24030
24,31,87,47,54.02,40,45.98,24031
24,32,147,86,58.5,61,41.5,24032
24,33,79,39,49.37,40,50.63,24033
24,34,119,45,37.82,74,62.18,24034
24,35,136,71,52.21,65,47.79,24035
24,36,86,47,54.65,39,45.35,24036
24,37,175,57,32.57,118,67.43,24037
24,38,127,74,58.27,53,41.73,24038
24,39,116,88,75.86,28,24.14,24039
24,40,144,84,58.33,60,41.67,24040
24,41,108,60,55.56,48,44.44,24041
24,42,125,75,60.0,50,40.0,24042
24,43,152,87,57.24,65,42.76,24043
24,44,48,29,60.42,19,39.58,24044
24,45,78,45,57.69,33,42.31,24045
24,46,87,40,45.98,47,54.02,24046
24,47,90,44,48.89,46,51.11,24047
24,48,64,37,57.81,27,42.19,24048
24,49,161,66,40.99,95,59.01,24049
24,50,208,61,29.33,147,70.67,24050
24,51,189,75,39.68,114,60.32,24051
24,52,115,56,48.7,59,51.3,24052
24,53,122,78,63.93,44,36.07,24053
24,54,77,22,28.57,55,71.43,24054
24,55,46,29,63.04,17,36.96,24055
24,56,114,60,52.63,54,47.37,24056
24,57,71,43,60.56,28,39.44,24057
24,58,133,56,42.11,77,57.89,24058
24,59,31,15,48.39,16,51.61,24059
