ward,precinct,total,Joann Thompson,Joann Thompson Percent,Shirley A. Coleman,Shirley A. Coleman Percent,precinct_id
16,1,105,60,57.14,45,42.86,16001
16,2,112,46,41.07,66,58.93,16002
16,3,139,55,39.57,84,60.43,16003
16,4,103,61,59.22,42,40.78,16004
16,5,123,52,42.28,71,57.72,16005
16,6,51,45,88.24,6,11.76,16006
16,7,121,80,66.12,41,33.88,16007
16,8,133,55,41.35,78,58.65,16008
16,9,204,88,43.14,116,56.86,16009
16,10,88,46,52.27,42,47.73,16010
16,11,147,124,84.35,23,15.65,16011
16,12,91,52,57.14,39,42.86,16012
16,13,82,50,60.98,32,39.02,16013
16,14,125,68,54.4,57,45.6,16014
16,15,164,98,59.76,66,40.24,16015
16,16,164,76,46.34,88,53.66,16016
16,17,122,91,74.59,31,25.41,16017
16,18,146,75,51.37,71,48.63,16018
16,19,96,60,62.5,36,37.5,16019
16,20,113,56,49.56,57,50.44,16020
16,21,114,92,80.7,22,19.3,16021
16,22,106,79,74.53,27,25.47,16022
16,23,100,73,73.0,27,27.0,16023
16,24,84,41,48.81,43,51.19,16024
16,25,147,37,25.17,110,74.83,16025
16,26,154,80,51.95,74,48.05,16026
16,27,170,82,48.24,88,51.76,16027
16,28,167,99,59.28,68,40.72,16028
16,29,43,26,60.47,17,39.53,16029
16,30,83,61,73.49,22,26.51,16030
16,31,179,78,43.58,101,56.42,16031
16,32,81,58,71.6,23,28.4,16032
16,33,106,63,59.43,43,40.57,16033
16,34,94,61,64.89,33,35.11,16034
16,35,85,63,74.12,22,25.88,16035
16,36,133,89,66.92,44,33.08,16036
16,37,89,29,32.58,60,67.42,16037
16,38,114,68,59.65,46,40.35,16038
16,39,106,87,82.08,19,17.92,16039
16,40,172,89,51.74,83,48.26,16040
16,41,57,32,56.14,25,43.86,16041
16,42,97,56,57.73,41,42.27,16042
16,43,137,56,40.88,81,59.12,16043
16,44,113,84,74.34,29,25.66,16044
16,45,77,37,48.05,40,51.95,16045
16,46,41,23,56.1,18,43.9,16046
