ward,precinct,total,Bernard L. Stone,Bernard L. Stone Percent,Naisy Dolar,Naisy Dolar Percent,precinct_id
50,1,415,230,55.42,185,44.58,50001
50,2,363,194,53.44,169,46.56,50002
50,3,311,186,59.81,125,40.19,50003
50,4,267,114,42.7,153,57.3,50004
50,5,369,252,68.29,117,31.71,50005
50,6,213,97,45.54,116,54.46,50006
50,7,308,78,25.32,230,74.68,50007
50,8,165,53,32.12,112,67.88,50008
50,9,228,77,33.77,151,66.23,50009
50,10,231,142,61.47,89,38.53,50010
50,11,327,257,78.59,70,21.41,50011
50,12,205,185,90.24,20,9.76,50012
50,13,266,121,45.49,145,54.51,50013
50,14,157,122,77.71,35,22.29,50014
50,15,319,50,15.67,269,84.33,50015
50,16,172,140,81.4,32,18.6,50016
50,17,213,122,57.28,91,42.72,50017
50,18,252,135,53.57,117,46.43,50018
50,19,257,141,54.86,116,45.14,50019
50,20,245,61,24.9,184,75.1,50020
50,21,296,73,24.66,223,75.34,50021
50,22,220,75,34.09,145,65.91,50022
50,23,187,134,71.66,53,28.34,50023
50,24,213,119,55.87,94,44.13,50024
50,25,308,223,72.4,85,27.6,50025
50,26,180,100,55.56,80,44.44,50026
50,27,119,79,66.39,40,33.61,50027
50,28,234,138,58.97,96,41.03,50028
50,29,246,77,31.3,169,68.7,50029
50,30,294,205,69.73,89,30.27,50030
50,31,130,119,91.54,11,8.46,50031
50,32,168,70,41.67,98,58.33,50032
50,33,209,147,70.33,62,29.67,50033
50,34,219,163,74.43,56,25.57,50034
50,35,297,66,22.22,231,77.78,50035
50,36,288,66,22.92,222,77.08,50036
50,37,266,53,19.92,213,80.08,50037
50,38,199,159,79.9,40,20.1,50038
50,39,270,199,73.7,71,26.3,50039
50,40,376,276,73.4,100,26.6,50040
50,41,379,233,61.48,146,38.52,50041
50,42,269,80,29.74,189,70.26,50042
50,43,249,86,34.54,163,65.46,50043
50,44,240,180,75.0,60,25.0,50044
50,45,186,138,74.19,48,25.81,50045
