ward,precinct,total,Bob Fioretti,Bob Fioretti Percent,Madeline L. Haithcock,Madeline L. Haithcock Percent,precinct_id
2,1,252,220,87.3,32,12.7,02001
2,3,143,92,64.34,51,35.66,02003
2,4,134,99,73.88,35,26.12,02004
2,5,77,45,58.44,32,41.56,02005
2,6,144,132,91.67,12,8.33,02006
2,7,199,107,53.77,92,46.23,02007
2,8,245,184,75.1,61,24.9,02008
2,9,133,61,45.86,72,54.14,02009
2,10,17,12,70.59,5,29.41,02010
2,11,148,103,69.59,45,30.41,02011
2,12,152,131,86.18,21,13.82,02012
2,13,174,150,86.21,24,13.79,02013
2,14,239,107,44.77,132,55.23,02014
2,15,23,17,73.91,6,26.09,02015
2,16,204,167,81.86,37,18.14,02016
2,17,120,67,55.83,53,44.17,02017
2,18,213,157,73.71,56,26.29,02018
2,19,258,228,88.37,30,11.63,02019
2,20,227,98,43.17,129,56.83,02020
2,21,233,129,55.36,104,44.64,02021
2,22,370,181,48.92,189,51.08,02022
2,23,117,64,54.7,53,45.3,02023
2,24,81,52,64.2,29,35.8,02024
2,25,98,86,87.76,12,12.24,02025
2,26,362,282,77.9,80,22.1,02026
2,27,157,83,52.87,74,47.13,02027
2,28,74,67,90.54,7,9.46,02028
2,29,53,37,69.81,16,30.19,02029
2,30,31,25,80.65,6,19.35,02030
2,31,213,87,40.85,126,59.15,02031
2,32,63,46,73.02,17,26.98,02032
2,33,104,32,30.77,72,69.23,02033
2,34,177,79,44.63,98,55.37,02034
2,35,59,50,84.75,9,15.25,02035
2,36,89,51,57.3,38,42.7,02036
2,37,239,186,77.82,53,22.18,02037
2,38,177,130,73.45,47,26.55,02038
2,39,156,102,65.38,54,34.62,02039
2,40,254,170,66.93,84,33.07,02040
2,41,53,30,56.6,23,43.4,02041
2,42,30,18,60.0,12,40.0,02042
2,43,307,220,71.66,87,28.34,02043
2,44,160,62,38.75,98,61.25,02044
2,45,121,66,54.55,55,45.45,02045
2,46,286,133,46.5,153,53.5,02046
2,47,100,51,51.0,49,49.0,02047
2,48,94,48,51.06,46,48.94,02048
2,49,157,124,78.98,33,21.02,02049
2,50,140,86,61.43,54,38.57,02050
2,51,146,76,52.05,70,47.95,02051
2,52,154,100,64.94,54,35.06,02052
2,53,33,18,54.55,15,45.45,02053
2,54,256,199,77.73,57,22.27,02054
2,55,59,43,72.88,16,27.12,02055
2,56,156,88,56.41,68,43.59,02056
2,57,152,83,54.61,69,45.39,02057
2,58,93,70,75.27,23,24.73,02058
2,59,248,181,72.98,67,27.02,02059
2,60,445,363,81.57,82,18.43,02060
