ward,precinct,total,Ted Matlak,Ted Matlak Percent,Scott Waguespack,Scott Waguespack Percent,precinct_id
32,1,193,102,52.85,91,47.15,32001
32,2,136,36,26.47,100,73.53,32002
32,3,135,78,57.78,57,42.22,32003
32,4,242,115,47.52,127,52.48,32004
32,5,143,84,58.74,59,41.26,32005
32,6,197,140,71.07,57,28.93,32006
32,7,79,33,41.77,46,58.23,32007
32,8,189,80,42.33,109,57.67,32008
32,9,307,76,24.76,231,75.24,32009
32,10,137,71,51.82,66,48.18,32010
32,11,142,75,52.82,67,47.18,32011
32,12,105,57,54.29,48,45.71,32012
32,13,77,46,59.74,31,40.26,32013
32,14,146,89,60.96,57,39.04,32014
32,15,128,54,42.19,74,57.81,32015
32,16,192,128,66.67,64,33.33,32016
32,17,139,74,53.24,65,46.76,32017
32,18,104,52,50.0,52,50.0,32018
32,19,153,78,50.98,75,49.02,32019
32,20,137,96,70.07,41,29.93,32020
32,21,169,71,42.01,98,57.99,32021
32,22,199,73,36.68,126,63.32,32022
32,23,180,60,33.33,120,66.67,32023
32,24,118,53,44.92,65,55.08,32024
32,25,152,71,46.71,81,53.29,32025
32,26,150,80,53.33,70,46.67,32026
32,27,151,96,63.58,55,36.42,32027
32,28,146,91,62.33,55,37.67,32028
32,29,179,107,59.78,72,40.22,32029
32,30,126,70,55.56,56,44.44,32030
32,31,252,153,60.71,99,39.29,32031
32,32,142,85,59.86,57,40.14,32032
32,33,184,112,60.87,72,39.13,32033
32,34,155,98,63.23,57,36.77,32034
32,35,247,111,44.94,136,55.06,32035
32,36,175,56,32.0,119,68.0,32036
32,37,130,80,61.54,50,38.46,32037
32,38,134,54,40.3,80,59.7,32038
32,39,191,73,38.22,118,61.78,32039
32,40,145,55,37.93,90,62.07,32040
32,41,189,94,49.74,95,50.26,32041
32,42,200,72,36.0,128,64.0,32042
32,43,143,50,34.97,93,65.03,32043
32,44,151,95,62.91,56,37.09,32044
32,45,159,85,53.46,74,46.54,32045
32,46,92,81,88.04,11,11.96,32046
32,47,203,76,37.44,127,62.56,32047
32,48,180,86,47.78,94,52.22,32048
32,49,83,35,42.17,48,57.83,32049
32,50,191,72,37.7,119,62.3,32050
32,51,144,49,34.03,95,65.97,32051
32,52,96,50,52.08,46,47.92,32052
