ward,precinct,total,STEPHANIE D. COLEMAN,STEPHANIE D. COLEMAN Percent,TONI L. FOULKES,TONI L. FOULKES Percent,precinct_id
16,1,181,131,72.38,50,27.62,16001
16,2,175,118,67.43,57,32.57,16002
16,3,154,105,68.18,49,31.82,16003
16,4,166,113,68.07,53,31.93,16004
16,5,115,87,75.65,28,24.35,16005
16,6,184,108,58.7,76,41.3,16006
16,7,168,123,73.21,45,26.79,16007
16,8,99,49,49.49,50,50.51,16008
16,9,184,126,68.48,58,31.52,16009
16,10,167,128,76.65,39,23.35,16010
16,11,151,103,68.21,48,31.79,16011
16,12,136,100,73.53,36,26.47,16012
16,13,112,72,64.29,40,35.71,16013
16,14,155,121,78.06,34,21.94,16014
16,15,201,146,72.64,55,27.36,16015
16,16,205,108,52.68,97,47.32,16016
16,17,132,78,59.09,54,40.91,16017
16,18,192,111,57.81,81,42.19,16018
16,19,160,116,72.5,44,27.5,16019
16,20,133,92,69.17,41,30.83,16020
16,21,158,111,70.25,47,29.75,16021
16,22,144,95,65.97,49,34.03,16022
16,23,137,90,65.69,47,34.31,16023
16,24,115,73,63.48,42,36.52,16024
16,25,224,167,74.55,57,25.45,16025
16,26,184,148,80.43,36,19.57,16026
16,27,151,89,58.94,62,41.06,16027
16,28,218,109,50.0,109,50.0,16028
16,29,160,115,71.88,45,28.13,16029
16,30,150,84,56.0,66,44.0,16030
16,31,221,129,58.37,92,41.63,16031
16,32,126,67,53.17,59,46.83,16032
16,33,159,116,72.96,43,27.04,16033
16,34,155,103,66.45,52,33.55,16034
16,35,178,100,56.18,78,43.82,16035
16,36,130,91,70.0,39,30.0,16036
