ward,precinct,total,LORI LIGHTFOOT,LORI LIGHTFOOT Percent,TONI PRECKWINKLE,TONI PRECKWINKLE Percent,precinct_id
1,1,262,176,67.18,86,32.82,01001
1,2,209,135,64.59,74,35.41,01002
1,3,279,210,75.27,69,24.73,01003
1,4,282,209,74.11,73,25.89,01004
1,5,257,187,72.76,70,27.24,01005
1,6,238,176,73.95,62,26.05,01006
1,7,200,147,73.5,53,26.5,01007
1,8,265,182,68.68,83,31.32,01008
1,9,252,168,66.67,84,33.33,01009
1,10,261,209,80.08,52,19.92,01010
1,11,279,197,70.61,82,29.39,01011
1,12,337,241,71.51,96,28.49,01012
1,13,125,82,65.6,43,34.4,01013
1,14,261,202,77.39,59,22.61,01014
1,15,228,165,72.37,63,27.63,01015
1,16,301,202,67.11,99,32.89,01016
1,17,270,155,57.41,115,42.59,01017
1,18,270,161,59.63,109,40.37,01018
1,19,304,204,67.11,100,32.89,01019
1,20,198,127,64.14,71,35.86,01020
1,21,294,212,72.11,82,27.89,01021
1,22,170,124,72.94,46,27.06,01022
1,23,379,246,64.91,133,35.09,01023
1,24,216,139,64.35,77,35.65,01024
1,25,235,154,65.53,81,34.47,01025
1,26,175,114,65.14,61,34.86,01026
1,27,260,211,81.15,49,18.85,01027
1,28,93,68,73.12,25,26.88,01028
1,29,335,263,78.51,72,21.49,01029
1,30,259,161,62.16,98,37.84,01030
1,31,262,193,73.66,69,26.34,01031
1,32,275,202,73.45,73,26.55,01032
1,33,301,233,77.41,68,22.59,01033
1,34,219,148,67.58,71,32.42,01034
1,35,341,267,78.3,74,21.7,01035
1,36,279,220,78.85,59,21.15,01036
1,37,272,204,75.0,68,25.0,01037
1,38,250,191,76.4,59,23.6,01038
1,39,215,160,74.42,55,25.58,01039
1,40,282,224,79.43,58,20.57,01040
1,41,184,126,68.48,58,31.52,01041
1,42,92,66,71.74,26,28.26,01042
1,43,182,147,80.77,35,19.23,01043
1,44,220,154,70.0,66,30.0,01044
2,1,250,177,70.8,73,29.2,02001
2,2,253,203,80.24,50,19.76,02002
2,3,286,221,77.27,65,22.73,02003
2,4,210,157,74.76,53,25.24,02004
2,5,294,221,75.17,73,24.83,02005
2,6,201,152,75.62,49,24.38,02006
2,7,245,200,81.63,45,18.37,02007
2,8,262,197,75.19,65,24.81,02008
2,9,224,203,90.63,21,9.38,02009
2,10,314,253,80.57,61,19.43,02010
2,11,357,307,85.99,50,14.01,02011
2,12,308,252,81.82,56,18.18,02012
2,13,319,257,80.56,62,19.44,02013
2,14,353,271,76.77,82,23.23,02014
2,15,279,213,76.34,66,23.66,02015
2,16,234,177,75.64,57,24.36,02016
2,17,381,282,74.02,99,25.98,02017
2,18,272,209,76.84,63,23.16,02018
2,19,291,242,83.16,49,16.84,02019
2,20,232,195,84.05,37,15.95,02020
2,21,310,235,75.81,75,24.19,02021
2,22,347,296,85.3,51,14.7,02022
2,23,279,240,86.02,39,13.98,02023
2,24,289,239,82.7,50,17.3,02024
2,25,288,224,77.78,64,22.22,02025
2,26,248,212,85.48,36,14.52,02026
2,27,267,232,86.89,35,13.11,02027
2,28,268,218,81.34,50,18.66,02028
2,29,248,217,87.5,31,12.5,02029
2,30,232,197,84.91,35,15.09,02030
2,31,427,359,84.07,68,15.93,02031
2,32,181,151,83.43,30,16.57,02032
2,33,493,415,84.18,78,15.82,02033
2,34,309,266,86.08,43,13.92,02034
2,35,270,239,88.52,31,11.48,02035
2,36,290,235,81.03,55,18.97,02036
2,37,298,239,80.2,59,19.8,02037
2,38,299,253,84.62,46,15.38,02038
2,39,200,135,67.5,65,32.5,02039
2,40,289,238,82.35,51,17.65,02040
2,41,225,191,84.89,34,15.11,02041
2,42,244,187,76.64,57,23.36,02042
2,43,349,282,80.8,67,19.2,02043
2,44,203,176,86.7,27,13.3,02044
2,45,324,241,74.38,83,25.62,02045
2,46,152,124,81.58,28,18.42,02046
3,1,407,274,67.32,133,32.68,03001
3,2,454,261,57.49,193,42.51,03002
3,3,319,206,64.58,113,35.42,03003
3,4,377,245,64.99,132,35.01,03004
3,5,172,109,63.37,63,36.63,03005
3,6,388,322,82.99,66,17.01,03006
3,7,260,184,70.77,76,29.23,03007
3,8,237,158,66.67,79,33.33,03008
3,9,336,210,62.5,126,37.5,03009
3,10,128,87,67.97,41,32.03,03010
3,11,304,197,64.8,107,35.2,03011
3,12,375,240,64.0,135,36.0,03012
3,13,406,320,78.82,86,21.18,03013
3,14,323,235,72.76,88,27.24,03014
3,15,270,179,66.3,91,33.7,03015
3,16,269,181,67.29,88,32.71,03016
3,17,343,244,71.14,99,28.86,03017
3,18,414,309,74.64,105,25.36,03018
3,19,361,288,79.78,73,20.22,03019
3,20,320,194,60.63,126,39.38,03020
3,21,380,264,69.47,116,30.53,03021
3,22,356,290,81.46,66,18.54,03022
3,23,237,160,67.51,77,32.49,03023
3,24,286,179,62.59,107,37.41,03024
3,25,533,430,80.68,103,19.32,03025
3,26,448,332,74.11,116,25.89,03026
3,27,383,307,80.16,76,19.84,03027
3,28,261,177,67.82,84,32.18,03028
3,29,317,217,68.45,100,31.55,03029
3,30,289,184,63.67,105,36.33,03030
3,31,387,248,64.08,139,35.92,03031
3,32,347,240,69.16,107,30.84,03032
3,33,334,260,77.84,74,22.16,03033
3,34,367,292,79.56,75,20.44,03034
3,35,143,89,62.24,54,37.76,03035
3,36,151,100,66.23,51,33.77,03036
3,37,253,153,60.47,100,39.53,03037
3,38,325,196,60.31,129,39.69,03038
3,39,431,345,80.05,86,19.95,03039
3,40,260,194,74.62,66,25.38,03040
3,41,310,184,59.35,126,40.65,03041
4,1,437,189,43.25,248,56.75,04001
4,2,392,309,78.83,83,21.17,04002
4,3,266,129,48.5,137,51.5,04003
4,4,478,291,60.88,187,39.12,04004
4,5,399,225,56.39,174,43.61,04005
4,6,437,284,64.99,153,35.01,04006
4,7,485,296,61.03,189,38.97,04007
4,8,407,220,54.05,187,45.95,04008
4,9,480,237,49.38,243,50.63,04009
4,10,422,250,59.24,172,40.76,04010
4,11,320,198,61.88,122,38.13,04011
4,12,371,230,61.99,141,38.01,04012
4,13,254,202,79.53,52,20.47,04013
4,14,368,213,57.88,155,42.12,04014
4,15,418,237,56.7,181,43.3,04015
4,16,429,327,76.22,102,23.78,04016
4,17,394,299,75.89,95,24.11,04017
4,18,398,230,57.79,168,42.21,04018
4,19,225,161,71.56,64,28.44,04019
4,20,316,235,74.37,81,25.63,04020
4,21,329,247,75.08,82,24.92,04021
4,22,387,197,50.9,190,49.1,04022
4,23,484,187,38.64,297,61.36,04023
4,24,329,163,49.54,166,50.46,04024
4,25,388,299,77.06,89,22.94,04025
4,26,335,190,56.72,145,43.28,04026
4,27,431,215,49.88,216,50.12,04027
4,28,314,187,59.55,127,40.45,04028
4,29,313,185,59.11,128,40.89,04029
4,30,390,238,61.03,152,38.97,04030
4,31,451,199,44.12,252,55.88,04031
4,32,360,209,58.06,151,41.94,04032
4,33,354,203,57.34,151,42.66,04033
4,34,309,170,55.02,139,44.98,04034
4,35,407,221,54.3,186,45.7,04035
4,36,402,231,57.46,171,42.54,04036
4,37,469,339,72.28,130,27.72,04037
4,38,357,221,61.9,136,38.1,04038
5,1,261,167,63.98,94,36.02,05001
5,2,217,152,70.05,65,29.95,05002
5,3,357,138,38.66,219,61.34,05003
5,4,421,221,52.49,200,47.51,05004
5,5,305,182,59.67,123,40.33,05005
5,6,273,172,63.0,101,37.0,05006
5,7,355,174,49.01,181,50.99,05007
5,8,394,197,50.0,197,50.0,05008
5,9,438,177,40.41,261,59.59,05009
5,10,242,170,70.25,72,29.75,05010
5,11,409,194,47.43,215,52.57,05011
5,12,214,141,65.89,73,34.11,05012
5,13,262,169,64.5,93,35.5,05013
5,14,314,172,54.78,142,45.22,05014
5,15,307,141,45.93,166,54.07,05015
5,16,278,190,68.35,88,31.65,05016
5,17,282,161,57.09,121,42.91,05017
5,18,321,161,50.16,160,49.84,05018
5,19,364,171,46.98,193,53.02,05019
5,20,411,180,43.8,231,56.2,05020
5,21,351,172,49.0,179,51.0,05021
5,22,449,236,52.56,213,47.44,05022
5,23,594,291,48.99,303,51.01,05023
5,24,390,184,47.18,206,52.82,05024
5,25,330,204,61.82,126,38.18,05025
5,26,343,215,62.68,128,37.32,05026
