ward,precinct,total,JAMES CAPPLEMAN,JAMES CAPPLEMAN Percent,MARIANNE LALONDE,MARIANNE LALONDE Percent,precinct_id
46,1,331,169,51.06,162,48.94,46001
46,2,325,185,56.92,140,43.08,46002
46,3,453,193,42.6,260,57.4,46003
46,4,378,249,65.87,129,34.13,46004
46,5,343,154,44.9,189,55.1,46005
46,6,312,159,50.96,153,49.04,46006
46,7,439,280,63.78,159,36.22,46007
46,8,256,137,53.52,119,46.48,46008
46,9,390,212,54.36,178,45.64,46009
46,10,426,179,42.02,247,57.98,46010
46,11,306,153,50.0,153,50.0,46011
46,12,404,175,43.32,229,56.68,46012
46,13,314,182,57.96,132,42.04,46013
46,14,299,128,42.81,171,57.19,46014
46,15,324,206,63.58,118,36.42,46015
46,16,431,219,50.81,212,49.19,46016
46,17,419,237,56.56,182,43.44,46017
46,18,404,227,56.19,177,43.81,46018
46,19,295,171,57.97,124,42.03,46019
46,20,309,163,52.75,146,47.25,46020
46,21,235,113,48.09,122,51.91,46021
46,22,301,57,18.94,244,81.06,46022
46,23,290,131,45.17,159,54.83,46023
46,24,415,204,49.16,211,50.84,46024
46,25,388,181,46.65,207,53.35,46025
46,26,359,147,40.95,212,59.05,46026
46,27,446,191,42.83,255,57.17,46027
46,28,414,240,57.97,174,42.03,46028
46,29,313,185,59.11,128,40.89,46029
46,30,343,158,46.06,185,53.94,46030
46,31,311,121,38.91,190,61.09,46031
46,32,413,192,46.49,221,53.51,46032
46,33,401,193,48.13,208,51.87,46033
46,34,376,176,46.81,200,53.19,46034
46,35,379,226,59.63,153,40.37,46035
46,36,361,203,56.23,158,43.77,46036
46,37,281,124,44.13,157,55.87,46037
46,38,280,140,50.0,140,50.0,46038
46,39,330,142,43.03,188,56.97,46039
46,40,339,177,52.21,162,47.79,46040
