ward,precinct,total,LESLIE A. HAIRSTON,LESLIE A. HAIRSTON Percent,WILLIAM CALLOWAY,WILLIAM CALLOWAY Percent,precinct_id
5,1,257,93,36.19,164,63.81,05001
5,2,216,93,43.06,123,56.94,05002
5,3,345,181,52.46,164,47.54,05003
5,4,413,180,43.58,233,56.42,05004
5,5,303,125,41.25,178,58.75,05005
5,6,266,120,45.11,146,54.89,05006
5,7,347,228,65.71,119,34.29,05007
5,8,374,201,53.74,173,46.26,05008
5,9,425,270,63.53,155,36.47,05009
5,10,236,117,49.58,119,50.42,05010
5,11,393,228,58.02,165,41.98,05011
5,12,213,94,44.13,119,55.87,05012
5,13,257,125,48.64,132,51.36,05013
5,14,314,135,42.99,179,57.01,05014
5,15,302,194,64.24,108,35.76,05015
5,16,270,130,48.15,140,51.85,05016
5,17,276,138,50.0,138,50.0,05017
5,18,314,149,47.45,165,52.55,05018
5,19,354,165,46.61,189,53.39,05019
5,20,397,241,60.71,156,39.29,05020
5,21,338,176,52.07,162,47.93,05021
5,22,435,267,61.38,168,38.62,05022
5,23,575,273,47.48,302,52.52,05023
5,24,377,186,49.34,191,50.66,05024
5,25,325,169,52.0,156,48.0,05025
5,26,341,131,38.42,210,61.58,05026
5,27,323,169,52.32,154,47.68,05027
5,28,383,213,55.61,170,44.39,05028
5,29,360,134,37.22,226,62.78,05029
5,30,219,110,50.23,109,49.77,05030
5,31,240,94,39.17,146,60.83,05031
5,32,444,198,44.59,246,55.41,05032
5,33,353,175,49.58,178,50.42,05033
5,34,397,244,61.46,153,38.54,05034
5,35,432,235,54.4,197,45.6,05035
5,36,202,94,46.53,108,53.47,05036
5,37,438,244,55.71,194,44.29,05037
5,38,294,107,36.39,187,63.61,05038
5,39,278,172,61.87,106,38.13,05039
5,40,265,102,38.49,163,61.51,05040
5,41,231,149,64.5,82,35.5,05041
