ward,precinct,total,ARIEL E. REBOYRAS,ARIEL E. REBOYRAS Percent,JESSICA W. GUTIERREZ,JESSICA W. GUTIERREZ Percent,precinct_id
30,1,264,127,48.11,137,51.89,30001
30,2,295,164,55.59,131,44.41,30002
30,3,236,116,49.15,120,50.85,30003
30,4,259,133,51.35,126,48.65,30004
30,5,169,92,54.44,77,45.56,30005
30,6,249,152,61.04,97,38.96,30006
30,7,301,158,52.49,143,47.51,30007
30,8,340,185,54.41,155,45.59,30008
30,9,234,166,70.94,68,29.06,30009
30,10,304,190,62.5,114,37.5,30010
30,11,215,94,43.72,121,56.28,30011
30,12,232,138,59.48,94,40.52,30012
30,13,257,152,59.14,105,40.86,30013
30,14,166,81,48.8,85,51.2,30014
30,15,322,205,63.66,117,36.34,30015
30,16,153,85,55.56,68,44.44,30016
30,17,278,143,51.44,135,48.56,30017
30,18,285,108,37.89,177,62.11,30018
30,19,230,109,47.39,121,52.61,30019
30,20,291,148,50.86,143,49.14,30020
30,21,234,135,57.69,99,42.31,30021
30,22,317,142,44.79,175,55.21,30022
30,23,243,118,48.56,125,51.44,30023
30,24,336,137,40.77,199,59.23,30024
30,25,325,127,39.08,198,60.92,30025
30,26,195,98,50.26,97,49.74,30026
30,27,199,118,59.3,81,40.7,30027
30,28,285,131,45.96,154,54.04,30028
30,29,135,59,43.7,76,56.3,30029
30,30,107,42,39.25,65,60.75,30030
30,31,217,120,55.3,97,44.7,30031
30,32,219,124,56.62,95,43.38,30032
