ward,precinct,total,MELISSA CONYEARS-ERVIN,MELISSA CONYEARS-ERVIN Percent,AMEYA PAWAR,AMEYA PAWAR Percent,precinct_id
1,1,235,81,34.47,154,65.53,01001
1,2,201,76,37.81,125,62.19,01002
1,3,259,85,32.82,174,67.18,01003
1,4,263,89,33.84,174,66.16,01004
1,5,232,78,33.62,154,66.38,01005
1,6,219,101,46.12,118,53.88,01006
1,7,190,67,35.26,123,64.74,01007
1,8,230,125,54.35,105,45.65,01008
1,9,218,104,47.71,114,52.29,01009
1,10,232,91,39.22,141,60.78,01010
1,11,254,75,29.53,179,70.47,01011
1,12,308,125,40.58,183,59.42,01012
1,13,122,49,40.16,73,59.84,01013
1,14,242,89,36.78,153,63.22,01014
1,15,210,71,33.81,139,66.19,01015
1,16,285,99,34.74,186,65.26,01016
1,17,258,90,34.88,168,65.12,01017
1,18,256,89,34.77,167,65.23,01018
1,19,292,116,39.73,176,60.27,01019
1,20,192,80,41.67,112,58.33,01020
1,21,260,99,38.08,161,61.92,01021
1,22,162,72,44.44,90,55.56,01022
1,23,358,106,29.61,252,70.39,01023
1,24,204,109,53.43,95,46.57,01024
1,25,221,84,38.01,137,61.99,01025
1,26,164,72,43.9,92,56.1,01026
1,27,244,92,37.7,152,62.3,01027
1,28,82,64,78.05,18,21.95,01028
1,29,316,117,37.03,199,62.97,01029
1,30,247,105,42.51,142,57.49,01030
1,31,248,117,47.18,131,52.82,01031
1,32,253,89,35.18,164,64.82,01032
1,33,288,109,37.85,179,62.15,01033
1,34,206,57,27.67,149,72.33,01034
1,35,315,122,38.73,193,61.27,01035
1,36,254,80,31.5,174,68.5,01036
1,37,259,91,35.14,168,64.86,01037
1,38,223,100,44.84,123,55.16,01038
1,39,206,75,36.41,131,63.59,01039
1,40,252,117,46.43,135,53.57,01040
1,41,169,62,36.69,107,63.31,01041
1,42,92,39,42.39,53,57.61,01042
1,43,171,72,42.11,99,57.89,01043
1,44,206,74,35.92,132,64.08,01044
2,1,234,91,38.89,143,61.11,02001
2,2,228,91,39.91,137,60.09,02002
2,3,259,73,28.19,186,71.81,02003
2,4,189,67,35.45,122,64.55,02004
2,5,273,92,33.7,181,66.3,02005
2,6,185,57,30.81,128,69.19,02006
2,7,233,105,45.06,128,54.94,02007
2,8,247,93,37.65,154,62.35,02008
2,9,210,89,42.38,121,57.62,02009
2,10,288,135,46.88,153,53.13,02010
2,11,334,136,40.72,198,59.28,02011
2,12,287,150,52.26,137,47.74,02012
2,13,291,112,38.49,179,61.51,02013
2,14,333,129,38.74,204,61.26,02014
2,15,254,99,38.98,155,61.02,02015
2,16,216,89,41.2,127,58.8,02016
2,17,365,145,39.73,220,60.27,02017
2,18,252,116,46.03,136,53.97,02018
2,19,261,103,39.46,158,60.54,02019
2,20,217,76,35.02,141,64.98,02020
2,21,287,97,33.8,190,66.2,02021
2,22,316,107,33.86,209,66.14,02022
2,23,248,97,39.11,151,60.89,02023
2,24,260,123,47.31,137,52.69,02024
2,25,264,105,39.77,159,60.23,02025
2,26,216,98,45.37,118,54.63,02026
2,27,235,115,48.94,120,51.06,02027
2,28,254,94,37.01,160,62.99,02028
2,29,221,104,47.06,117,52.94,02029
2,30,221,82,37.1,139,62.9,02030
2,31,397,158,39.8,239,60.2,02031
2,32,162,73,45.06,89,54.94,02032
2,33,438,179,40.87,259,59.13,02033
2,34,281,111,39.5,170,60.5,02034
2,35,238,100,42.02,138,57.98,02035
2,36,257,119,46.3,138,53.7,02036
2,37,277,127,45.85,150,54.15,02037
2,38,254,105,41.34,149,58.66,02038
2,39,182,100,54.95,82,45.05,02039
2,40,258,137,53.1,121,46.9,02040
2,41,202,96,47.52,106,52.48,02041
2,42,219,108,49.32,111,50.68,02042
2,43,318,143,44.97,175,55.03,02043
2,44,191,93,48.69,98,51.31,02044
2,45,295,159,53.9,136,46.1,02045
2,46,139,51,36.69,88,63.31,02046
3,1,389,323,83.03,66,16.97,03001
3,2,436,370,84.86,66,15.14,03002
3,3,302,220,72.85,82,27.15,03003
3,4,370,305,82.43,65,17.57,03004
3,5,169,138,81.66,31,18.34,03005
3,6,365,166,45.48,199,54.52,03006
3,7,243,208,85.6,35,14.4,03007
3,8,227,197,86.78,30,13.22,03008
3,9,324,265,81.79,59,18.21,03009
3,10,119,100,84.03,19,15.97,03010
3,11,296,238,80.41,58,19.59,03011
3,12,367,303,82.56,64,17.44,03012
3,13,388,164,42.27,224,57.73,03013
3,14,305,159,52.13,146,47.87,03014
3,15,255,217,85.1,38,14.9,03015
3,16,262,225,85.88,37,14.12,03016
3,17,327,199,60.86,128,39.14,03017
3,18,387,293,75.71,94,24.29,03018
3,19,336,178,52.98,158,47.02,03019
3,20,312,240,76.92,72,23.08,03020
3,21,367,229,62.4,138,37.6,03021
3,22,335,156,46.57,179,53.43,03022
3,23,222,185,83.33,37,16.67,03023
3,24,271,220,81.18,51,18.82,03024
3,25,503,231,45.92,272,54.08,03025
3,26,431,208,48.26,223,51.74,03026
3,27,352,173,49.15,179,50.85,03027
3,28,254,211,83.07,43,16.93,03028
3,29,306,252,82.35,54,17.65,03029
3,30,281,237,84.34,44,15.66,03030
3,31,376,318,84.57,58,15.43,03031
3,32,325,179,55.08,146,44.92,03032
3,33,312,147,47.12,165,52.88,03033
3,34,344,182,52.91,162,47.09,03034
3,35,136,99,72.79,37,27.21,03035
3,36,142,116,81.69,26,18.31,03036
3,37,248,208,83.87,40,16.13,03037
3,38,313,256,81.79,57,18.21,03038
3,39,411,167,40.63,244,59.37,03039
3,40,251,173,68.92,78,31.08,03040
3,41,300,218,72.67,82,27.33,03041
4,1,406,191,47.04,215,52.96,04001
4,2,372,185,49.73,187,50.27,04002
4,3,255,217,85.1,38,14.9,04003
4,4,460,381,82.83,79,17.17,04004
4,5,384,298,77.6,86,22.4,04005
4,6,414,336,81.16,78,18.84,04006
4,7,469,372,79.32,97,20.68,04007
4,8,394,312,79.19,82,20.81,04008
4,9,468,397,84.83,71,15.17,04009
4,10,410,302,73.66,108,26.34,04010
4,11,309,263,85.11,46,14.89,04011
4,12,360,305,84.72,55,15.28,04012
4,13,236,94,39.83,142,60.17,04013
4,14,355,286,80.56,69,19.44,04014
4,15,402,319,79.35,83,20.65,04015
4,16,399,164,41.1,235,58.9,04016
4,17,365,138,37.81,227,62.19,04017
4,18,383,318,83.03,65,16.97,04018
4,19,218,175,80.28,43,19.72,04019
4,20,299,144,48.16,155,51.84,04020
4,21,304,137,45.07,167,54.93,04021
4,22,359,194,54.04,165,45.96,04022
4,23,450,236,52.44,214,47.56,04023
4,24,313,205,65.5,108,34.5,04024
4,25,364,145,39.84,219,60.16,04025
4,26,325,270,83.08,55,16.92,04026
4,27,403,215,53.35,188,46.65,04027
4,28,308,249,80.84,59,19.16,04028
4,29,303,238,78.55,65,21.45,04029
4,30,379,311,82.06,68,17.94,04030
4,31,439,341,77.68,98,22.32,04031
4,32,349,278,79.66,71,20.34,04032
4,33,341,238,69.79,103,30.21,04033
4,34,298,228,76.51,70,23.49,04034
4,35,390,317,81.28,73,18.72,04035
4,36,394,296,75.13,98,24.87,04036
4,37,442,211,47.74,231,52.26,04037
4,38,351,273,77.78,78,22.22,04038
5,1,252,215,85.32,37,14.68,05001
5,2,208,176,84.62,32,15.38,05002
5,3,334,142,42.51,192,57.49,05003
5,4,402,256,63.68,146,36.32,05004
5,5,290,229,78.97,61,21.03,05005
5,6,260,217,83.46,43,16.54,05006
5,7,341,237,69.5,104,30.5,05007
5,8,355,121,34.08,234,65.92,05008
5,9,420,259,61.67,161,38.33,05009
5,10,235,198,84.26,37,15.74,05010
5,11,388,195,50.26,193,49.74,05011
5,12,205,179,87.32,26,12.68,05012
5,13,256,210,82.03,46,17.97,05013
5,14,304,243,79.93,61,20.07,05014
5,15,298,189,63.42,109,36.58,05015
5,16,269,221,82.16,48,17.84,05016
5,17,265,204,76.98,61,23.02,05017
5,18,310,163,52.58,147,47.42,05018
5,19,344,139,40.41,205,59.59,05019
5,20,391,250,63.94,141,36.06,05020
5,21,331,156,47.13,175,52.87,05021
5,22,434,251,57.83,183,42.17,05022
5,23,563,261,46.36,302,53.64,05023
5,24,368,181,49.18,187,50.82,05024
5,25,327,234,71.56,93,28.44,05025
5,26,337,273,81.01,64,18.99,05026
5,27,308,90,29.22,218,70.78,05027
5,28,375,304,81.07,71,18.93,05028
5,29,352,275,78.13,77,21.88,05029
5,30,217,189,87.1,28,12.9,05030
5,31,234,199,85.04,35,14.96,05031
5,32,434,359,82.72,75,17.28,05032
5,33,345,288,83.48,57,16.52,05033
5,34,370,111,30.0,259,70.0,05034
5,35,424,183,43.16,241,56.84,05035
5,36,203,166,81.77,37,18.23,05036
5,37,422,197,46.68,225,53.32,05037
5,38,287,241,83.97,46,16.03,05038
5,39,272,118,43.38,154,56.62,05039
5,40,256,213,83.2,43,16.8,05040
5,41,226,148,65.49,78,34.51,05041
6,1,317,287,90.54,30,9.46,06001
6,2,295,252,85.42,43,14.58,06002
6,3,319,291,91.22,28,8.78,06003
6,4,196,160,81.63,36,18.37,06004
6,5,157,139,88.54,18,11.46,06005
6,6,319,285,89.34,34,10.66,06006
6,7,234,201,85.9,33,14.1,06007
6,8,307,265,86.32,42,13.68,06008
6,9,222,189,85.14,33,14.86,06009
6,10,147,128,87.07,19,12.93,06010
6,11,234,204,87.18,30,12.82,06011
6,12,155,126,81.29,29,18.71,06012
6,13,224,192,85.71,32,14.29,06013
6,14,254,219,86.22,35,13.78,06014
6,15,191,160,83.77,31,16.23,06015
6,16,314,279,88.85,35,11.15,06016
6,17,161,134,83.23,27,16.77,06017
6,18,166,131,78.92,35,21.08,06018
6,19,242,211,87.19,31,12.81,06019
6,20,142,116,81.69,26,18.31,06020
6,21,119,102,85.71,17,14.29,06021
6,22,150,129,86.0,21,14.0,06022
6,23,128,111,86.72,17,13.28,06023
6,24,139,116,83.45,23,16.55,06024
6,25,129,110,85.27,19,14.73,06025
6,26,158,133,84.18,25,15.82,06026
6,27,152,128,84.21,24,15.79,06027
6,28,119,110,92.44,9,7.56,06028
6,29,326,283,86.81,43,13.19,06029
6,30,200,173,86.5,27,13.5,06030
6,31,306,270,88.24,36,11.76,06031
6,32,253,215,84.98,38,15.02,06032
6,33,276,245,88.77,31,11.23,06033
6,34,262,235,89.69,27,10.31,06034
6,35,249,221,88.76,28,11.24,06035
6,36,336,299,88.99,37,11.01,06036
6,37,322,279,86.65,43,13.35,06037
6,38,308,270,87.66,38,12.34,06038
6,39,217,187,86.18,30,13.82,06039
6,40,259,220,84.94,39,15.06,06040
6,41,278,249,89.57,29,10.43,06041
6,42,259,219,84.56,40,15.44,06042
6,43,228,201,88.16,27,11.84,06043
6,44,241,214,88.8,27,11.2,06044
6,45,296,269,90.88,27,9.12,06045
6,46,184,154,83.7,30,16.3,06046
6,47,177,150,84.75,27,15.25,06047
6,48,270,237,87.78,33,12.22,06048
7,1,209,181,86.6,28,13.4,07001
7,2,210,181,86.19,29,13.81,07002
7,3,278,252,90.65,26,9.35,07003
7,4,256,226,88.28,30,11.72,07004
7,5,241,197,81.74,44,18.26,07005
7,6,337,283,83.98,54,16.02,07006
7,7,198,172,86.87,26,13.13,07007
7,8,221,178,80.54,43,19.46,07008
7,9,416,344,82.69,72,17.31,07009
7,10,290,247,85.17,43,14.83,07010
7,11,213,183,85.92,30,14.08,07011
7,12,226,203,89.82,23,10.18,07012
7,13,163,143,87.73,20,12.27,07013
7,14,242,197,81.4,45,18.6,07014
7,15,237,206,86.92,31,13.08,07015
7,16,150,135,90.0,15,10.0,07016
7,17,183,154,84.15,29,15.85,07017
7,18,214,172,80.37,42,19.63,07018
7,19,228,198,86.84,30,13.16,07019
7,20,156,130,83.33,26,16.67,07020
7,21,154,126,81.82,28,18.18,07021
7,22,189,149,78.84,40,21.16,07022
7,23,258,222,86.05,36,13.95,07023
7,24,185,157,84.86,28,15.14,07024
7,25,156,120,76.92,36,23.08,07025
7,26,190,173,91.05,17,8.95,07026
