ward,precinct,total,RODERICK T. SAWYER,RODERICK T. SAWYER Percent,DEBORAH A. FOSTER-BONNER,DEBORAH A. FOSTER-BONNER Percent,precinct_id
6,1,324,172,53.09,152,46.91,06001
6,2,302,137,45.36,165,54.64,06002
6,3,325,177,54.46,148,45.54,06003
6,4,197,122,61.93,75,38.07,06004
6,5,161,104,64.6,57,35.4,06005
6,6,323,182,56.35,141,43.65,06006
6,7,238,117,49.16,121,50.84,06007
6,8,309,158,51.13,151,48.87,06008
6,9,224,138,61.61,86,38.39,06009
6,10,149,85,57.05,64,42.95,06010
6,11,233,151,64.81,82,35.19,06011
6,12,156,89,57.05,67,42.95,06012
6,13,228,114,50.0,114,50.0,06013
6,14,261,139,53.26,122,46.74,06014
6,15,194,95,48.97,99,51.03,06015
6,16,321,179,55.76,142,44.24,06016
6,17,167,90,53.89,77,46.11,06017
6,18,174,86,49.43,88,50.57,06018
6,19,248,113,45.56,135,54.44,06019
6,20,144,76,52.78,68,47.22,06020
6,21,127,68,53.54,59,46.46,06021
6,22,150,91,60.67,59,39.33,06022
6,23,131,73,55.73,58,44.27,06023
6,24,140,95,67.86,45,32.14,06024
6,25,132,81,61.36,51,38.64,06025
6,26,161,100,62.11,61,37.89,06026
6,27,156,86,55.13,70,44.87,06027
6,28,120,67,55.83,53,44.17,06028
6,29,330,169,51.21,161,48.79,06029
6,30,206,106,51.46,100,48.54,06030
6,31,308,161,52.27,147,47.73,06031
6,32,257,153,59.53,104,40.47,06032
6,33,283,156,55.12,127,44.88,06033
6,34,271,139,51.29,132,48.71,06034
6,35,249,149,59.84,100,40.16,06035
6,36,344,184,53.49,160,46.51,06036
6,37,327,171,52.29,156,47.71,06037
6,38,309,163,52.75,146,47.25,06038
6,39,222,115,51.8,107,48.2,06039
6,40,262,144,54.96,118,45.04,06040
6,41,282,149,52.84,133,47.16,06041
6,42,261,134,51.34,127,48.66,06042
6,43,232,128,55.17,104,44.83,06043
6,44,245,126,51.43,119,48.57,06044
6,45,299,111,37.12,188,62.88,06045
6,46,182,86,47.25,96,52.75,06046
6,47,179,86,48.04,93,51.96,06047
6,48,274,151,55.11,123,44.89,06048
