ward,precinct,total,BYRON SIGCHO-LOPEZ,BYRON SIGCHO-LOPEZ Percent,ALEXANDER ACEVEDO,ALEXANDER ACEVEDO Percent,precinct_id
25,1,290,131,45.17,159,54.83,25001
25,2,336,211,62.8,125,37.2,25002
25,3,290,153,52.76,137,47.24,25003
25,4,235,142,60.43,93,39.57,25004
25,5,369,178,48.24,191,51.76,25005
25,6,125,72,57.6,53,42.4,25006
25,7,304,210,69.08,94,30.92,25007
25,8,332,182,54.82,150,45.18,25008
25,9,297,172,57.91,125,42.09,25009
25,10,353,165,46.74,188,53.26,25010
25,11,306,182,59.48,124,40.52,25011
25,12,317,197,62.15,120,37.85,25012
25,13,342,219,64.04,123,35.96,25013
25,14,197,138,70.05,59,29.95,25014
25,15,260,131,50.38,129,49.62,25015
25,16,312,144,46.15,168,53.85,25016
25,17,359,181,50.42,178,49.58,25017
25,18,351,234,66.67,117,33.33,25018
25,19,343,198,57.73,145,42.27,25019
25,20,190,90,47.37,100,52.63,25020
25,21,390,183,46.92,207,53.08,25021
25,22,296,166,56.08,130,43.92,25022
25,23,365,214,58.63,151,41.37,25023
25,24,330,205,62.12,125,37.88,25024
25,25,290,107,36.9,183,63.1,25025
25,26,337,162,48.07,175,51.93,25026
25,27,220,94,42.73,126,57.27,25027
25,28,321,200,62.31,121,37.69,25028
25,29,263,124,47.15,139,52.85,25029
25,30,326,178,54.6,148,45.4,25030
25,31,338,155,45.86,183,54.14,25031
25,32,254,106,41.73,148,58.27,25032
