ward,precinct,total,SAMANTHA ''SAM'' NUGENT,SAMANTHA ''SAM'' NUGENT Percent,ROBERT MURPHY,ROBERT MURPHY Percent,precinct_id
39,1,339,200,59.0,139,41.0,39001
39,2,372,216,58.06,156,41.94,39002
39,3,334,153,45.81,181,54.19,39003
39,4,342,219,64.04,123,35.96,39004
39,5,300,147,49.0,153,51.0,39005
39,6,271,127,46.86,144,53.14,39006
39,7,288,147,51.04,141,48.96,39007
39,8,349,214,61.32,135,38.68,39008
39,9,287,143,49.83,144,50.17,39009
39,10,168,87,51.79,81,48.21,39010
39,11,294,136,46.26,158,53.74,39011
39,12,328,139,42.38,189,57.62,39012
39,13,220,110,50.0,110,50.0,39013
39,14,306,158,51.63,148,48.37,39014
39,15,358,265,74.02,93,25.98,39015
39,16,173,83,47.98,90,52.02,39016
39,17,362,178,49.17,184,50.83,39017
39,18,304,136,44.74,168,55.26,39018
39,19,326,167,51.23,159,48.77,39019
39,20,413,280,67.8,133,32.2,39020
39,21,291,216,74.23,75,25.77,39021
39,22,202,72,35.64,130,64.36,39022
39,23,363,252,69.42,111,30.58,39023
39,24,459,324,70.59,135,29.41,39024
39,25,173,85,49.13,88,50.87,39025
39,26,322,208,64.6,114,35.4,39026
39,27,62,36,58.06,26,41.94,39027
39,28,423,160,37.83,263,62.17,39028
39,29,124,55,44.35,69,55.65,39029
39,30,339,105,30.97,234,69.03,39030
39,31,251,143,56.97,108,43.03,39031
39,32,253,164,64.82,89,35.18,39032
39,33,358,184,51.4,174,48.6,39033
39,34,275,132,48.0,143,52.0,39034
39,35,308,93,30.19,215,69.81,39035
39,36,84,60,71.43,24,28.57,39036
39,37,353,240,67.99,113,32.01,39037
39,38,209,109,52.15,100,47.85,39038
39,39,227,138,60.79,89,39.21,39039
39,40,327,223,68.2,104,31.8,39040
39,41,395,162,41.01,233,58.99,39041
39,42,407,306,75.18,101,24.82,39042
39,43,355,217,61.13,138,38.87,39043
39,44,304,213,70.07,91,29.93,39044
39,45,347,267,76.95,80,23.05,39045
