ward,precinct,total,MILAGROS SANTIAGO,MILAGROS SANTIAGO Percent,FELIX CARDONA JR.,FELIX CARDONA JR. Percent,precinct_id
31,1,138,59,42.75,79,57.25,31001
31,2,133,69,51.88,64,48.12,31002
31,3,176,70,39.77,106,60.23,31003
31,4,254,132,51.97,122,48.03,31004
31,5,207,107,51.69,100,48.31,31005
31,6,131,61,46.56,70,53.44,31006
31,7,237,146,61.6,91,38.4,31007
31,8,131,67,51.15,64,48.85,31008
31,9,118,50,42.37,68,57.63,31009
31,10,142,74,52.11,68,47.89,31010
31,11,126,62,49.21,64,50.79,31011
31,12,167,79,47.31,88,52.69,31012
31,13,169,84,49.7,85,50.3,31013
31,14,150,83,55.33,67,44.67,31014
31,15,161,68,42.24,93,57.76,31015
31,16,218,123,56.42,95,43.58,31016
31,17,172,78,45.35,94,54.65,31017
31,18,146,68,46.58,78,53.42,31018
31,19,166,57,34.34,109,65.66,31019
31,20,129,46,35.66,83,64.34,31020
31,21,163,65,39.88,98,60.12,31021
31,22,122,52,42.62,70,57.38,31022
31,23,161,80,49.69,81,50.31,31023
31,24,206,86,41.75,120,58.25,31024
31,25,126,34,26.98,92,73.02,31025
31,26,194,79,40.72,115,59.28,31026
31,27,210,63,30.0,147,70.0,31027
31,28,121,60,49.59,61,50.41,31028
31,29,187,71,37.97,116,62.03,31029
31,30,120,53,44.17,67,55.83,31030
31,31,148,54,36.49,94,63.51,31031
31,32,114,52,45.61,62,54.39,31032
31,33,142,72,50.7,70,49.3,31033
31,34,150,71,47.33,79,52.67,31034
31,35,188,74,39.36,114,60.64,31035
31,36,219,84,38.36,135,61.64,31036
31,37,150,54,36.0,96,64.0,31037
31,38,127,63,49.61,64,50.39,31038
31,39,167,90,53.89,77,46.11,31039
31,40,176,96,54.55,80,45.45,31040
31,41,139,81,58.27,58,41.73,31041
