ward,precinct,total,RAYMOND A. LOPEZ,RAYMOND A. LOPEZ Percent,RAFAEL ''RAFA'' YANEZ,RAFAEL ''RAFA'' YANEZ Percent,precinct_id
15,1,284,116,40.85,168,59.15,15001
15,2,157,130,82.8,27,17.2,15002
15,3,170,143,84.12,27,15.88,15003
15,4,253,123,48.62,130,51.38,15004
15,5,254,80,31.5,174,68.5,15005
15,6,261,128,49.04,133,50.96,15006
15,7,189,139,73.54,50,26.46,15007
15,8,250,116,46.4,134,53.6,15008
15,9,317,179,56.47,138,43.53,15009
15,10,338,200,59.17,138,40.83,15010
15,11,277,132,47.65,145,52.35,15011
15,12,302,172,56.95,130,43.05,15012
15,13,236,115,48.73,121,51.27,15013
15,14,205,85,41.46,120,58.54,15014
15,15,186,85,45.7,101,54.3,15015
15,16,294,227,77.21,67,22.79,15016
15,17,193,154,79.79,39,20.21,15017
15,18,148,109,73.65,39,26.35,15018
15,19,210,144,68.57,66,31.43,15019
15,20,190,133,70.0,57,30.0,15020
15,21,161,102,63.35,59,36.65,15021
15,22,170,142,83.53,28,16.47,15022
15,23,181,135,74.59,46,25.41,15023
15,24,168,131,77.98,37,22.02,15024
